coin,period,label,sl,sl_val,bh,ret,n,win,dd,liq,beat
ETH,bear_2022,하락(2022),없음,999.0,-67.46,-16.49,27,0.148,46.28,False,1
ETH,bear_2022,하락(2022),-10%,0.1,-67.46,-16.49,27,0.148,46.28,False,1
ETH,bear_2022,하락(2022),-15%,0.15,-67.46,-16.49,27,0.148,46.28,False,1
ETH,bear_2022,하락(2022),-20%,0.2,-67.46,-16.49,27,0.148,46.28,False,1
ETH,bear_2022,하락(2022),-25%,0.25,-67.46,-16.49,27,0.148,46.28,False,1
ETH,bear_2022,하락(2022),-30%,0.3,-67.46,-16.49,27,0.148,46.28,False,1
ETH,bull_2023,회복(2023),없음,999.0,90.77,113.38,27,0.222,41.7,False,1
ETH,bull_2023,회복(2023),-10%,0.1,90.77,113.38,27,0.222,41.7,False,1
ETH,bull_2023,회복(2023),-15%,0.15,90.77,113.38,27,0.222,41.7,False,1
ETH,bull_2023,회복(2023),-20%,0.2,90.77,113.38,27,0.222,41.7,False,1
ETH,bull_2023,회복(2023),-25%,0.25,90.77,113.38,27,0.222,41.7,False,1
ETH,bull_2023,회복(2023),-30%,0.3,90.77,113.38,27,0.222,41.7,False,1
ETH,range_2024h1,횡보(24H1),없음,999.0,50.67,63.45,25,0.12,25.52,False,1
ETH,range_2024h1,횡보(24H1),-10%,0.1,50.67,45.48,25,0.12,43.5,False,0
ETH,range_2024h1,횡보(24H1),-15%,0.15,50.67,63.45,25,0.12,25.52,False,1
ETH,range_2024h1,횡보(24H1),-20%,0.2,50.67,63.45,25,0.12,25.52,False,1
ETH,range_2024h1,횡보(24H1),-25%,0.25,50.67,63.45,25,0.12,25.52,False,1
ETH,range_2024h1,횡보(24H1),-30%,0.3,50.67,63.45,25,0.12,25.52,False,1
ETH,bull_2024h2,불장(24H2),없음,999.0,-2.92,74.13,8,0.5,6.67,False,1
ETH,bull_2024h2,불장(24H2),-10%,0.1,-2.92,74.13,8,0.5,6.67,False,1
ETH,bull_2024h2,불장(24H2),-15%,0.15,-2.92,74.13,8,0.5,6.67,False,1
ETH,bull_2024h2,불장(24H2),-20%,0.2,-2.92,74.13,8,0.5,6.67,False,1
