coin,tf,signal,lev,mode,beat_cnt,total_periods,avg_ret,min_ret,max_dd_avg,avg_trades,bear_2026q1_ret,bear_2025q4_ret,bull_2025q3_ret,bull_2025q2_ret,bear_2025q1_ret,bull_2024h2_ret,bear_2024h1_ret,bull_2023_ret
XRP,2h,c>ema100,2,L+S,4,8,34.54,-176.76,91.05,97.8,29.4,14.35,20.12,-80.23,22.94,565.71,-176.76,-119.21
ETH,4h,st2.0,3,L,4,8,34.02,-133.37,62.91,16.6,-50.34,-16.79,191.76,18.54,-133.37,77.45,128.43,56.47
XRP,2h,macd12/26,3,L+S,4,8,33.99,-262.92,130.67,134.9,-44.45,3.3,119.54,-70.16,186.85,371.67,-262.92,-31.9
XRP,1h,st2.0,3,L,4,8,33.77,-166.41,87.31,65.6,-76.43,-10.19,104.73,-6.44,155.21,405.51,-166.41,-135.81
ETH,4h,c>ema200,1,L+S,4,8,33.75,13.31,16.47,22.6,13.31,18.92,62.75,36.78,16.63,66.72,14.85,40.04
XRP,1h,macd26/52,2,L,4,8,33.44,-125.8,57.27,65.1,-37.31,-23.88,87.56,-12.18,59.55,273.27,-125.8,46.3
BTC,1d,ema5/20,2,L,4,8,33.39,-29.16,12.56,4.0,-8.97,-27.36,-12.82,49.49,-29.16,79.52,74.26,142.13
BTC,1d,macd26/52,3,L+S,4,8,33.26,-29.47,52.29,5.5,40.84,1.23,-29.47,22.39,-7.02,27.0,93.63,117.47
BTC,1d,ema20/100,3,L+S,4,8,32.95,-27.12,26.12,2.5,79.4,41.3,26.95,-2.6,-27.12,10.12,103.91,31.64
XRP,1h,st3.0,2,L,4,8,32.38,-109.84,57.27,35.1,-21.98,-35.83,56.44,-33.75,66.27,412.0,-74.27,-109.84
ETH,2h,ema20/100,3,L,4,8,31.95,-138.01,56.53,12.8,-42.1,-34.14,128.89,86.01,-138.01,56.29,137.12,61.56
BTC,2h,ema20/100,2,L,4,8,31.59,-48.81,23.51,11.2,-29.43,-8.75,4.85,42.13,-48.81,46.89,90.19,155.64
SOL,1h,ema10/30,1,L,4,8,31.54,-35.99,32.47,60.5,-25.13,-35.99,50.01,-12.16,-24.44,34.25,32.1,233.72
XRP,1h,ema20/100,1,L,4,8,31.32,-41.48,18.83,23.1,-14.11,-6.9,34.41,6.83,5.87,216.59,-41.48,49.36
BTC,1h,ema50/200,2,L,4,8,30.94,-40.01,23.46,10.2,-33.61,-13.06,3.09,33.39,-40.01,50.48,92.46,154.75
ETH,1d,c>ema100,3,L+S,4,8,30.87,-80.46,57.67,7.8,66.61,-80.46,227.46,-4.96,-12.18,59.77,-66.07,56.79
BTC,1d,ema20/50,2,L,4,8,30.68,-32.2,6.4,1.6,-14.44,-32.2,4.88,22.33,2.14,57.64,55.07,150.05
ETH,1d,ema20/100,3,L,4,8,30.68,-61.44,9.34,1.5,0.0,-61.44,243.53,-2.82,-22.18,-44.05,51.07,81.34
SOL,1d,ema20/100,2,L+S,4,8,30.62,-93.43,45.29,3.2,76.65,4.98,53.8,-93.43,71.48,-85.4,25.96,190.89
BTC,2h,c>ema200,2,L+S,4,8,30.39,-24.97,40.42,53.5,-11.89,43.13,-22.53,20.54,-24.97,67.72,51.81,119.32
XRP,2h,macd26/52,3,L,4,8,30.37,-95.51,78.2,33.4,-87.19,-27.59,63.02,-33.7,28.58,441.72,-95.51,-46.39
BTC,1d,st3.0,2,L,4,8,30.18,-24.39,4.2,1.9,-11.89,-10.16,8.16,23.59,-24.39,70.71,36.63,148.76
SOL,2h,ema20/50,1,L+S,4,8,29.97,-29.53,36.36,32.5,-23.86,23.11,-29.53,35.71,15.68,11.33,-27.7,235.0
ETH,1d,st4.0,2,L+S,4,8,29.95,-3.31,25.27,3.0,-2.69,16.37,21.36,-3.31,77.85,66.82,-1.95,65.18
ETH,1d,ema5/20,2,L,4,8,29.93,-44.5,20.49,3.8,-22.75,-44.5,132.7,81.37,-18.39,-7.74,26.81,91.95
BTC,2h,ema20/100,3,L+S,4,8,29.92,-114.22,60.64,23.0,-7.43,44.1,-18.18,51.16,-114.22,8.51,129.99,145.42
XRP,4h,ema50/200,1,L,4,8,29.84,-15.48,7.87,3.1,-15.48,-11.1,28.67,-5.69,10.59,250.73,-5.87,-13.11
BTC,4h,ema20/100,2,L+S,4,8,29.24,-18.28,34.43,10.2,18.52,2.31,-15.19,34.17,-18.28,102.51,-8.2,118.07
SOL,2h,ema5/20,1,L+S,4,8,29.15,-59.43,41.55,100.4,-14.33,-14.55,47.05,-59.43,-5.48,69.21,25.03,185.67
SOL,1h,ema20/100,1,L,4,8,29.05,-38.14,29.23,23.1,-32.69,-38.14,-13.46,5.11,-24.51,43.9,6.31,285.92
XRP,1d,ema5/20,2,L+S,4,8,28.69,-131.11,70.0,9.5,66.23,-9.43,-22.13,-24.46,-92.7,439.97,3.17,-131.11
XRP,4h,macd26/52,1,L,4,8,28.58,-29.31,17.02,15.6,-24.02,3.73,19.55,-9.18,38.43,140.3,-29.31,89.13
ETH,4h,ema50/200,2,L,4,8,27.92,-49.76,19.67,2.9,-14.89,-49.76,134.6,78.21,-19.87,-23.88,27.22,91.77
XRP,4h,macd12/26,3,L,4,8,27.29,-98.92,81.5,35.6,-81.52,8.9,51.84,-37.64,34.59,435.72,-98.92,-94.68
ETH,2h,ema10/30,3,L+S,4,8,27.15,-125.71,99.07,61.5,-27.25,79.59,28.89,6.32,-125.71,78.77,208.24,-31.67
ETH,1d,ema20/50,2,L+S,4,8,27.01,-76.05,27.96,3.5,15.6,25.55,162.35,-76.05,70.0,-3.09,-21.52,43.23
BTC,4h,ema20/50,2,L+S,4,8,26.69,-35.41,33.95,16.5,11.55,15.05,-4.66,55.42,-35.41,52.14,14.49,104.93
BTC,1h,ema20/50,3,L,4,8,26.57,-78.37,55.04,33.9,-65.69,7.61,-26.91,29.11,-78.37,140.25,38.52,168.04
XRP,1h,ema20/100,1,L+S,4,8,26.56,-62.97,33.24,46.9,10.94,17.4,26.62,7.94,3.08,198.93,-62.97,10.56
BTC,4h,st4.0,2,L,4,8,25.79,-22.27,21.89,7.2,-22.27,-11.49,-7.34,35.11,-21.55,25.28,42.66,165.89
XRP,1d,ema10/30,1,L,4,8,25.4,-19.67,8.81,2.9,-19.67,-12.27,23.53,-11.34,1.88,248.93,-9.6,-18.26
BTC,2h,ema50/200,2,L+S,4,8,25.23,-26.0,37.32,10.1,20.38,-9.54,-26.0,37.69,-23.35,105.12,0.74,96.8
XRP,4h,macd26/52,1,L+S,4,8,24.42,-41.11,32.55,31.8,-9.11,38.69,-1.91,-25.02,66.64,80.23,-41.11,86.97
BTC,4h,c>ema50,2,L,4,8,24.4,-48.94,35.19,32.9,-41.59,-12.13,-9.45,28.42,-48.94,82.66,46.91,149.31
BTC,4h,st3.0,2,L+S,4,8,24.28,-31.95,33.59,20.1,-14.8,62.75,-13.54,34.09,-31.95,54.11,-3.13,106.7
SOL,4h,macd12/26,1,L,4,8,24.17,-36.17,31.62,33.5,-36.17,0.61,40.2,1.41,-2.12,29.27,-18.68,178.84
BTC,1d,macd12/26,2,L,4,8,24.14,-37.94,15.43,5.8,-16.77,-32.89,14.46,25.01,-37.94,61.36,48.78,131.11
SOL,4h,macd12/26,3,L+S,4,8,23.99,-277.05,152.3,67.1,-89.65,162.31,92.7,-73.7,77.82,52.97,-277.05,246.49
ETH,2h,ema5/20,3,L,4,8,23.75,-77.63,70.47,53.2,-28.45,-60.86,176.88,32.35,-77.63,62.6,48.11,37.03
ETH,4h,st3.0,3,L+S,4,8,23.69,-104.88,85.35,20.4,0.82,32.77,127.13,16.7,-104.88,107.98,46.4,-37.39
ETH,1d,c>ema50,2,L,4,8,23.6,-44.97,25.73,6.1,-30.24,-44.97,141.49,28.79,-23.14,-10.34,9.69,117.49
ETH,1d,c>ema50,3,L+S,4,8,23.55,-104.55,84.44,12.5,-5.52,-29.37,182.66,-4.96,68.43,-43.17,-104.55,124.91
ETH,1d,st2.0,3,L+S,4,8,23.01,-95.54,64.23,7.1,-39.25,-22.8,-95.54,154.36,87.79,15.28,13.37,70.9
XRP,4h,ema5/20,1,L,4,8,22.95,-37.17,22.39,26.8,-14.67,-15.05,24.61,4.58,7.04,222.98,-37.17,-8.71
ETH,4h,st2.0,2,L,4,8,22.68,-88.92,41.94,16.6,-33.56,-11.19,127.84,12.36,-88.92,51.63,85.62,37.64
XRP,2h,macd12/26,2,L+S,4,8,22.66,-175.28,87.11,134.9,-29.63,2.2,79.7,-46.77,124.57,247.78,-175.28,-21.27
BTC,1h,c>ema200,3,L,4,8,22.49,-82.41,57.35,63.2,-82.41,-7.21,-38.97,21.42,-56.52,103.36,68.27,171.99
BTC,1d,macd26/52,2,L+S,4,8,22.17,-19.65,34.86,5.5,27.23,0.82,-19.65,14.92,-4.68,18.0,62.42,78.31
ETH,1d,macd12/26,3,L,4,8,22.09,-142.47,60.36,6.2,-39.34,-86.5,72.88,114.68,-142.47,-15.62,137.48,135.58
BTC,1d,ema20/100,2,L+S,4,8,21.97,-18.08,17.42,2.5,52.93,27.54,17.97,-1.73,-18.08,6.75,69.27,21.1
BTC,1d,c>ema100,2,L+S,4,8,21.87,-22.12,26.64,6.8,39.11,-0.31,-2.2,32.95,-22.12,31.64,55.07,40.81
SOL,1h,ema10/30,1,L+S,4,8,21.85,-52.93,45.44,121.0,-7.14,-19.43,51.7,-52.93,-17.62,29.36,12.9,177.97
ETH,4h,st3.0,2,L,4,8,21.7,-92.17,41.35,10.1,-34.95,-29.69,116.6,42.24,-92.17,39.48,68.71,63.37
BTC,2h,ema20/50,3,L+S,4,8,21.39,-131.58,70.86,33.5,-112.03,52.85,-45.08,31.87,-131.58,25.33,127.42,222.37
ETH,4h,ema5/20,3,L,4,8,20.7,-166.78,78.08,26.9,-69.6,-39.2,104.97,44.96,-166.78,38.15,169.11,83.98
XRP,2h,macd12/26,1,L,4,8,20.67,-52.83,29.45,67.5,-27.44,-14.27,40.37,-8.03,38.31,152.75,-52.83,36.52
ETH,1d,c>ema100,2,L+S,4,8,20.58,-53.64,38.45,7.8,44.41,-53.64,151.64,-3.31,-8.12,39.85,-44.05,37.86
ETH,2h,st4.0,2,L+S,4,8,20.0,-66.53,52.74,25.1,44.94,53.11,97.31,-20.09,-65.66,82.71,34.24,-66.53
ETH,1d,ema20/100,3,L+S,4,8,19.97,-104.75,31.34,2.8,98.12,-10.84,243.53,-104.75,102.1,-85.1,-27.38,-55.9
BTC,2h,ema20/100,2,L+S,4,8,19.95,-76.14,40.42,23.0,-4.95,29.4,-12.12,34.11,-76.14,5.68,86.66,96.95
ETH,4h,macd26/52,1,L+S,4,8,19.43,-25.58,26.96,30.8,8.51,19.55,-1.33,8.97,-25.58,47.66,41.97,55.7
BTC,4h,ema20/100,1,L,4,8,19.03,-10.82,7.44,4.8,-8.07,-10.82,1.46,21.21,-10.2,50.84,22.62,85.18
ETH,2h,macd12/26,3,L,4,8,19.01,-127.15,80.94,64.0,16.34,-94.57,221.33,34.04,-127.15,-54.15,58.01,98.24
BTC,1d,ema50/200,1,L,4,8,18.83,-20.21,0.0,1.0,0.0,-20.21,8.98,22.68,-12.88,48.62,41.76,61.73
XRP,4h,ema50/200,1,L+S,4,8,18.61,-111.64,27.2,6.5,5.27,8.23,19.91,-15.45,20.15,209.94,12.46,-111.64
SOL,1d,ema50/200,2,L+S,4,8,18.22,-74.09,13.91,1.8,76.65,-74.09,-28.88,-47.27,-23.61,57.82,66.1,119.06
ETH,2h,ema10/30,2,L+S,4,8,18.1,-83.81,66.05,61.5,-18.16,53.06,19.26,4.21,-83.81,52.51,138.83,-21.11
BTC,2h,ema50/200,1,L,4,8,17.92,-13.59,7.83,4.8,-7.97,-13.59,-1.16,22.3,-11.43,51.4,24.28,79.53
XRP,1h,ema20/50,1,L,4,8,17.74,-44.4,22.07,34.6,-14.66,-24.71,39.54,-9.2,9.28,188.29,-44.4,-2.25
ETH,2h,ema20/50,3,L,4,8,17.5,-154.98,71.29,18.6,-69.26,-56.5,85.95,55.03,-154.98,5.22,201.92,72.64
ETH,4h,st4.0,1,L+S,4,8,17.37,-52.67,25.06,13.6,22.08,29.12,26.68,55.33,-52.67,68.54,6.86,-16.96
XRP,2h,ema5/20,3,L+S,4,8,16.81,-294.09,155.44,109.9,30.24,-86.68,175.89,-183.88,93.63,559.71,-160.31,-294.09
XRP,1h,macd26/52,1,L,4,8,16.72,-62.9,28.63,65.1,-18.66,-11.94,43.78,-6.09,29.77,136.64,-62.9,23.15
ETH,1d,st3.0,3,L+S,4,8,16.57,-151.49,77.51,4.5,34.54,-97.57,106.8,122.32,136.98,-151.49,31.47,-50.46
ETH,4h,macd26/52,1,L,4,8,16.51,-41.04,18.93,15.5,-12.79,-10.49,33.08,24.15,-41.04,26.03,46.7,66.43
BTC,1d,ema20/100,1,L,4,8,16.17,-11.02,0.99,1.2,0.0,-4.35,8.98,10.41,-11.02,27.93,37.69,59.76
ETH,4h,st4.0,1,L,4,8,16.0,-54.69,18.7,6.9,-6.27,-5.44,48.78,48.3,-54.69,38.25,29.95,29.13
SOL,4h,macd12/26,2,L+S,4,8,15.99,-184.7,101.53,67.1,-59.77,108.21,61.8,-49.13,51.88,35.32,-184.7,164.33
BTC,1d,ema50/200,1,L+S,4,8,15.96,-18.33,0.58,1.5,26.47,-18.33,8.98,22.68,-12.88,48.62,41.76,10.37
ETH,4h,macd12/26,1,L+S,4,8,15.91,-24.31,30.11,66.2,1.96,8.96,37.52,35.22,6.83,61.93,-24.31,-0.87
ETH,4h,st3.0,2,L+S,4,8,15.79,-69.92,56.9,20.4,0.55,21.85,84.75,11.13,-69.92,71.99,30.93,-24.92
XRP,2h,c>ema50,1,L,4,8,15.71,-48.2,28.35,77.1,-30.16,-17.24,55.23,-13.14,3.57,186.41,-48.2,-10.82
ETH,1d,c>ema50,2,L+S,4,8,15.7,-69.7,56.29,12.5,-3.68,-19.58,121.78,-3.31,45.62,-28.78,-69.7,83.28
ETH,1h,ema20/100,3,L,4,8,15.66,-174.24,77.43,24.1,-50.96,-40.54,88.69,71.01,-174.24,5.53,196.8,28.97
BTC,1d,st4.0,3,L+S,4,8,14.98,-12.12,44.73,3.5,10.49,25.0,-12.12,5.69,1.02,47.45,-6.81,49.13
ETH,1d,st4.0,1,L+S,4,8,14.98,-1.65,12.64,3.0,-1.34,8.18,10.68,-1.65,38.92,33.41,-0.97,32.59
ETH,4h,macd12/26,1,L,4,8,14.91,-23.87,21.26,33.0,-16.62,-14.95,52.73,36.96,-23.87,35.72,12.63,36.72
ETH,1h,st4.0,2,L,4,8,14.81,-87.84,50.33,24.8,-19.61,-7.79,139.53,4.24,-87.84,15.53,33.55,40.91
ETH,1d,macd26/52,1,L,4,8,14.71,-12.57,4.23,2.6,-10.26,0.0,40.47,32.75,-12.57,7.25,1.37,58.68
ETH,2h,macd26/52,1,L+S,4,8,14.7,-27.31,29.84,64.5,-3.22,4.71,42.81,35.61,-7.42,67.55,-27.31,4.88
BTC,4h,ema20/100,1,L+S,4,8,14.62,-9.14,17.22,10.2,9.26,1.16,-7.59,17.08,-9.14,51.25,-4.1,59.04
BTC,1d,st2.0,2,L+S,4,8,14.61,-90.57,38.07,7.2,26.7,28.22,-51.06,30.11,-90.57,41.78,59.17,72.56
ETH,1d,macd26/52,1,L+S,4,8,14.49,-40.45,16.97,5.6,10.75,33.75,10.97,22.37,25.37,11.64,-40.45,41.51
ETH,1d,st4.0,1,L,4,8,14.45,-15.47,2.44,1.6,-15.47,-14.49,43.39,14.39,-4.36,16.93,21.12,54.05
ETH,2h,ema20/100,2,L+S,4,8,14.4,-74.78,63.6,25.8,14.21,37.52,25.48,38.76,-74.78,70.66,67.25,-63.9
ETH,1d,ema5/20,1,L+S,4,8,14.33,-19.12,25.73,7.8,7.16,-7.6,56.85,46.29,26.91,-12.14,-19.12,16.32
ETH,4h,ema10/30,2,L,4,8,14.3,-119.31,44.3,16.1,-43.34,-18.59,84.56,32.31,-119.31,11.45,86.88,80.47
ETH,2h,macd26/52,1,L,4,8,14.09,-30.83,21.56,32.1,-19.73,-17.21,55.46,37.4,-30.83,38.12,9.76,39.73
ETH,1d,ema10/30,1,L+S,4,8,13.83,-26.09,21.75,5.8,17.41,-9.95,54.73,46.02,28.06,-26.09,-19.99,20.46
ETH,4h,ema5/20,2,L,4,8,13.8,-111.19,52.05,26.9,-46.4,-26.13,69.98,29.97,-111.19,25.43,112.74,55.99
XRP,1h,ema10/30,1,L,4,8,13.55,-44.96,33.53,64.8,-22.81,-16.52,42.08,-33.74,21.65,189.56,-44.96,-26.87
ETH,1d,ema20/100,2,L+S,4,8,13.31,-69.84,20.89,2.8,65.42,-7.23,162.35,-69.84,68.07,-56.73,-18.25,-37.27
ETH,2h,c>ema50,3,L,4,8,13.08,-126.04,84.72,66.0,-59.24,-41.8,107.39,54.32,-126.04,28.44,92.42,49.12
ETH,1d,c>ema100,1,L,4,8,12.83,-31.26,8.62,4.0,-1.42,-31.26,81.03,14.39,-25.96,10.55,10.65,44.63
BTC,2h,ema50/200,1,L+S,4,8,12.62,-13.0,18.66,10.1,10.19,-4.77,-13.0,18.85,-11.67,52.56,0.37,48.4
ETH,4h,c>ema50,3,L,4,8,12.28,-129.87,76.55,37.8,-49.04,-88.21,99.1,60.66,-129.87,28.35,147.03,30.19
ETH,2h,st4.0,1,L,4,8,11.92,-44.87,16.59,12.5,-6.81,-6.76,60.92,13.89,-44.87,22.46,35.52,21.02
ETH,2h,ema10/30,1,L,4,8,11.86,-48.73,22.68,30.6,-21.8,-6.19,41.05,21.42,-48.73,15.65,60.93,32.51
ETH,1d,c>ema50,1,L,4,8,11.8,-22.49,12.87,6.1,-15.12,-22.49,70.74,14.39,-11.57,-5.17,4.85,58.75
ETH,4h,ema50/200,1,L+S,4,8,11.67,-25.68,23.89,6.0,15.88,-10.79,52.75,40.01,25.87,-25.68,-21.99,17.32
ETH,4h,ema20/50,1,L,4,8,11.37,-48.39,18.1,8.6,-6.16,-9.7,36.57,45.49,-48.39,6.59,45.72,20.81
XRP,1d,ema10/30,1,L+S,4,8,11.37,-121.61,30.63,6.0,-4.89,4.25,10.7,-25.32,13.98,205.94,7.9,-121.61
ETH,4h,st2.0,1,L,4,8,11.34,-44.46,20.97,16.6,-16.78,-5.6,63.92,6.18,-44.46,25.82,42.81,18.82
ETH,2h,ema50/200,1,L,4,8,11.33,-27.27,12.78,5.2,-10.6,-27.27,40.92,40.93,-12.1,-7.72,29.24,37.27
XRP,2h,macd12/26,1,L+S,4,8,11.33,-87.64,43.56,134.9,-14.82,1.1,39.85,-23.39,62.28,123.89,-87.64,-10.63
XRP,2h,ema5/20,2,L+S,4,8,11.21,-196.06,103.63,109.9,20.16,-57.79,117.26,-122.59,62.42,373.14,-106.87,-196.06
ETH,1d,st3.0,2,L+S,4,8,11.05,-100.99,51.67,4.5,23.02,-65.05,71.2,81.55,91.32,-100.99,20.98,-33.64
BTC,1d,ema20/100,1,L+S,4,8,10.98,-9.04,8.71,2.5,26.47,13.77,8.98,-0.87,-9.04,3.37,34.64,10.55
ETH,1d,ema50/200,2,L,4,8,10.98,-69.43,0.2,1.0,0.0,-69.43,111.64,0.0,-41.07,-44.86,91.62,39.97
XRP,1h,macd26/52,3,L+S,4,8,10.81,-323.68,136.67,130.1,4.41,17.73,141.97,-58.31,139.9,275.45,-323.68,-110.96
XRP,1d,st4.0,2,L+S,4,8,10.61,-121.56,58.12,3.5,8.2,-24.54,77.64,-102.7,-121.56,348.84,-75.13,-25.83
SOL,1h,ema20/100,1,L+S,4,8,10.5,-74.62,49.18,46.5,-25.78,-21.73,-74.62,-16.19,-15.33,47.44,-35.71,225.95
ETH,1h,ema20/100,2,L,4,8,10.44,-116.16,51.62,24.1,-33.97,-27.02,59.13,47.34,-116.16,3.68,131.2,19.31
ETH,1d,ema20/100,1,L,4,8,10.23,-20.48,3.12,1.5,0.0,-20.48,81.18,-0.94,-7.39,-14.68,17.02,27.11
ETH,2h,st4.0,1,L+S,4,8,10.0,-33.26,26.37,25.1,22.47,26.55,48.65,-10.05,-32.83,41.35,17.12,-33.26
ETH,2h,c>ema50,2,L,4,8,8.72,-84.02,56.48,66.0,-39.49,-27.87,71.59,36.21,-84.02,18.96,61.62,32.74
ETH,2h,ema50/200,1,L+S,4,8,8.4,-16.25,28.68,10.8,10.29,-16.25,13.57,42.65,26.3,-15.29,6.17,-0.24
XRP,1h,ema5/20,3,L,4,8,8.32,-190.33,106.35,111.1,-75.22,-25.85,101.61,-58.4,79.03,354.23,-190.33,-118.55
ETH,4h,c>ema50,2,L,4,8,8.18,-86.58,51.03,37.8,-32.69,-58.81,66.07,40.44,-86.58,18.9,98.02,20.12
XRP,1h,ema20/50,3,L+S,4,8,8.15,-250.13,129.99,70.0,29.94,-57.58,100.84,-75.0,26.21,497.93,-206.99,-250.13
ETH,2h,ema5/20,1,L,4,8,7.92,-25.88,23.49,53.2,-9.48,-20.29,58.96,10.78,-25.88,20.87,16.04,12.34
ETH,4h,st3.0,1,L+S,4,8,7.9,-34.96,28.45,20.4,0.27,10.92,42.38,5.57,-34.96,35.99,15.47,-12.46
ETH,4h,st2.0,1,L+S,4,8,7.87,-37.71,36.88,34.0,0.75,28.71,56.27,-28.56,-32.56,46.77,29.27,-37.71
ETH,1d,c>ema200,1,L+S,4,8,7.44,-44.25,10.43,4.8,21.95,-3.61,53.04,-38.02,23.0,1.59,45.81,-44.25
XRP,1h,macd26/52,2,L+S,4,8,7.21,-215.79,91.11,130.1,2.94,11.82,94.65,-38.87,93.27,183.63,-215.79,-73.98
ETH,2h,ema20/100,1,L+S,4,8,7.2,-37.39,31.8,25.8,7.1,18.76,12.74,19.38,-37.39,35.33,33.63,-31.95
ETH,4h,ema5/20,1,L,4,8,6.9,-55.59,26.03,26.9,-23.2,-13.07,34.99,14.99,-55.59,12.72,56.37,27.99
ETH,1d,ema20/100,1,L+S,4,8,6.66,-34.92,10.45,2.8,32.71,-3.61,81.18,-34.92,34.03,-28.37,-9.13,-18.63
ETH,2h,st3.0,1,L,4,8,6.52,-39.19,21.64,19.1,-8.31,-4.78,53.56,1.35,-39.19,18.5,23.57,7.42
ETH,2h,ema20/50,1,L,4,8,5.83,-51.66,23.76,18.6,-23.09,-18.83,28.65,18.34,-51.66,1.74,67.31,24.21
XRP,2h,ema5/20,1,L+S,4,8,5.61,-98.03,51.81,109.9,10.08,-28.89,58.63,-61.29,31.21,186.57,-53.44,-98.03
ETH,1h,ema20/100,1,L,4,8,5.22,-58.08,25.81,24.1,-16.99,-13.51,29.56,23.67,-58.08,1.84,65.6,9.66
ETH,2h,c>ema50,1,L,4,8,4.36,-42.01,28.24,66.0,-19.75,-13.93,35.8,18.11,-42.01,9.48,30.81,16.37
ETH,4h,c>ema50,1,L,4,8,4.09,-43.29,25.52,37.8,-16.35,-29.4,33.03,20.22,-43.29,9.45,49.01,10.06
ETH,1h,ema20/50,2,L+S,4,8,4.02,-115.41,70.65,69.2,-26.88,53.23,-10.14,-16.46,-115.41,82.32,52.54,13.0
XRP,1h,macd26/52,1,L+S,4,8,3.6,-107.89,45.56,130.1,1.47,5.91,47.32,-19.44,46.63,91.82,-107.89,-36.99
ETH,2h,ema5/20,1,L+S,4,8,1.84,-51.02,40.42,106.8,14.84,-0.92,48.36,-18.43,3.04,34.33,-15.47,-51.02
ETH,1h,st4.0,3,L+S,4,8,0.21,-110.87,131.49,50.1,41.49,91.85,203.94,-110.87,-95.94,20.74,-45.57,-104.0
ETH,1h,st4.0,2,L+S,4,8,0.14,-73.91,87.66,50.1,27.66,61.23,135.96,-73.91,-63.96,13.82,-30.38,-69.33
XRP,1h,c>ema50,1,L,4,8,-0.43,-65.62,39.91,152.4,-35.58,-10.56,44.3,-25.5,1.1,149.8,-61.41,-65.62
ETH,4h,ema5/20,1,L+S,4,8,-0.57,-56.15,39.54,54.1,-12.92,13.65,-1.05,-8.43,-56.15,21.81,57.19,-18.67
ETH,2h,macd12/26,1,L+S,4,8,-0.7,-41.95,40.73,127.8,45.65,-24.07,79.28,-15.07,-29.96,-41.95,-10.09,-9.42
ETH,2h,st3.0,1,L+S,4,8,-0.8,-60.23,39.44,38.9,18.09,28.78,35.66,-38.16,-21.82,32.81,-1.54,-60.23
ETH,4h,ema10/30,2,L+S,4,8,-0.99,-126.72,64.64,32.6,-17.5,44.16,22.71,-11.19,-126.72,14.79,54.6,11.25
ETH,4h,ema5/20,2,L+S,4,8,-1.15,-112.3,79.09,54.1,-25.84,27.29,-2.1,-16.86,-112.3,43.61,114.37,-37.34
XRP,1h,st4.0,2,L+S,4,8,-1.41,-379.88,107.98,47.9,24.98,37.25,27.14,-82.6,20.61,429.43,-88.19,-379.88
ETH,4h,ema10/30,3,L+S,4,8,-1.48,-190.08,96.96,32.6,-26.25,66.23,34.06,-16.79,-190.08,22.18,81.9,16.87
ETH,2h,st3.0,3,L+S,4,8,-2.4,-180.68,118.32,38.9,54.26,86.35,106.98,-114.48,-65.47,98.43,-4.61,-180.68
ETH,2h,ema20/50,1,L+S,4,8,-2.79,-48.1,34.62,37.6,-10.72,2.73,-13.77,-1.58,-48.1,0.15,73.81,-24.87
ETH,1h,c>ema100,3,L,4,8,-3.64,-162.93,89.82,94.0,-44.05,-24.63,94.09,65.11,-162.93,-19.14,65.66,-3.25
XRP,1h,st3.0,2,L+S,4,8,-3.69,-379.21,112.34,70.6,28.21,-10.49,34.35,-82.94,114.14,374.4,-107.94,-379.21
ETH,1h,ema20/100,1,L+S,4,8,-4.65,-60.78,41.12,48.5,1.35,12.8,-10.84,7.79,-60.78,-1.15,68.96,-55.29
XRP,1h,macd12/26,1,L,4,8,-4.79,-77.44,39.0,141.1,-12.77,-18.62,10.63,9.75,5.36,57.72,-77.44,-12.95
ETH,1d,ema50/200,2,L+S,4,8,-4.88,-93.91,10.87,2.0,65.42,-71.84,78.78,-65.7,22.47,-93.91,91.62,-65.87
XRP,1h,ema10/30,1,L+S,4,8,-5.22,-136.61,60.5,129.8,-6.11,-3.58,44.68,-75.27,33.35,172.12,-70.34,-136.61
ETH,2h,c>ema50,1,L+S,4,8,-5.39,-42.85,41.42,132.4,-5.21,12.34,-0.94,-4.55,-27.12,13.01,12.23,-42.85
SOL,1h,ema5/20,1,L+S,4,8,-5.53,-42.03,59.06,207.4,8.16,-42.03,53.79,-30.16,-11.26,-39.97,-27.23,44.43
ETH,2h,ema20/50,2,L+S,4,8,-5.59,-96.21,69.23,37.6,-21.45,5.46,-27.54,-3.16,-96.21,0.31,147.61,-49.74
ETH,4h,c>ema50,1,L+S,4,8,-5.59,-53.61,37.85,75.9,1.65,-18.25,-6.56,2.26,-29.36,14.86,44.29,-53.61
ETH,1d,ema50/200,3,L+S,4,8,-7.32,-140.86,16.31,2.0,98.12,-107.76,118.17,-98.55,33.71,-140.86,137.44,-98.81
ETH,2h,ema20/50,3,L+S,4,8,-8.38,-144.31,103.85,37.6,-32.17,8.19,-41.31,-4.74,-144.31,0.46,221.42,-74.61
ETH,1h,ema20/100,2,L+S,4,8,-9.29,-121.57,82.25,48.5,2.69,25.6,-21.67,15.59,-121.57,-2.31,137.91,-110.58
XRP,1h,st2.0,2,L+S,4,8,-13.22,-339.28,106.98,131.4,-25.03,45.57,61.22,-23.68,181.3,177.18,-183.07,-339.28
ETH,1h,ema10/30,1,L+S,4,8,-14.46,-76.96,49.94,130.0,15.75,0.58,20.98,-33.87,-37.37,44.22,-48.98,-76.96
XRP,1h,st2.0,3,L+S,4,8,-19.83,-508.92,160.47,131.4,-37.55,68.35,91.83,-35.51,271.95,265.77,-274.6,-508.92
ETH,1h,st3.0,2,L+S,4,8,-25.59,-128.35,89.51,77.4,7.44,10.7,109.42,-107.29,-40.41,-55.38,-0.86,-128.35
