coin,tf,signal,lev,mode,beat_cnt,total_periods,avg_ret,min_ret,max_dd_avg,avg_trades,bear_2026q1_ret,bear_2025q4_ret,bull_2025q3_ret,bull_2025q2_ret,bear_2025q1_ret,bull_2024h2_ret,bear_2024h1_ret,bull_2023_ret
XRP,4h,macd26/52,3,L,5,8,85.74,-87.92,51.07,15.6,-72.05,11.19,58.66,-27.54,115.28,420.91,-87.92,267.4
SOL,4h,ema10/30,2,L,5,8,85.34,-57.37,39.35,14.5,-57.37,-33.02,31.56,62.81,-17.42,47.79,64.06,584.31
SOL,2h,c>ema200,2,L+S,5,8,84.07,-76.08,63.8,57.8,26.62,15.92,-22.92,44.49,75.62,82.03,-76.08,526.89
SOL,2h,ema10/30,2,L+S,5,8,79.17,-52.65,70.29,55.1,-32.96,43.66,-24.28,-52.65,73.54,53.05,54.33,518.66
XRP,2h,st3.0,3,L,5,8,77.62,-93.33,58.01,17.8,-39.7,-25.49,82.25,9.03,-21.69,599.66,-93.33,110.27
XRP,2h,ema20/100,2,L,5,8,76.77,-65.08,38.3,12.0,-19.89,-42.4,40.57,9.09,-41.55,643.19,-65.08,90.26
SOL,2h,st3.0,2,L,5,8,75.46,-41.72,47.31,19.8,-26.11,-41.72,78.22,-13.36,-22.0,31.66,-1.55,598.55
SOL,2h,macd26/52,2,L,5,8,73.1,-78.22,52.58,30.8,-78.22,-5.95,82.61,11.19,25.39,47.84,85.97,415.96
XRP,2h,c>ema100,2,L,5,8,65.87,-111.26,52.43,48.6,-26.2,-24.25,54.25,-34.33,18.57,625.17,-111.26,25.04
BTC,1d,ema10/30,3,L,5,8,64.35,-31.6,7.8,2.4,-14.1,-31.6,6.11,67.97,-29.93,102.66,117.72,295.95
SOL,4h,st4.0,1,L+S,5,8,62.09,-26.91,19.18,11.5,5.66,8.26,-26.91,45.54,24.46,13.5,115.84,310.4
BTC,4h,c>ema100,3,L,5,8,61.83,-42.4,36.86,19.5,-42.4,-7.91,-1.59,65.04,-23.56,123.22,112.07,269.78
BTC,1d,c>ema50,3,L,5,8,61.81,-30.89,17.51,4.9,-30.89,-16.85,-0.58,58.17,-16.12,94.43,115.71,290.59
XRP,1d,st2.0,2,L,5,8,60.51,-53.09,24.27,2.8,-1.88,-9.96,40.8,1.95,-40.75,569.05,-22.01,-53.09
BTC,4h,macd26/52,3,L,5,8,59.81,-62.96,28.05,15.2,-62.96,13.86,-11.14,25.77,18.74,125.48,84.37,284.39
ETH,4h,macd26/52,3,L+S,5,8,58.29,-76.74,80.88,30.8,25.52,58.66,-4.0,26.9,-76.74,142.97,125.92,167.1
BTC,2h,c>ema200,3,L,5,8,57.21,-49.53,38.11,26.5,-49.53,-1.27,-0.79,56.2,-36.56,120.44,115.64,253.54
BTC,4h,ema20/100,3,L,5,8,57.08,-32.46,22.33,4.8,-24.21,-32.46,4.38,63.62,-30.61,152.53,67.87,255.53
ETH,4h,c>ema100,3,L+S,5,8,55.14,-68.66,73.16,43.6,9.05,67.87,-20.64,137.63,-53.28,244.95,124.23,-68.66
BTC,4h,ema20/50,3,L,5,8,55.02,-44.39,30.16,8.0,-28.16,-23.57,12.47,81.22,-44.39,106.52,90.31,245.76
SOL,4h,st4.0,1,L,5,8,54.91,-23.71,13.05,5.8,-16.17,-23.71,11.24,36.43,-4.81,24.26,86.57,325.51
BTC,2h,ema50/200,3,L,5,8,53.76,-40.77,23.49,4.8,-23.92,-40.77,-3.47,66.89,-34.28,154.21,72.85,238.6
XRP,1h,st4.0,3,L,5,8,53.54,-162.88,78.89,23.6,-39.34,-17.55,88.72,-52.02,28.26,680.89,-97.77,-162.88
ETH,4h,st4.0,3,L+S,5,8,52.12,-158.01,75.17,13.6,66.23,87.37,80.05,165.99,-158.01,205.62,20.57,-50.89
XRP,2h,st3.0,2,L,5,8,51.75,-62.22,38.68,17.8,-26.47,-17.0,54.83,6.02,-14.46,399.77,-62.22,73.51
BTC,4h,st3.0,3,L,5,8,51.69,-53.91,30.86,9.9,-53.91,12.88,5.89,62.89,-40.83,107.7,74.1,244.78
BTC,2h,st4.0,3,L,5,8,50.94,-68.1,38.17,12.8,-59.14,6.22,2.78,54.44,-68.1,146.72,86.17,238.43
BTC,1d,macd26/52,3,L,5,8,50.47,-31.6,10.4,2.6,-19.53,-31.6,-1.03,45.99,-21.24,102.98,107.85,220.36
BTC,1d,ema5/20,3,L,5,8,50.08,-43.75,18.84,4.0,-13.45,-41.04,-19.23,74.24,-43.75,119.29,111.38,213.19
ETH,2h,c>ema200,3,L+S,5,8,49.68,-47.62,78.77,55.5,4.34,47.94,-0.17,141.79,-45.42,216.45,80.11,-47.62
ETH,4h,macd26/52,3,L,5,8,49.53,-123.13,56.78,15.5,-38.37,-31.46,99.24,72.45,-123.13,78.1,140.1,199.28
ETH,4h,c>ema100,3,L,5,8,49.38,-108.94,48.64,21.6,-43.05,-26.6,93.62,127.93,-108.94,129.58,147.82,74.69
BTC,1d,ema50/200,3,L+S,5,8,47.88,-55.0,1.75,1.5,79.4,-55.0,26.95,68.05,-38.64,145.86,125.29,31.12
BTC,1h,ema50/200,3,L,5,8,46.41,-60.01,35.2,10.2,-50.41,-19.59,4.64,50.08,-60.01,75.72,138.69,232.13
XRP,4h,ema5/20,2,L,5,8,45.9,-74.34,44.78,26.8,-29.35,-30.09,49.22,9.16,14.09,445.95,-74.34,-17.42
ETH,1d,st4.0,3,L+S,5,8,44.93,-4.96,37.91,3.0,-4.03,24.55,32.04,-4.96,116.77,100.23,-2.92,97.77
ETH,1d,ema10/30,3,L,5,8,44.36,-70.01,25.78,2.8,-18.8,-70.01,203.34,121.56,-26.01,-34.63,39.43,140.04
BTC,4h,ema20/100,3,L+S,5,8,43.86,-27.42,51.65,10.2,27.78,3.47,-22.78,51.25,-27.42,153.76,-12.31,177.11
BTC,2h,ema20/50,3,L,5,8,43.59,-98.16,47.11,16.6,-98.16,-6.99,-5.95,53.51,-81.52,79.56,131.46,276.84
BTC,4h,ema5/20,3,L,5,8,43.25,-63.78,43.83,24.8,-63.78,4.9,-26.31,33.92,-46.26,179.49,79.64,184.43
ETH,1d,ema5/20,3,L+S,5,8,43.0,-57.37,77.18,7.8,21.48,-22.8,170.55,138.88,80.74,-36.43,-57.37,48.97
ETH,4h,ema50/200,3,L,5,8,41.89,-74.63,29.51,2.9,-22.34,-74.63,201.9,117.32,-29.8,-35.82,40.83,137.66
BTC,4h,c>ema100,2,L,5,8,41.22,-28.27,24.57,19.5,-28.27,-5.27,-1.06,43.36,-15.71,82.14,74.71,179.85
SOL,1d,macd12/26,1,L,5,8,41.07,-37.11,18.73,5.8,-8.44,-37.11,15.08,11.46,-29.7,32.41,55.99,288.85
BTC,1d,ema10/30,2,L+S,5,8,40.69,-16.58,23.18,5.0,31.06,0.82,-9.84,44.95,-16.58,34.32,68.92,171.83
BTC,4h,ema10/30,3,L,5,8,40.27,-89.33,46.21,15.5,-89.33,-13.34,-3.42,55.68,-58.27,70.47,131.14,229.26
XRP,4h,st3.0,2,L+S,5,8,40.09,-222.89,83.76,19.0,-37.66,-24.97,44.52,-0.3,-107.21,571.62,-222.89,97.63
BTC,4h,ema20/50,3,L+S,5,8,40.03,-53.12,50.92,16.5,17.33,22.57,-6.99,83.14,-53.12,78.21,21.73,157.4
BTC,4h,macd26/52,2,L,5,8,39.88,-41.97,18.7,15.2,-41.97,9.24,-7.43,17.18,12.5,83.65,56.25,189.6
ETH,4h,macd26/52,2,L+S,5,8,38.86,-51.16,53.92,30.8,17.01,39.11,-2.67,17.93,-51.16,95.31,83.94,111.4
ETH,1d,c>ema100,3,L,5,8,38.48,-93.79,25.87,4.0,-4.26,-93.79,243.08,43.18,-77.89,31.65,31.95,133.89
BTC,2h,c>ema200,2,L,5,8,38.14,-33.02,25.4,26.5,-33.02,-0.84,-0.53,37.47,-24.37,80.29,77.09,169.03
BTC,1h,ema20/100,3,L,5,8,38.12,-77.34,50.55,22.2,-77.34,-3.1,-14.12,32.47,-73.17,141.74,109.44,189.0
BTC,1d,ema50/200,2,L,5,8,37.67,-40.42,0.0,1.0,0.0,-40.42,17.97,45.36,-25.76,97.24,83.53,123.46
BTC,4h,c>ema50,3,L,5,8,36.6,-73.41,52.78,32.9,-62.38,-18.19,-14.17,42.62,-73.41,123.99,70.36,223.97
BTC,4h,st3.0,3,L+S,5,8,36.42,-47.92,50.39,20.1,-22.2,94.13,-20.31,51.14,-47.92,81.16,-4.69,160.04
SOL,1d,macd12/26,1,L+S,5,8,36.36,-24.17,32.37,11.1,22.38,-22.79,-18.5,-1.17,-24.17,31.26,71.31,232.59
BTC,4h,c>ema200,2,L,5,8,35.9,-24.19,16.42,13.9,-2.17,-8.3,-4.26,30.1,-24.19,46.3,74.71,175.02
BTC,2h,ema50/200,2,L,5,8,35.84,-27.18,15.66,4.8,-15.95,-27.18,-2.31,44.59,-22.85,102.81,48.57,159.07
XRP,1h,st4.0,2,L,5,8,35.69,-108.59,52.59,23.6,-26.22,-11.7,59.15,-34.68,18.84,453.93,-65.18,-108.59
XRP,2h,st2.0,3,L+S,5,8,35.47,-362.26,147.95,65.2,60.11,-10.88,69.94,-72.88,161.02,607.66,-168.95,-362.26
BTC,4h,st3.0,2,L,5,8,34.46,-35.94,20.57,9.9,-35.94,8.59,3.93,41.93,-27.22,71.8,49.4,163.18
ETH,1h,ema50/200,3,L,5,8,34.39,-152.74,53.41,11.0,-43.46,-25.1,127.92,110.65,-152.74,35.85,131.91,90.12
XRP,1d,ema10/30,3,L+S,5,8,34.11,-364.83,91.91,6.0,-14.67,12.75,32.11,-75.95,41.94,617.82,23.7,-364.83
ETH,4h,ema20/50,3,L,5,8,34.1,-145.18,54.29,8.6,-18.47,-29.11,109.72,136.47,-145.18,19.77,137.17,62.43
BTC,2h,st4.0,2,L,5,8,33.96,-45.4,25.45,12.8,-39.43,4.15,1.85,36.29,-45.4,97.82,57.45,158.96
ETH,1d,c>ema200,3,L,5,8,33.95,-61.44,9.95,2.5,-3.72,-61.44,200.72,-6.76,-38.23,0.35,137.44,43.21
BTC,1d,macd26/52,2,L,5,8,33.65,-21.06,6.93,2.6,-13.02,-21.06,-0.69,30.66,-14.16,68.65,71.9,146.9
ETH,1d,st2.0,3,L,5,8,33.57,-67.84,30.66,3.5,-67.84,-66.76,55.79,131.41,-23.16,13.2,78.32,147.63
BTC,1d,ema5/20,3,L+S,5,8,33.26,-66.88,55.25,8.2,49.56,-15.91,-66.88,78.72,-51.12,84.4,89.8,97.5
