coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,c>ema50,2,L,bear_2018,-73.0,-242.68,False,343,0.149,279.87
BTC,1h,c>ema50,2,L+S,bear_2018,-73.0,-289.28,False,686,0.152,326.83
BTC,1h,c>ema50,3,L,bear_2018,-73.0,-364.02,False,343,0.149,419.81
BTC,1h,c>ema50,3,L+S,bear_2018,-73.0,-433.91,False,686,0.152,490.24
BTC,1h,c>ema100,1,L,bear_2018,-73.0,-15.29,True,193,0.15,47.9
BTC,1h,c>ema100,1,L+S,bear_2018,-73.0,61.31,True,387,0.165,45.42
BTC,1h,c>ema100,2,L,bear_2018,-73.0,-30.58,True,193,0.15,95.79
BTC,1h,c>ema100,2,L+S,bear_2018,-73.0,122.62,True,387,0.165,90.84
BTC,1h,c>ema100,3,L,bear_2018,-73.0,-45.86,True,193,0.15,143.69
BTC,1h,c>ema100,3,L+S,bear_2018,-73.0,183.92,True,387,0.165,136.26
BTC,1h,c>ema200,1,L,bear_2018,-73.0,-17.17,True,147,0.095,38.03
BTC,1h,c>ema200,1,L+S,bear_2018,-73.0,63.87,True,295,0.136,51.05
BTC,1h,c>ema200,2,L,bear_2018,-73.0,-34.35,True,147,0.095,76.05
BTC,1h,c>ema200,2,L+S,bear_2018,-73.0,127.75,True,295,0.136,102.1
BTC,1h,c>ema200,3,L,bear_2018,-73.0,-51.52,True,147,0.095,114.08
BTC,1h,c>ema200,3,L+S,bear_2018,-73.0,191.62,True,295,0.136,153.15
BTC,1h,macd12/26,1,L,bear_2018,-73.0,-107.57,False,335,0.322,125.17
BTC,1h,macd12/26,1,L+S,bear_2018,-73.0,-124.38,False,670,0.321,165.45
BTC,1h,macd12/26,2,L,bear_2018,-73.0,-215.14,False,335,0.322,250.34
BTC,1h,macd12/26,2,L+S,bear_2018,-73.0,-248.77,False,670,0.321,330.91
BTC,1h,macd12/26,3,L,bear_2018,-73.0,-322.72,False,335,0.322,375.5
BTC,1h,macd12/26,3,L+S,bear_2018,-73.0,-373.15,False,670,0.321,496.36
BTC,1h,macd26/52,1,L,bear_2018,-73.0,-61.33,True,147,0.306,73.57
BTC,1h,macd26/52,1,L+S,bear_2018,-73.0,-25.85,True,294,0.347,60.52
BTC,1h,macd26/52,2,L,bear_2018,-73.0,-122.65,False,147,0.306,147.14
BTC,1h,macd26/52,2,L+S,bear_2018,-73.0,-51.69,True,294,0.347,121.05
BTC,1h,macd26/52,3,L,bear_2018,-73.0,-183.98,False,147,0.306,220.72
BTC,1h,macd26/52,3,L+S,bear_2018,-73.0,-77.54,False,294,0.347,181.57
BTC,1h,st2.0,1,L,bear_2018,-73.0,-91.02,False,151,0.272,96.69
BTC,1h,st2.0,1,L+S,bear_2018,-73.0,-85.35,False,302,0.311,128.74
BTC,1h,st2.0,2,L,bear_2018,-73.0,-182.04,False,151,0.272,193.38
BTC,1h,st2.0,2,L+S,bear_2018,-73.0,-170.71,False,302,0.311,257.49
BTC,1h,st2.0,3,L,bear_2018,-73.0,-273.07,False,151,0.272,290.07
BTC,1h,st2.0,3,L+S,bear_2018,-73.0,-256.06,False,302,0.311,386.23
BTC,1h,st3.0,1,L,bear_2018,-73.0,-13.46,True,85,0.306,44.29
BTC,1h,st3.0,1,L+S,bear_2018,-73.0,67.29,True,170,0.341,30.22
BTC,1h,st3.0,2,L,bear_2018,-73.0,-26.92,True,85,0.306,88.58
BTC,1h,st3.0,2,L+S,bear_2018,-73.0,134.57,True,170,0.341,60.43
BTC,1h,st3.0,3,L,bear_2018,-73.0,-40.38,True,85,0.306,132.87
BTC,1h,st3.0,3,L+S,bear_2018,-73.0,201.86,True,170,0.341,90.65
BTC,1h,ema10/30,1,L,range_2019,94.4,35.93,False,158,0.209,47.52
BTC,1h,ema10/30,1,L+S,range_2019,94.4,-20.88,False,317,0.202,63.28
