coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
ETH,1h,ema10/30,2,L+S,bear_2018,-82.07,308.07,True,272,0.301,86.46
ETH,1h,ema10/30,3,L,bear_2018,-82.07,67.3,True,136,0.279,213.9
ETH,1h,ema10/30,3,L+S,bear_2018,-82.07,462.1,True,272,0.301,129.69
ETH,1h,ema20/50,1,L,bear_2018,-82.07,94.81,True,80,0.25,55.88
ETH,1h,ema20/50,1,L+S,bear_2018,-82.07,276.76,True,160,0.312,33.43
ETH,1h,ema20/50,2,L,bear_2018,-82.07,189.61,True,80,0.25,111.75
ETH,1h,ema20/50,2,L+S,bear_2018,-82.07,553.51,True,160,0.312,66.85
ETH,1h,ema20/50,3,L,bear_2018,-82.07,284.42,True,80,0.25,167.63
ETH,1h,ema20/50,3,L+S,bear_2018,-82.07,830.27,True,160,0.312,100.28
ETH,1h,ema20/100,1,L,bear_2018,-82.07,64.75,True,50,0.26,64.91
ETH,1h,ema20/100,1,L+S,bear_2018,-82.07,218.06,True,99,0.283,58.71
ETH,1h,ema20/100,2,L,bear_2018,-82.07,129.49,True,50,0.26,129.81
ETH,1h,ema20/100,2,L+S,bear_2018,-82.07,436.12,True,99,0.283,117.42
ETH,1h,ema20/100,3,L,bear_2018,-82.07,194.24,True,50,0.26,194.72
ETH,1h,ema20/100,3,L+S,bear_2018,-82.07,654.18,True,99,0.283,176.13
ETH,1h,ema50/200,1,L,bear_2018,-82.07,34.3,True,24,0.167,94.17
ETH,1h,ema50/200,1,L+S,bear_2018,-82.07,150.18,True,47,0.277,85.59
ETH,1h,ema50/200,2,L,bear_2018,-82.07,68.6,True,24,0.167,188.34
ETH,1h,ema50/200,2,L+S,bear_2018,-82.07,300.36,True,47,0.277,171.18
ETH,1h,ema50/200,3,L,bear_2018,-82.07,102.9,True,24,0.167,282.51
ETH,1h,ema50/200,3,L+S,bear_2018,-82.07,450.54,True,47,0.277,256.78
ETH,1h,ema5/20,1,L,bear_2018,-82.07,-15.92,True,247,0.243,112.02
ETH,1h,ema5/20,1,L+S,bear_2018,-82.07,89.03,True,494,0.277,57.81
ETH,1h,ema5/20,2,L,bear_2018,-82.07,-31.85,True,247,0.243,224.03
ETH,1h,ema5/20,2,L+S,bear_2018,-82.07,178.06,True,494,0.277,115.62
ETH,1h,ema5/20,3,L,bear_2018,-82.07,-47.77,True,247,0.243,336.05
ETH,1h,ema5/20,3,L+S,bear_2018,-82.07,267.08,True,494,0.277,173.43
ETH,1h,ema10/50,1,L,bear_2018,-82.07,55.48,True,113,0.248,61.2
ETH,1h,ema10/50,1,L+S,bear_2018,-82.07,207.17,True,226,0.292,42.43
ETH,1h,ema10/50,2,L,bear_2018,-82.07,110.96,True,113,0.248,122.4
ETH,1h,ema10/50,2,L+S,bear_2018,-82.07,414.33,True,226,0.292,84.87
ETH,1h,ema10/50,3,L,bear_2018,-82.07,166.44,True,113,0.248,183.59
ETH,1h,ema10/50,3,L+S,bear_2018,-82.07,621.5,True,226,0.292,127.3
ETH,1h,c>ema50,1,L,bear_2018,-82.07,-99.55,False,371,0.137,180.14
ETH,1h,c>ema50,1,L+S,bear_2018,-82.07,-95.17,False,742,0.16,188.19
ETH,1h,c>ema50,2,L,bear_2018,-82.07,-199.11,False,371,0.137,360.28
ETH,1h,c>ema50,2,L+S,bear_2018,-82.07,-190.34,False,742,0.16,376.38
ETH,1h,c>ema50,3,L,bear_2018,-82.07,-298.66,False,371,0.137,540.42
ETH,1h,c>ema50,3,L+S,bear_2018,-82.07,-285.51,False,742,0.16,564.57
ETH,1h,c>ema100,1,L,bear_2018,-82.07,-26.07,True,241,0.133,107.09
ETH,1h,c>ema100,1,L+S,bear_2018,-82.07,42.08,True,482,0.143,100.84
ETH,1h,c>ema100,2,L,bear_2018,-82.07,-52.14,True,241,0.133,214.19
ETH,1h,c>ema100,2,L+S,bear_2018,-82.07,84.15,True,482,0.143,201.67
ETH,1h,c>ema100,3,L,bear_2018,-82.07,-78.21,True,241,0.133,321.28
ETH,1h,c>ema100,3,L+S,bear_2018,-82.07,126.23,True,482,0.143,302.51
ETH,1h,c>ema200,1,L,bear_2018,-82.07,27.44,True,157,0.096,95.16
ETH,1h,c>ema200,1,L+S,bear_2018,-82.07,121.41,True,313,0.109,81.39
ETH,1h,c>ema200,2,L,bear_2018,-82.07,54.88,True,157,0.096,190.31
ETH,1h,c>ema200,2,L+S,bear_2018,-82.07,242.82,True,313,0.109,162.79
ETH,1h,c>ema200,3,L,bear_2018,-82.07,82.32,True,157,0.096,285.47
ETH,1h,c>ema200,3,L+S,bear_2018,-82.07,364.23,True,313,0.109,244.18
ETH,1h,macd12/26,1,L,bear_2018,-82.07,25.52,True,314,0.382,63.28
ETH,1h,macd12/26,1,L+S,bear_2018,-82.07,158.68,True,628,0.392,54.56
ETH,1h,macd12/26,2,L,bear_2018,-82.07,51.04,True,314,0.382,126.56
ETH,1h,macd12/26,2,L+S,bear_2018,-82.07,317.36,True,628,0.392,109.11
ETH,1h,macd12/26,3,L,bear_2018,-82.07,76.56,True,314,0.382,189.84
ETH,1h,macd12/26,3,L+S,bear_2018,-82.07,476.04,True,628,0.392,163.67
ETH,1h,macd26/52,1,L,bear_2018,-82.07,20.72,True,140,0.357,91.47
ETH,1h,macd26/52,1,L+S,bear_2018,-82.07,160.77,True,280,0.393,57.25
ETH,1h,macd26/52,2,L,bear_2018,-82.07,41.44,True,140,0.357,182.93
ETH,1h,macd26/52,2,L+S,bear_2018,-82.07,321.55,True,280,0.393,114.5
ETH,1h,macd26/52,3,L,bear_2018,-82.07,62.16,True,140,0.357,274.4
ETH,1h,macd26/52,3,L+S,bear_2018,-82.07,482.32,True,280,0.393,171.75
ETH,1h,st2.0,1,L,bear_2018,-82.07,-9.34,True,157,0.369,96.91
ETH,1h,st2.0,1,L+S,bear_2018,-82.07,98.42,True,314,0.408,52.11
ETH,1h,st2.0,2,L,bear_2018,-82.07,-18.68,True,157,0.369,193.82
ETH,1h,st2.0,2,L+S,bear_2018,-82.07,196.84,True,314,0.408,104.21
ETH,1h,st2.0,3,L,bear_2018,-82.07,-28.02,True,157,0.369,290.73
ETH,1h,st2.0,3,L+S,bear_2018,-82.07,295.25,True,314,0.408,156.32
ETH,1h,st3.0,1,L,bear_2018,-82.07,31.73,True,85,0.365,70.76
ETH,1h,st3.0,1,L+S,bear_2018,-82.07,175.17,True,171,0.398,41.41
ETH,1h,st3.0,2,L,bear_2018,-82.07,63.45,True,85,0.365,141.51
ETH,1h,st3.0,2,L+S,bear_2018,-82.07,350.34,True,171,0.398,82.81
ETH,1h,st3.0,3,L,bear_2018,-82.07,95.18,True,85,0.365,212.27
ETH,1h,st3.0,3,L+S,bear_2018,-82.07,525.51,True,171,0.398,124.22
ETH,1h,ema10/30,1,L,range_2019,-1.74,40.02,True,154,0.286,28.03
ETH,1h,ema10/30,1,L+S,range_2019,-1.74,53.49,True,309,0.285,43.38
ETH,1h,ema10/30,2,L,range_2019,-1.74,80.03,True,154,0.286,56.06
ETH,1h,ema10/30,2,L+S,range_2019,-1.74,106.99,True,309,0.285,86.75
ETH,1h,ema10/30,3,L,range_2019,-1.74,120.05,True,154,0.286,84.09
ETH,1h,ema10/30,3,L+S,range_2019,-1.74,160.48,True,309,0.285,130.13
ETH,1h,ema20/50,1,L,range_2019,-1.74,23.29,True,81,0.247,36.19
ETH,1h,ema20/50,1,L+S,range_2019,-1.74,24.22,True,163,0.258,37.0
ETH,1h,ema20/50,2,L,range_2019,-1.74,46.59,True,81,0.247,72.38
ETH,1h,ema20/50,2,L+S,range_2019,-1.74,48.45,True,163,0.258,73.99
ETH,1h,ema20/50,3,L,range_2019,-1.74,69.88,True,81,0.247,108.57
ETH,1h,ema20/50,3,L+S,range_2019,-1.74,72.67,True,163,0.258,110.99
ETH,1h,ema20/100,1,L,range_2019,-1.74,58.58,True,52,0.25,39.79
ETH,1h,ema20/100,1,L+S,range_2019,-1.74,90.95,True,104,0.279,35.28
ETH,1h,ema20/100,2,L,range_2019,-1.74,117.16,True,52,0.25,79.58
ETH,1h,ema20/100,2,L+S,range_2019,-1.74,181.91,True,104,0.279,70.56
ETH,1h,ema20/100,3,L,range_2019,-1.74,175.74,True,52,0.25,119.37
ETH,1h,ema20/100,3,L+S,range_2019,-1.74,272.86,True,104,0.279,105.84
ETH,1h,ema50/200,1,L,range_2019,-1.74,78.45,True,17,0.294,14.08
ETH,1h,ema50/200,1,L+S,range_2019,-1.74,135.73,True,33,0.394,11.13
ETH,1h,ema50/200,2,L,range_2019,-1.74,156.9,True,17,0.294,28.15
ETH,1h,ema50/200,2,L+S,range_2019,-1.74,271.47,True,33,0.394,22.26
ETH,1h,ema50/200,3,L,range_2019,-1.74,235.34,True,17,0.294,42.23
ETH,1h,ema50/200,3,L+S,range_2019,-1.74,407.2,True,33,0.394,33.4
ETH,1h,ema5/20,1,L,range_2019,-1.74,6.4,True,266,0.244,51.59
ETH,1h,ema5/20,1,L+S,range_2019,-1.74,-10.77,False,533,0.242,44.02
ETH,1h,ema5/20,2,L,range_2019,-1.74,12.79,True,266,0.244,103.18
ETH,1h,ema5/20,2,L+S,range_2019,-1.74,-21.54,False,533,0.242,88.04
ETH,1h,ema5/20,3,L,range_2019,-1.74,19.19,True,266,0.244,154.77
ETH,1h,ema5/20,3,L+S,range_2019,-1.74,-32.31,False,533,0.242,132.06
ETH,1h,ema10/50,1,L,range_2019,-1.74,26.42,True,108,0.25,31.66
ETH,1h,ema10/50,1,L+S,range_2019,-1.74,26.68,True,217,0.272,38.2
ETH,1h,ema10/50,2,L,range_2019,-1.74,52.85,True,108,0.25,63.31
ETH,1h,ema10/50,2,L+S,range_2019,-1.74,53.37,True,217,0.272,76.41
ETH,1h,ema10/50,3,L,range_2019,-1.74,79.27,True,108,0.25,94.97
ETH,1h,ema10/50,3,L+S,range_2019,-1.74,80.05,True,217,0.272,114.61
ETH,1h,c>ema50,1,L,range_2019,-1.74,-39.08,False,377,0.156,62.64
ETH,1h,c>ema50,1,L+S,range_2019,-1.74,-104.55,False,755,0.158,109.09
ETH,1h,c>ema50,2,L,range_2019,-1.74,-78.16,False,377,0.156,125.28
ETH,1h,c>ema50,2,L+S,range_2019,-1.74,-209.1,False,755,0.158,218.17
ETH,1h,c>ema50,3,L,range_2019,-1.74,-117.24,False,377,0.156,187.93
ETH,1h,c>ema50,3,L+S,range_2019,-1.74,-313.65,False,755,0.158,327.26
ETH,1h,c>ema100,1,L,range_2019,-1.74,40.94,True,228,0.127,45.29
ETH,1h,c>ema100,1,L+S,range_2019,-1.74,58.77,True,457,0.151,31.12
ETH,1h,c>ema100,2,L,range_2019,-1.74,81.89,True,228,0.127,90.58
ETH,1h,c>ema100,2,L+S,range_2019,-1.74,117.54,True,457,0.151,62.24
ETH,1h,c>ema100,3,L,range_2019,-1.74,122.83,True,228,0.127,135.87
ETH,1h,c>ema100,3,L+S,range_2019,-1.74,176.31,True,457,0.151,93.36
ETH,1h,c>ema200,1,L,range_2019,-1.74,59.2,True,124,0.129,40.64
ETH,1h,c>ema200,1,L+S,range_2019,-1.74,93.74,True,248,0.153,50.65
ETH,1h,c>ema200,2,L,range_2019,-1.74,118.41,True,124,0.129,81.28
ETH,1h,c>ema200,2,L+S,range_2019,-1.74,187.47,True,248,0.153,101.3
ETH,1h,c>ema200,3,L,range_2019,-1.74,177.61,True,124,0.129,121.92
