iteration,coin,timeframe,strategy,trend_filter,tp_pct,sl_pct,signal_count,total_trades,win_rate,total_return,avg_return,max_drawdown,sharpe_ratio
iter4_combined_best,BTC,1h,support_bounce,True,0.05,0.02,47,14,28.57,-57.33,-4.09,51.02,-1.4963
iter4_combined_best,BTC,1h,candle_pattern,True,0.05,0.02,77,20,35.0,-81.97,-4.1,71.47,-2.2569
iter4_combined_best,BTC,1h,macd_cross+ema_cross,True,0.05,0.02,3,3,66.67,15.09,5.03,0.0,0.5984
iter4_combined_best,BTC,1h,macd_cross+support_bounce,True,0.05,0.02,6,5,40.0,3.16,0.63,10.5,0.1103
iter4_combined_best,BTC,1h,macd_cross+candle_pattern,True,0.05,0.02,5,4,25.0,6.65,1.66,13.26,0.2975
iter4_combined_best,BTC,1h,ema_cross+bollinger_bounce,True,0.05,0.02,1,1,100.0,24.5,24.5,0.0,0.0
iter4_combined_best,BTC,1h,ema_cross+support_bounce,True,0.05,0.02,5,5,40.0,0.42,0.08,10.5,0.0144
iter4_combined_best,BTC,1h,ema_cross+candle_pattern,True,0.05,0.02,2,2,50.0,19.26,9.63,0.0,0.9156
iter4_combined_best,BTC,1h,bollinger_bounce+support_bounce,True,0.05,0.02,6,5,20.0,-9.87,-1.97,23.87,-0.3255
iter4_combined_best,BTC,1h,bollinger_bounce+candle_pattern,True,0.05,0.02,1,1,100.0,24.5,24.5,0.0,0.0
iter4_combined_best,BTC,1h,support_bounce+candle_pattern,True,0.05,0.02,6,6,33.33,8.88,1.48,24.13,0.2929
iter4_combined_best,BTC,4h,macd_cross,True,0.05,0.02,1,1,100.0,24.5,24.5,0.0,0.0
iter4_combined_best,BTC,4h,ema_cross,True,0.05,0.02,1,1,100.0,24.5,24.5,0.0,0.0
iter4_combined_best,BTC,4h,bollinger_bounce,True,0.05,0.02,1,1,0.0,-10.5,-10.5,0.0,0.0
iter4_combined_best,BTC,4h,support_bounce,True,0.05,0.02,4,3,33.33,3.5,1.17,10.5,0.1225
