coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
SOL,1h,macd26/52,3,L+S,bear_2022,-94.14,15.75,True,313,0.332,322.31
SOL,1h,st2.0,1,L,bear_2022,-94.14,-144.0,False,181,0.298,152.26
SOL,1h,st2.0,1,L+S,bear_2022,-94.14,-56.3,True,362,0.356,159.07
SOL,1h,st2.0,2,L,bear_2022,-94.14,-288.01,False,181,0.298,304.52
SOL,1h,st2.0,2,L+S,bear_2022,-94.14,-112.61,False,362,0.356,318.15
SOL,1h,st2.0,3,L,bear_2022,-94.14,-432.01,False,181,0.298,456.77
SOL,1h,st2.0,3,L+S,bear_2022,-94.14,-168.91,False,362,0.356,477.22
SOL,1h,st3.0,1,L,bear_2022,-94.14,-110.86,False,100,0.31,127.05
SOL,1h,st3.0,1,L+S,bear_2022,-94.14,-3.31,True,200,0.36,115.04
SOL,1h,st3.0,2,L,bear_2022,-94.14,-221.71,False,100,0.31,254.1
SOL,1h,st3.0,2,L+S,bear_2022,-94.14,-6.61,True,200,0.36,230.09
SOL,1h,st3.0,3,L,bear_2022,-94.14,-332.57,False,100,0.31,381.15
SOL,1h,st3.0,3,L+S,bear_2022,-94.14,-9.92,True,200,0.36,345.13
SOL,1h,ema10/30,1,L,bull_2023,920.26,234.33,False,153,0.288,26.67
SOL,1h,ema10/30,1,L+S,bull_2023,920.26,179.59,False,306,0.291,40.71
SOL,1h,ema10/30,2,L,bull_2023,920.26,468.67,False,153,0.288,53.34
SOL,1h,ema10/30,2,L+S,bull_2023,920.26,359.18,False,306,0.291,81.42
SOL,1h,ema10/30,3,L,bull_2023,920.26,703.0,False,153,0.288,80.01
SOL,1h,ema10/30,3,L+S,bull_2023,920.26,538.77,False,306,0.291,122.13
SOL,1h,ema20/50,1,L,bull_2023,920.26,257.3,False,78,0.359,27.2
SOL,1h,ema20/50,1,L+S,bull_2023,920.26,224.26,False,156,0.314,45.09
SOL,1h,ema20/50,2,L,bull_2023,920.26,514.61,False,78,0.359,54.4
SOL,1h,ema20/50,2,L+S,bull_2023,920.26,448.51,False,156,0.314,90.18
SOL,1h,ema20/50,3,L,bull_2023,920.26,771.91,False,78,0.359,81.59
SOL,1h,ema20/50,3,L+S,bull_2023,920.26,672.77,False,156,0.314,135.27
SOL,1h,ema20/100,1,L,bull_2023,920.26,286.34,False,46,0.348,27.45
SOL,1h,ema20/100,1,L+S,bull_2023,920.26,227.33,False,93,0.312,53.68
SOL,1h,ema20/100,2,L,bull_2023,920.26,572.68,False,46,0.348,54.9
SOL,1h,ema20/100,2,L+S,bull_2023,920.26,454.67,False,93,0.312,107.36
SOL,1h,ema20/100,3,L,bull_2023,920.26,859.01,False,46,0.348,82.35
SOL,1h,ema20/100,3,L+S,bull_2023,920.26,682.0,False,93,0.312,161.05
