coin,tf,signal,lev,mode,period,ret,bh_ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,ema50/200,2,L+S,bear_2025q4,20.82,-23.3,True,9,0.333,5.78
BTC,1h,ema50/200,3,L,bear_2025q4,-19.59,-23.3,True,5,0.0,16.77
BTC,1h,ema50/200,3,L+S,bear_2025q4,31.23,-23.3,True,9,0.333,8.66
BTC,1h,ema10/30,1,L,bear_2025q4,-13.81,-23.3,True,29,0.172,23.37
BTC,1h,ema10/30,1,L+S,bear_2025q4,-5.81,-23.3,True,58,0.241,22.75
BTC,1h,ema10/30,2,L,bear_2025q4,-27.61,-23.3,False,29,0.172,46.75
BTC,1h,ema10/30,2,L+S,bear_2025q4,-11.62,-23.3,True,58,0.241,45.49
BTC,1h,ema10/30,3,L,bear_2025q4,-41.42,-23.3,False,29,0.172,70.12
BTC,1h,ema10/30,3,L+S,bear_2025q4,-17.43,-23.3,True,58,0.241,68.24
BTC,1h,ema20/100,1,L,bear_2025q4,-1.03,-23.3,True,9,0.333,9.82
BTC,1h,ema20/100,1,L+S,bear_2025q4,19.71,-23.3,True,17,0.412,12.05
BTC,1h,ema20/100,2,L,bear_2025q4,-2.06,-23.3,True,9,0.333,19.65
BTC,1h,ema20/100,2,L+S,bear_2025q4,39.42,-23.3,True,17,0.412,24.09
BTC,1h,ema20/100,3,L,bear_2025q4,-3.1,-23.3,True,9,0.333,29.47
BTC,1h,ema20/100,3,L+S,bear_2025q4,59.13,-23.3,True,17,0.412,36.14
BTC,1h,ema5/20,1,L,bear_2025q4,-13.97,-23.3,True,58,0.276,20.05
BTC,1h,ema5/20,1,L+S,bear_2025q4,-5.72,-23.3,True,116,0.276,13.25
BTC,1h,ema5/20,2,L,bear_2025q4,-27.95,-23.3,False,58,0.276,40.1
BTC,1h,ema5/20,2,L+S,bear_2025q4,-11.45,-23.3,True,116,0.276,26.51
BTC,1h,ema5/20,3,L,bear_2025q4,-41.92,-23.3,False,58,0.276,60.15
BTC,1h,ema5/20,3,L+S,bear_2025q4,-17.17,-23.3,True,116,0.276,39.76
BTC,1h,c>ema50,1,L,bear_2025q4,-5.49,-23.3,True,64,0.109,15.79
BTC,1h,c>ema50,1,L+S,bear_2025q4,10.86,-23.3,True,128,0.18,12.24
BTC,1h,c>ema50,2,L,bear_2025q4,-10.97,-23.3,True,64,0.109,31.58
BTC,1h,c>ema50,2,L+S,bear_2025q4,21.72,-23.3,True,128,0.18,24.47
BTC,1h,c>ema50,3,L,bear_2025q4,-16.46,-23.3,True,64,0.109,47.36
BTC,1h,c>ema50,3,L+S,bear_2025q4,32.59,-23.3,True,128,0.18,36.71
BTC,1h,c>ema100,1,L,bear_2025q4,-0.51,-23.3,True,37,0.189,12.71
BTC,1h,c>ema100,1,L+S,bear_2025q4,20.54,-23.3,True,73,0.233,14.66
BTC,1h,c>ema100,2,L,bear_2025q4,-1.03,-23.3,True,37,0.189,25.42
BTC,1h,c>ema100,2,L+S,bear_2025q4,41.08,-23.3,True,73,0.233,29.33
BTC,1h,c>ema100,3,L,bear_2025q4,-1.54,-23.3,True,37,0.189,38.14
BTC,1h,c>ema100,3,L+S,bear_2025q4,61.63,-23.3,True,73,0.233,43.99
BTC,1h,c>ema200,1,L,bear_2025q4,-2.4,-23.3,True,22,0.182,8.46
BTC,1h,c>ema200,1,L+S,bear_2025q4,17.61,-23.3,True,43,0.209,10.72
BTC,1h,c>ema200,2,L,bear_2025q4,-4.81,-23.3,True,22,0.182,16.92
BTC,1h,c>ema200,2,L+S,bear_2025q4,35.22,-23.3,True,43,0.209,21.44
BTC,1h,c>ema200,3,L,bear_2025q4,-7.21,-23.3,True,22,0.182,25.37
BTC,1h,c>ema200,3,L+S,bear_2025q4,52.83,-23.3,True,43,0.209,32.15
BTC,1h,macd12/26,1,L,bear_2025q4,-22.81,-23.3,True,66,0.318,28.67
BTC,1h,macd12/26,1,L+S,bear_2025q4,-23.38,-23.3,False,133,0.308,32.77
BTC,1h,macd12/26,2,L,bear_2025q4,-45.61,-23.3,False,66,0.318,57.34
BTC,1h,macd12/26,2,L+S,bear_2025q4,-46.75,-23.3,False,133,0.308,65.55
BTC,1h,macd12/26,3,L,bear_2025q4,-68.42,-23.3,False,66,0.318,86.01
BTC,1h,macd12/26,3,L+S,bear_2025q4,-70.13,-23.3,False,133,0.308,98.32
BTC,1h,macd26/52,1,L,bear_2025q4,-27.08,-23.3,False,36,0.278,29.56
BTC,1h,macd26/52,1,L+S,bear_2025q4,-31.93,-23.3,False,72,0.306,32.28
BTC,1h,macd26/52,2,L,bear_2025q4,-54.17,-23.3,False,36,0.278,59.11
BTC,1h,macd26/52,2,L+S,bear_2025q4,-63.85,-23.3,False,72,0.306,64.55
BTC,1h,macd26/52,3,L,bear_2025q4,-81.25,-23.3,False,36,0.278,88.67
BTC,1h,macd26/52,3,L+S,bear_2025q4,-95.78,-23.3,False,72,0.306,96.83
BTC,1h,st2.0,1,L,bear_2025q4,-12.11,-23.3,True,37,0.297,18.81
BTC,1h,st2.0,1,L+S,bear_2025q4,-1.81,-23.3,True,74,0.311,13.33
BTC,1h,st2.0,2,L,bear_2025q4,-24.22,-23.3,False,37,0.297,37.62
BTC,1h,st2.0,2,L+S,bear_2025q4,-3.61,-23.3,True,74,0.311,26.67
BTC,1h,st2.0,3,L,bear_2025q4,-36.34,-23.3,False,37,0.297,56.44
BTC,1h,st2.0,3,L+S,bear_2025q4,-5.42,-23.3,True,74,0.311,40.0
BTC,1h,st3.0,1,L,bear_2025q4,-10.66,-23.3,True,21,0.333,19.74
BTC,1h,st3.0,1,L+S,bear_2025q4,0.76,-23.3,True,42,0.357,11.19
