entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold
2025-06-30 15:00:00+00:00,2025-06-30 15:45:00+00:00,long,106789.3,107490.93999999999,107490.93999999999,106433.53876058625,win,1.8511,3
2025-07-04 02:45:00+00:00,2025-07-04 05:45:00+00:00,long,109138.0,108875.43126882704,109492.09000000001,108875.43126882704,loss,-0.8418,12
2025-07-17 18:30:00+00:00,2025-07-17 20:00:00+00:00,short,119672.9,118795.825,118795.825,120227.61203049251,win,2.0787,6
2025-07-18 08:45:00+00:00,2025-07-18 14:15:00+00:00,long,118637.3,118069.73803719447,119903.13,118069.73803719447,loss,-1.5552,22
2025-08-05 08:00:00+00:00,2025-08-05 08:15:00+00:00,long,113952.5,114235.64000000001,114235.64000000001,113631.74300964955,win,0.6254,1
2025-08-06 15:00:00+00:00,2025-08-06 18:00:00+00:00,short,114985.5,115525.92610264545,114164.215,115525.92610264545,loss,-1.53,12
2025-08-07 20:00:00+00:00,2025-08-08 05:30:00+00:00,short,117245.1,116541.98500000002,116541.98500000002,117701.29330671242,win,1.6791,38
2025-08-20 14:00:00+00:00,2025-08-20 14:30:00+00:00,long,112654.3,113475.91,113475.91,112184.01699406267,win,2.068,2
2025-08-25 20:15:00+00:00,2025-08-25 20:30:00+00:00,long,110463.4,109724.40473945127,112022.35999999999,109724.40473945127,loss,-2.127,1
2025-09-09 06:15:00+00:00,2025-09-09 06:45:00+00:00,short,112573.0,112935.19235813119,111723.81999999999,112935.19235813119,loss,-1.0852,2
2025-09-11 22:45:00+00:00,2025-09-11 23:45:00+00:00,short,115037.3,115349.02837623513,114423.155,115349.02837623513,loss,-0.9329,4
2025-09-15 04:45:00+00:00,2025-09-15 05:15:00+00:00,short,116006.5,116310.95340449308,115339.38999999998,116310.95340449308,loss,-0.9073,2
2025-09-18 23:15:00+00:00,2025-09-19 00:30:00+00:00,long,116766.0,117319.095,117319.095,116464.22172930375,win,1.301,5
2025-09-23 03:00:00+00:00,2025-09-23 03:15:00+00:00,long,111771.2,112359.37000000002,112359.37000000002,111398.15190531877,win,1.4587,1
2025-09-24 11:15:00+00:00,2025-09-24 14:30:00+00:00,short,112984.4,113258.3590232872,112633.50999999998,113258.3590232872,loss,-0.8474,13
2025-10-08 17:30:00+00:00,2025-10-09 01:00:00+00:00,short,123718.0,122665.70499999999,122665.70499999999,124384.16900072135,win,2.4317,30
2025-10-10 15:30:00+00:00,2025-10-10 16:00:00+00:00,long,119520.1,118737.17656593898,121207.92999999998,118737.17656593898,loss,-2.0852,2
2025-10-24 14:30:00+00:00,2025-10-24 20:45:00+00:00,long,110018.4,110954.62,110954.62,109358.88126170535,win,2.4329,25
2025-11-03 15:30:00+00:00,2025-11-03 17:15:00+00:00,long,106063.1,107528.34,107528.34,105229.86906377663,win,4.0244,7
2025-11-05 12:45:00+00:00,2025-11-05 14:30:00+00:00,short,102622.7,103229.32163264079,101834.99,103229.32163264079,loss,-1.8934,7
2025-11-11 13:30:00+00:00,2025-11-11 14:45:00+00:00,long,104312.3,103856.92422895589,104981.14499999999,103856.92422895589,loss,-1.4297,5
2025-11-12 09:15:00+00:00,2025-11-12 12:15:00+00:00,short,104715.0,105174.20291338245,103549.985,105174.20291338245,loss,-1.4356,12
