entry_dt,exit_dt,side,regime,entry,exit,tp,sl,result,pnl_pct,hold
2025-04-28 19:45:00+00:00,2025-04-29 01:00:00+00:00,short,trend,94740.9,95212.00122344312,93955.73129426147,95212.00122344312,loss,-1.6118,21
2025-05-03 15:00:00+00:00,2025-05-03 16:30:00+00:00,short,trend,96408.0,96083.04396301549,96083.04396301549,96602.97362219071,win,0.8912,6
2025-05-04 14:30:00+00:00,2025-05-04 22:00:00+00:00,short,trend,95507.6,95172.4,95172.4,95730.53140737895,win,0.9329,30
2025-05-05 05:45:00+00:00,2025-05-05 10:30:00+00:00,short,trend,94697.4,94152.11884124827,94152.11884124827,95024.56869525103,win,1.6074,19
2025-05-08 13:30:00+00:00,2025-05-08 14:45:00+00:00,long,trend,99252.3,99775.87555679039,99775.87555679039,98938.15466592577,win,1.4626,5
2025-05-09 09:00:00+00:00,2025-05-09 13:45:00+00:00,long,trend,102606.7,103656.34523301465,103656.34523301465,101976.9128601912,win,2.9489,19
2025-05-11 14:00:00+00:00,2025-05-11 15:15:00+00:00,long,trend,103900.0,104568.29549930316,104568.29549930316,103499.0227004181,win,1.8096,5
2025-05-12 06:15:00+00:00,2025-05-12 07:00:00+00:00,long,breakout,104165.9,104769.59372885096,104769.59372885096,103763.43751409935,win,1.6187,3
2025-05-13 14:00:00+00:00,2025-05-13 16:00:00+00:00,long,trend,103034.4,103845.53509925862,103845.53509925862,102547.71894044481,win,2.2417,8
2025-05-15 12:30:00+00:00,2025-05-15 13:30:00+00:00,short,trend,102731.4,102051.2493736232,102051.2493736232,103139.49037582608,win,1.8662,4
2025-05-17 14:45:00+00:00,2025-05-17 20:45:00+00:00,short,trend,103074.9,103328.30044895686,102652.56591840522,103328.30044895686,loss,-0.8575,24
2025-05-20 06:15:00+00:00,2025-05-20 07:45:00+00:00,long,trend,105440.0,104942.38188478131,106269.36352536448,104942.38188478131,loss,-1.5358,6
2025-05-21 07:45:00+00:00,2025-05-21 13:45:00+00:00,long,trend,106463.6,107450.43979506585,107450.43979506585,105871.49612296051,win,2.6608,24
2025-05-21 17:30:00+00:00,2025-05-21 19:30:00+00:00,long,trend,106450.0,108179.00275354054,108179.00275354054,105412.59834787567,win,4.7527,8
2025-05-28 23:00:00+00:00,2025-05-29 00:45:00+00:00,short,trend,107806.5,108214.95754145566,107125.73743090723,108214.95754145566,loss,-1.2566,7
2025-05-30 12:30:00+00:00,2025-05-30 14:15:00+00:00,short,trend,105868.7,105000.40364684383,105000.40364684383,106389.67781189369,win,2.3405,7
2025-06-01 14:15:00+00:00,2025-06-01 16:00:00+00:00,short,trend,104620.7,104918.52964902502,104124.31725162496,104918.52964902502,loss,-0.974,7
2025-06-08 22:00:00+00:00,2025-06-08 22:30:00+00:00,long,trend,105888.6,105655.40757433299,106277.25404277838,105655.40757433299,loss,-0.7807,2
2025-06-08 22:45:00+00:00,2025-06-09 01:45:00+00:00,long,trend,105710.3,105446.3149930064,106150.275011656,105446.3149930064,loss,-0.8692,12
2025-06-14 06:15:00+00:00,2025-06-14 07:15:00+00:00,short,breakout,105122.4,104763.02964610611,104763.02964610611,105361.98023592925,win,0.9056,4
2025-06-14 19:00:00+00:00,2025-06-14 20:00:00+00:00,short,trend,104937.1,104376.52045521387,104376.52045521387,105273.44772687169,win,1.4826,4
2025-06-16 22:30:00+00:00,2025-06-16 23:45:00+00:00,long,trend,107396.6,106884.08656306051,108250.78906156583,106884.08656306051,loss,-1.5516,5
2025-06-19 17:30:00+00:00,2025-06-20 07:15:00+00:00,short,trend,104672.6,105049.01301239905,104045.24497933494,105049.01301239905,loss,-1.1988,55
2025-06-22 22:30:00+00:00,2025-06-23 05:45:00+00:00,short,trend,100849.7,101698.78475068997,99434.55874885003,101698.78475068997,loss,-2.6458,29
2025-06-23 11:15:00+00:00,2025-06-23 13:30:00+00:00,long,trend,101180.1,100822.33333349739,101776.37777750437,100822.33333349739,loss,-1.1808,9
2025-06-29 16:00:00+00:00,2025-06-29 16:45:00+00:00,long,trend,107621.2,107367.72256434683,108043.66239275527,107367.72256434683,loss,-0.8266,3
2025-06-29 21:30:00+00:00,2025-06-29 22:15:00+00:00,short,trend,107632.9,107850.75432980688,107269.80945032185,107850.75432980688,loss,-0.7272,3
2025-06-29 22:15:00+00:00,2025-06-29 22:45:00+00:00,short,trend,107971.8,108216.77354686068,107563.51075523219,108216.77354686068,loss,-0.8007,2
2025-07-04 22:00:00+00:00,2025-07-05 04:15:00+00:00,short,trend,107986.1,108255.01029106839,107537.91618155269,108255.01029106839,loss,-0.8671,25
2025-07-06 18:30:00+00:00,2025-07-06 20:15:00+00:00,long,trend,108361.4,108795.40215257056,108795.40215257056,108100.99870845766,win,1.0815,7
2025-07-11 13:30:00+00:00,2025-07-11 15:45:00+00:00,long,trend,117415.3,116918.08629222818,118243.98951295303,116918.08629222818,loss,-1.3904,9
2025-07-14 11:15:00+00:00,2025-07-14 14:30:00+00:00,long,trend,121538.3,121004.23032001546,122428.41613330759,121004.23032001546,loss,-1.4383,13
2025-07-20 17:45:00+00:00,2025-07-20 22:00:00+00:00,long,trend,118003.4,117630.11486452172,118625.54189246379,117630.11486452172,loss,-1.069,17
2025-07-21 03:00:00+00:00,2025-07-21 06:30:00+00:00,short,trend,118400.0,118978.9307918215,117435.11534696416,118978.9307918215,loss,-1.5869,14
2025-07-23 11:15:00+00:00,2025-07-23 12:45:00+00:00,short,trend,118554.5,117920.0810626902,117920.0810626902,118935.15136238588,win,1.4854,6
2025-07-23 15:45:00+00:00,2025-07-23 16:15:00+00:00,short,trend,118531.0,117654.79451809947,117654.79451809947,119056.72328914033,win,2.0977,2
2025-07-25 10:00:00+00:00,2025-07-25 14:30:00+00:00,short,trend,116200.0,115101.73872651703,115101.73872651703,116858.95676408979,win,2.7154,18
2025-07-27 07:00:00+00:00,2025-07-27 09:00:00+00:00,long,trend,118086.0,117912.8985063845,118374.50248935918,117912.8985063845,loss,-0.5598,8
2025-08-08 01:15:00+00:00,2025-08-08 15:00:00+00:00,short,breakout,116873.7,116222.71505903211,116222.71505903211,117307.68996064525,win,1.551,55
2025-08-11 07:45:00+00:00,2025-08-11 10:45:00+00:00,long,trend,121534.8,121047.20865060131,122347.45224899781,121047.20865060131,loss,-1.3236,12
2025-08-12 02:30:00+00:00,2025-08-12 05:30:00+00:00,short,trend,119126.3,118445.02597559309,118445.02597559309,119535.06441464415,win,1.5957,12
2025-08-14 04:45:00+00:00,2025-08-14 05:45:00+00:00,long,trend,123057.0,122575.44178500994,123859.59702498344,122575.44178500994,loss,-1.294,4
2025-08-17 22:30:00+00:00,2025-08-17 23:15:00+00:00,short,trend,117900.3,117502.8393525673,117502.8393525673,118138.77638845962,win,0.8913,3
2025-08-18 12:30:00+00:00,2025-08-18 13:30:00+00:00,short,trend,115278.4,115654.52356485493,114651.52739190843,115654.52356485493,loss,-1.0988,4
2025-08-20 08:15:00+00:00,2025-08-20 11:15:00+00:00,long,breakout,113796.0,113500.93345623958,114238.59981564063,113500.93345623958,loss,-0.8979,12
2025-08-24 02:45:00+00:00,2025-08-24 09:00:00+00:00,long,trend,114969.9,114713.10536789303,115397.8910535116,114713.10536789303,loss,-0.7901,25
2025-08-25 14:00:00+00:00,2025-08-25 15:15:00+00:00,short,trend,111781.1,112415.23588562728,110724.20685728789,112415.23588562728,loss,-1.8219,5
2025-08-27 19:00:00+00:00,2025-08-27 20:15:00+00:00,long,trend,111623.6,111102.61138354326,112491.91436076125,111102.61138354326,loss,-1.5202,5
2025-08-28 03:00:00+00:00,2025-08-28 04:30:00+00:00,short,trend,111819.0,112267.26982351573,111071.88362747377,112267.26982351573,loss,-1.3227,6
2025-08-28 14:15:00+00:00,2025-08-28 14:45:00+00:00,long,trend,112592.6,113265.63163753012,113265.63163753012,112188.78101748193,win,1.6733,2
2025-08-30 08:00:00+00:00,2025-08-30 12:30:00+00:00,long,breakout,108595.4,108312.80084458069,109019.29873312895,108312.80084458069,loss,-0.9007,18
2025-08-31 04:30:00+00:00,2025-08-31 06:30:00+00:00,long,trend,108685.1,108455.52367218501,109067.72721302499,108455.52367218501,loss,-0.7537,8
2025-08-31 15:45:00+00:00,2025-08-31 18:15:00+00:00,short,trend,108758.2,109011.45936030222,108336.10106616296,109011.45936030222,loss,-0.8186,10
2025-09-02 08:00:00+00:00,2025-09-02 08:45:00+00:00,long,trend,109999.9,110597.9,110597.9,109617.28919630182,win,1.5109,3
2025-09-02 12:00:00+00:00,2025-09-02 12:30:00+00:00,long,trend,109364.5,108961.1650793016,110036.72486783066,108961.1650793016,loss,-1.2264,2
2025-09-05 14:00:00+00:00,2025-09-05 14:15:00+00:00,long,trend,112194.4,111597.2590862486,113189.63485625232,111597.2590862486,loss,-1.7167,1
2025-09-05 19:45:00+00:00,2025-09-05 21:15:00+00:00,short,trend,111550.1,110750.11774082876,110750.11774082876,112030.08935550274,win,2.0315,6
2025-09-06 08:45:00+00:00,2025-09-06 09:00:00+00:00,long,breakout,110906.5,110758.03125625724,111129.20311561415,110758.03125625724,loss,-0.5216,1
2025-09-13 20:00:00+00:00,2025-09-14 04:15:00+00:00,short,trend,115881.2,115501.54878116553,115501.54878116553,116108.99073130067,win,0.8629,33
2025-09-15 08:00:00+00:00,2025-09-15 08:45:00+00:00,long,trend,115453.1,115062.73124180835,116103.71459698612,115062.73124180835,loss,-1.1344,3
2025-09-16 00:15:00+00:00,2025-09-16 01:15:00+00:00,long,trend,114975.9,115483.63343839698,115483.63343839698,114671.2599369618,win,1.2048,4
2025-09-16 15:45:00+00:00,2025-09-16 17:00:00+00:00,short,trend,115877.9,116277.02234513003,115212.69609144994,116277.02234513003,loss,-1.1533,5
2025-09-20 17:15:00+00:00,2025-09-20 18:15:00+00:00,long,trend,115791.4,115665.34214991254,116001.49641681241,115665.34214991254,loss,-0.4466,4
2025-09-24 10:00:00+00:00,2025-09-24 13:30:00+00:00,long,breakout,112763.8,113177.02026764746,113177.02026764746,112488.31982156837,win,0.9793,14
2025-09-30 13:30:00+00:00,2025-09-30 14:00:00+00:00,short,trend,113466.9,112909.76447998876,112909.76447998876,113801.18131200674,win,1.353,2
2025-09-30 14:45:00+00:00,2025-09-30 16:30:00+00:00,short,trend,113539.5,112815.06172905723,112815.06172905723,113974.16296256566,win,1.7941,7
