entry,exit,hold,result,net_ret,hurst,rsi_entry,window,ts_entry,ts_exit
69654.59010999999,70452.7,48,timeout,0.010058109059856862,0.49,26.82325247357008,2,2024-03-26 14:15:00,2024-03-27 02:15:00
70370.40479,70021.15217135541,17,sl,-0.006263061100569666,0.49,32.78282890254857,2,2024-03-29 03:15:00,2024-03-29 07:30:00
70847.34783,70334.35450994362,5,sl,-0.00854082602622364,0.49,34.672911318020894,2,2024-04-09 06:30:00,2024-04-09 07:45:00
70472.53541999999,70094.96879581068,2,sl,-0.006657642121701672,0.49,33.24292188273395,2,2024-04-12 12:30:00,2024-04-12 13:00:00
63493.042199999996,63793.9,48,timeout,0.0033384373086474224,0.49,34.82907870827367,2,2024-04-19 23:00:00,2024-04-20 11:00:00
64505.94598,65633.73821195612,37,tp,0.016083539150108683,0.49,33.3441302523524,2,2024-04-21 16:00:00,2024-04-22 01:15:00
64720.51033,65421.8,48,timeout,0.009435663477068345,0.49,27.89438668256183,2,2024-05-16 17:15:00,2024-05-17 05:15:00
69437.02485999999,69704.4,48,timeout,0.0024506134233010365,0.49,31.821834098918046,2,2024-05-21 19:15:00,2024-05-22 07:15:00
57421.321229999994,57066.88799905378,2,sl,-0.007472502188281877,0.49,33.47319987546257,3,2024-07-07 07:00:00,2024-07-07 07:30:00
57968.985479999996,57516.01377150029,4,sl,-0.0091140354665338,0.49,29.796522346929024,3,2024-07-10 12:30:00,2024-07-10 13:30:00
59505.24622,60126.04705748714,2,tp,0.009132707650548098,0.49,34.623908456782644,3,2024-07-14 14:15:00,2024-07-14 14:45:00
63950.179299999996,63457.18515170736,2,sl,-0.009009034653052755,0.49,33.48623338592549,3,2024-07-16 05:15:00,2024-07-16 05:45:00
63422.32099,62852.56659060165,1,sl,-0.010283499665491334,0.49,29.86360112442071,3,2024-07-16 06:30:00,2024-07-16 06:45:00
62986.59030999999,64310.11991311819,32,tp,0.019612879036699848,0.49,29.843544409750024,3,2024-07-16 07:15:00,2024-07-16 15:15:00
66797.53325,67379.97699172894,37,tp,0.007319539680440889,0.49,32.30498570338655,3,2024-07-21 06:15:00,2024-07-21 15:30:00
67256.97104,66813.21828187171,32,sl,-0.00799787009831854,0.49,31.32274091048582,3,2024-07-22 06:30:00,2024-07-22 14:30:00
68720.61,68163.45654895896,3,sl,-0.009407516086382847,0.49,31.77626721616312,3,2024-07-29 14:00:00,2024-07-29 14:45:00
59931.07393,61171.07422120951,43,tp,0.019290440032124885,0.49,31.092344082175586,3,2024-08-09 13:30:00,2024-08-10 00:15:00
60717.70985,60275.11110289892,4,sl,-0.008589450609953815,0.49,34.12640463300298,3,2024-08-11 11:00:00,2024-08-11 12:00:00
59427.823,59088.66635390705,23,sl,-0.007007034667801077,0.49,34.13242330746884,3,2024-08-18 17:15:00,2024-08-18 23:00:00
60013.49865,59482.21084634191,2,sl,-0.010152805045687632,0.49,33.46267546547368,3,2024-08-20 14:15:00,2024-08-20 14:45:00
60162.743409999995,61244.22850869543,31,tp,0.016675993736277553,0.49,31.079804411486634,3,2024-08-22 02:45:00,2024-08-22 10:30:00
63603.275259999995,64386.55115538148,9,tp,0.011015024535758235,0.49,31.55692121507917,3,2024-08-24 21:45:00,2024-08-25 00:00:00
56715.70961,56174.12599650593,14,sl,-0.010849093491348615,0.49,29.593340115714184,3,2024-09-11 01:45:00,2024-09-11 05:15:00
59918.47015,59664.498585172965,23,sl,-0.00553861897994463,0.49,34.149957245471114,3,2024-09-14 05:45:00,2024-09-14 11:30:00
59649.68954,59313.338427215225,16,sl,-0.006938773904417779,0.49,25.59305112172585,3,2024-09-18 09:45:00,2024-09-18 13:45:00
62902.8652,62505.6804767495,20,sl,-0.007614254875157935,0.49,30.208750501791627,3,2024-09-20 13:00:00,2024-09-20 18:00:00
71528.95225,72388.31332241702,4,tp,0.010714171120715862,0.49,25.438753164883963,3,2024-10-30 13:30:00,2024-10-30 14:30:00
74487.43953,75481.80335304876,37,tp,0.011949416080388605,0.49,32.11888113434192,3,2024-11-07 06:00:00,2024-11-07 15:15:00
79039.20465,80632.21757966658,6,tp,0.018854718619965058,0.49,32.83890570940687,3,2024-11-10 20:45:00,2024-11-10 22:15:00
86452.72804,89165.59984199921,34,tp,0.029979828763113357,0.49,29.639272987712232,3,2024-11-12 10:30:00,2024-11-12 19:00:00
88680.79625999999,90655.4,48,timeout,0.02086641869803173,0.49,34.095965641779046,3,2024-11-13 21:00:00,2024-11-14 09:00:00
90406.61385,89934.92625883782,13,sl,-0.00651740137225785,0.49,33.73925739573066,3,2024-11-16 22:45:00,2024-11-17 02:00:00
96223.75846999999,98292.65671450963,12,tp,0.020200908688311897,0.49,30.367346942653867,3,2024-11-21 15:15:00,2024-11-21 18:15:00
97683.19617,99039.94842455414,14,tp,0.01258931062608722,0.49,27.670057424516912,3,2024-11-22 13:15:00,2024-11-22 16:45:00
95258.86909,95527.4,48,timeout,0.0014189596681679578,0.49,32.47064948829359,3,2024-11-28 03:15:00,2024-11-28 15:15:00
101450.52603000001,100249.83279384134,13,sl,-0.013135258851231665,0.49,34.16877383910787,3,2024-12-05 15:30:00,2024-12-05 18:45:00
99832.44075,98552.54057395118,2,sl,-0.014120483666766579,0.49,29.633887660424293,3,2024-12-05 19:30:00,2024-12-05 20:00:00
99492.03865999999,99565.6,48,timeout,-0.0006606308907650364,0.49,34.82509474544703,3,2024-12-06 23:15:00,2024-12-07 11:15:00
99953.57708,99711.2,48,timeout,-0.00382489650776594,0.49,32.93389051611594,3,2024-12-12 19:15:00,2024-12-13 07:15:00
103748.91533999999,104936.12227176591,11,tp,0.01014307801074616,0.49,29.977770174506873,3,2024-12-16 11:45:00,2024-12-16 14:30:00
97937.07230999999,97675.30170666169,7,sl,-0.003972844890744929,0.49,32.78382649317939,4,2025-01-05 08:00:00,2025-01-05 09:45:00
100644.38425999999,100228.26132361137,12,sl,-0.005434586737732238,0.49,20.484723415621588,4,2025-01-07 11:30:00,2025-01-07 14:30:00
99033.90126,98534.88640118735,24,sl,-0.006338828648207559,0.49,31.98087342147261,4,2025-01-16 08:30:00,2025-01-16 14:30:00
103297.17985999999,102622.08532044986,3,sl,-0.007835459539796705,0.49,30.187466392652567,4,2025-01-18 03:30:00,2025-01-18 04:15:00
102809.53361,104480.9966909373,33,tp,0.014857860747407635,0.49,34.12075572954568,4,2025-01-18 05:45:00,2025-01-18 14:00:00
105040.20261,103251.36384491972,5,sl,-0.018330039171972956,0.49,32.08952340336033,4,2025-01-20 15:45:00,2025-01-20 17:00:00
99115.62576999998,98246.77618983775,2,sl,-0.010066020225493189,0.49,26.938040985881443,4,2025-02-04 05:00:00,2025-02-04 05:30:00
91635.58243000001,93527.20223979832,27,tp,0.019342852477565838,0.49,31.896133373453367,4,2025-03-03 06:45:00,2025-03-03 13:30:00
91355.69849,90092.95739310981,1,sl,-0.015122247738912586,0.49,34.36202404351232,4,2025-03-03 14:30:00,2025-03-03 14:45:00
90089.71880999999,89263.04452950903,7,sl,-0.010476122330167578,0.49,31.643096903330346,4,2025-03-06 12:45:00,2025-03-06 14:30:00
82643.28555,83813.31436154741,17,tp,0.01285757860739372,0.49,34.77133055673718,4,2025-03-13 08:15:00,2025-03-13 12:30:00
80898.46226,80100.71701013946,8,sl,-0.011161068153516491,0.49,34.88418306108561,4,2025-04-10 13:30:00,2025-04-10 15:30:00
82793.53061,83701.59856208376,14,tp,0.009667861201151384,0.49,34.93608421380253,4,2025-04-12 02:45:00,2025-04-12 06:15:00
86805.53384999999,87653.42802792617,12,tp,0.008467743372114294,0.49,34.957387770671474,4,2025-04-21 11:15:00,2025-04-21 14:15:00
92606.67366999999,93095.1,48,timeout,0.003874202286333093,0.49,33.7015081815363,4,2025-04-23 15:00:00,2025-04-24 03:00:00
95981.08568999999,97405.4148784254,22,tp,0.013539686154683817,0.49,34.92446789784458,4,2025-05-07 19:15:00,2025-05-08 00:45:00
103865.1502,105391.80239822139,12,tp,0.013398406494206264,0.49,34.43700419902254,4,2025-05-18 19:45:00,2025-05-18 22:45:00
110359.89804,109786.84195828921,1,sl,-0.006492611554453288,0.49,34.03487015447719,4,2025-05-23 11:30:00,2025-05-23 11:45:00
107132.33006,106370.5813399379,2,sl,-0.008410353332513866,0.49,34.974370819516594,4,2025-06-16 23:30:00,2025-06-17 00:00:00
107764.3196,107453.46412735242,2,sl,-0.0041845862322651825,0.49,29.892257718286714,4,2025-06-30 06:30:00,2025-06-30 07:00:00
120966.07893999999,120121.45637871308,4,sl,-0.008282309162106968,0.49,33.704741720900245,5,2025-07-14 14:30:00,2025-07-14 15:30:00
119449.52411,118530.36318023982,39,sl,-0.00909497355982545,0.49,21.265453450397146,5,2025-07-14 16:00:00,2025-07-15 01:45:00
120536.25003,119916.2156269783,5,sl,-0.006443966258012637,0.49,29.988906708318638,5,2025-08-11 11:15:00,2025-08-11 12:30:00
122202.6498,121525.45814276235,2,sl,-0.006841546425924149,0.49,31.811314552730266,5,2025-08-14 05:45:00,2025-08-14 06:15:00
115864.749,115346.1870406904,38,sl,-0.005875580051613375,0.49,34.825806779442985,5,2025-08-23 02:15:00,2025-08-23 11:45:00
109397.30935,108859.52945573546,2,sl,-0.0062158420573579795,0.49,30.88666587870712,5,2025-09-02 12:00:00,2025-09-02 12:30:00
111646.08378,111275.34966582425,4,sl,-0.004620619063596408,0.49,32.62701676221782,5,2025-09-09 00:15:00,2025-09-09 01:15:00
122991.78646999999,122209.73815077172,29,sl,-0.00765854101866409,0.49,27.738639437237808,5,2025-10-05 09:30:00,2025-10-05 16:45:00
108062.409,107508.33898133991,1,sl,-0.006427315074570362,0.49,34.61726362873948,5,2025-10-20 00:00:00,2025-10-20 00:15:00
109923.06703,109077.38717406774,41,sl,-0.009093379367785124,0.49,33.00794980995275,5,2025-10-20 17:30:00,2025-10-21 03:45:00
110000.39021999999,110955.0,48,timeout,0.007278239941611123,0.49,33.37484915809304,5,2025-10-24 14:15:00,2025-10-25 02:15:00
104877.95395,106285.26958937617,42,tp,0.012018603113168139,0.49,28.013392409558747,5,2025-11-10 14:45:00,2025-11-11 01:15:00
90877.15496999999,91727.71251177357,32,tp,0.007959420880356173,0.49,33.955058279005755,5,2025-11-28 01:00:00,2025-11-28 09:00:00
92007.594,93405.70272486623,2,tp,0.013895579669937212,0.49,32.49896151710611,5,2025-12-03 14:00:00,2025-12-03 14:30:00
92531.55114,91983.11398096639,7,sl,-0.007227028697528529,0.49,32.73992855877003,5,2025-12-04 13:00:00,2025-12-04 14:45:00
90836.2427,90116.684146756,1,sl,-0.009221491817098262,0.49,29.490923571616406,5,2025-12-08 14:45:00,2025-12-08 15:00:00
91960.27980999999,92977.35744609349,28,tp,0.009759966739932627,0.49,34.499623661355216,5,2025-12-10 11:30:00,2025-12-10 18:30:00
