entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold,funding_at_entry
2025-04-02 22:00:00+00:00,2025-04-03 14:45:00+00:00,short,83655.1,81345.54269740495,81345.54269740495,84809.87865129753,win,8.1624,67,7.33e-06
2025-04-03 23:45:00+00:00,2025-04-04 01:45:00+00:00,long,83181.5,82727.95896770075,84088.58206459851,82727.95896770075,loss,-1.7557,8,6.484e-05
2025-04-04 11:30:00+00:00,2025-04-04 11:45:00+00:00,short,81892.3,82552.35215982216,80572.19568035568,82552.35215982216,loss,-2.538,1,4.736e-05
2025-04-06 07:45:00+00:00,2025-04-06 13:15:00+00:00,short,82990.9,82568.67232161218,82568.67232161218,83202.0138391939,win,1.4063,22,2.21e-06
2025-04-07 14:30:00+00:00,2025-04-08 09:45:00+00:00,long,78647.4,78873.8,82230.07683106775,76856.06158446612,cross_exit,0.7436,77,6.857e-05
2025-04-08 09:45:00+00:00,2025-04-08 11:30:00+00:00,short,78873.8,79346.25537330215,77928.88925339573,79346.25537330215,loss,-1.917,7,3.575e-05
2025-04-08 11:45:00+00:00,2025-04-08 13:30:00+00:00,long,79949.7,79469.24722054644,80910.60555890709,79469.24722054644,loss,-1.9228,7,3.575e-05
2025-04-08 15:00:00+00:00,2025-04-08 17:00:00+00:00,short,78309.4,76864.35767706478,76864.35767706478,79031.9211614676,win,5.4159,8,3.575e-05
2025-04-09 07:45:00+00:00,2025-04-09 11:00:00+00:00,long,77651.4,76888.10407942961,79177.99184114074,76888.10407942961,loss,-3.0689,13,9.568e-05
2025-04-09 11:45:00+00:00,2025-04-09 12:45:00+00:00,short,76204.1,76979.85881484605,74652.5823703079,76979.85881484605,loss,-3.174,4,-2.252e-05
2025-04-09 13:45:00+00:00,2025-04-09 14:45:00+00:00,long,77648.8,76822.5483407245,79301.303318551,76822.5483407245,loss,-3.3123,4,-2.252e-05
2025-04-11 03:30:00+00:00,2025-04-11 08:00:00+00:00,long,80764.7,81804.36421937168,81804.36421937168,80244.86789031416,win,3.7418,18,2.065e-05
2025-04-13 05:45:00+00:00,2025-04-13 13:45:00+00:00,short,84487.4,83525.34480301224,83525.34480301224,84968.42759849387,win,3.2961,32,5.057e-05
