entry_dt,exit_dt,side,result,pnl_pct
2022-12-13 06:30:00+00:00,2022-12-13 07:15:00+00:00,short,win,0.9309
2022-12-20 14:45:00+00:00,2022-12-20 15:15:00+00:00,long,win,2.2411
2022-12-21 14:45:00+00:00,2022-12-21 15:00:00+00:00,short,loss,-0.9736
2022-12-23 13:30:00+00:00,2022-12-23 13:45:00+00:00,long,loss,-0.9448
2023-01-06 13:30:00+00:00,2023-01-06 14:30:00+00:00,long,loss,-0.7658
2023-01-08 09:30:00+00:00,2023-01-08 09:45:00+00:00,short,loss,-0.3051
2023-01-12 13:30:00+00:00,2023-01-12 13:45:00+00:00,short,loss,-1.9021
2023-01-13 20:15:00+00:00,2023-01-13 20:30:00+00:00,short,loss,-1.7633
2023-01-21 00:00:00+00:00,2023-01-21 08:00:00+00:00,short,loss,-2.7176
2023-03-08 15:00:00+00:00,2023-03-08 15:15:00+00:00,long,loss,-1.3483
2023-05-05 12:30:00+00:00,2023-05-05 12:45:00+00:00,short,loss,-1.5121
2023-05-13 18:45:00+00:00,2023-05-13 19:00:00+00:00,short,loss,-0.9711
2023-05-16 12:30:00+00:00,2023-05-16 13:00:00+00:00,long,loss,-1.1067
2023-05-19 15:30:00+00:00,2023-05-19 16:30:00+00:00,long,loss,-1.5755
2023-06-12 17:45:00+00:00,2023-06-12 21:00:00+00:00,short,loss,-1.3308
2023-06-13 12:30:00+00:00,2023-06-13 15:15:00+00:00,short,win,2.4193
2023-06-16 14:45:00+00:00,2023-06-16 15:45:00+00:00,long,win,2.4503
2023-06-18 12:30:00+00:00,2023-06-18 13:30:00+00:00,long,loss,-0.753
2023-06-18 20:00:00+00:00,2023-06-18 20:15:00+00:00,short,win,1.5177
2023-07-01 15:00:00+00:00,2023-07-01 19:15:00+00:00,short,loss,-0.7639
2023-08-01 15:30:00+00:00,2023-08-01 18:15:00+00:00,long,win,1.8224
2023-08-04 12:30:00+00:00,2023-08-04 13:30:00+00:00,long,win,0.8894
2023-08-08 21:15:00+00:00,2023-08-08 22:30:00+00:00,short,win,2.3842
2023-08-10 09:30:00+00:00,2023-08-10 11:30:00+00:00,long,loss,-0.5498
2023-08-15 07:30:00+00:00,2023-08-15 11:30:00+00:00,long,loss,-0.4004
2023-08-15 14:00:00+00:00,2023-08-15 15:00:00+00:00,long,win,0.6873
2023-09-10 16:45:00+00:00,2023-09-10 17:00:00+00:00,long,loss,-0.6615
2023-10-02 14:00:00+00:00,2023-10-02 15:30:00+00:00,short,loss,-1.6423
