entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold
2025-11-24 14:30:00+00:00,2025-11-24 14:45:00+00:00,short,85533.9,86020.4394391495,84520.27616843852,86020.4394391495,loss,-1.8265,1
2025-12-16 04:45:00+00:00,2025-12-16 06:45:00+00:00,long,85799.9,86542.1992874888,86542.1992874888,85443.59634200537,win,2.4755,8
2025-12-16 13:30:00+00:00,2025-12-16 14:00:00+00:00,short,86892.7,86060.08324643754,86060.08324643754,87292.35604170998,win,2.7546,2
2025-12-19 15:15:00+00:00,2025-12-19 16:30:00+00:00,short,88156.8,88724.57094125875,86973.94387237763,88724.57094125875,loss,-2.0521,5
2026-01-09 01:30:00+00:00,2026-01-09 02:00:00+00:00,short,90911.6,91223.5090165292,90261.78954889752,91223.5090165292,loss,-1.1493,2
2026-01-11 23:00:00+00:00,2026-01-12 00:15:00+00:00,long,90668.3,91115.8078697446,91115.8078697446,90453.49622252259,win,1.3607,5
2026-01-16 14:30:00+00:00,2026-01-16 14:45:00+00:00,short,95170.0,95397.68747536541,94695.65109298873,95397.68747536541,loss,-0.8377,1
2026-01-22 13:30:00+00:00,2026-01-22 14:30:00+00:00,short,89579.8,89119.02831933042,89119.02831933042,89800.9704067214,win,1.4231,4
2026-01-26 14:30:00+00:00,2026-01-26 14:45:00+00:00,long,88102.8,87802.24839186341,88728.94918361791,87802.24839186341,loss,-1.1434,1
2026-01-27 15:00:00+00:00,2026-01-27 15:15:00+00:00,long,87944.6,87654.32069542156,88549.34855120513,87654.32069542156,loss,-1.1102,1
