entry,exit,hold,result,net_ret,hurst,rsi_entry,window,ts_entry,ts_exit
99492.03865999999,99565.6,48,timeout,-0.0006606308907650364,0.6428596657166447,34.82509474544703,3,2024-12-06 23:15:00,2024-12-07 11:15:00
93545.35519,92749.51413394531,6,sl,-0.009807542191039392,0.6058886590676392,32.51221913135916,4,2025-01-10 13:30:00,2025-01-10 15:00:00
98257.86851999999,97464.59291926706,1,sl,-0.009373405343323336,0.6241256282727787,34.53368156640798,4,2025-01-16 14:30:00,2025-01-16 14:45:00
104437.02171,103379.47104153996,3,sl,-0.011426204780107956,0.5920247172724925,39.068689880148135,4,2025-01-19 21:15:00,2025-01-19 22:00:00
101292.57866,105076.2522073441,31,tp,0.036053906844887774,0.6320587492035038,22.872421645083904,4,2025-01-19 23:00:00,2025-01-20 06:45:00
103250.06573,105454.3,48,timeout,0.019948502341529704,0.593866947920982,42.46804545709989,4,2025-01-23 20:45:00,2025-01-24 08:45:00
98841.44354,97484.3389073076,6,sl,-0.015030117490070775,0.629353752717755,43.96006904691297,4,2025-02-04 19:45:00,2025-02-04 21:15:00
94490.73872,96093.24382020171,13,tp,0.01565938799833434,0.6711955733483328,27.71840116776319,4,2025-02-12 13:30:00,2025-02-12 16:45:00
90353.89804,89383.21731801028,1,sl,-0.012043097343293285,0.6705407086471757,24.62825149349274,4,2025-02-25 07:00:00,2025-02-25 07:15:00
83209.75544,82164.74998225298,22,sl,-0.013858689209230234,0.5847312520938245,28.040540522637954,4,2025-02-27 20:00:00,2025-02-28 01:30:00
89366.90203,87761.5879330146,1,sl,-0.01926318391395624,0.6442440363301072,35.17736905961327,4,2025-03-03 18:00:00,2025-03-03 18:15:00
87473.43415999999,85741.46031616628,19,sl,-0.02109999825622152,0.6786758940190355,36.79041097627993,4,2025-03-07 16:15:00,2025-03-07 21:00:00
86275.77497,86044.1,48,timeout,-0.004085284137761165,0.6796937749098427,35.758780594249075,4,2025-03-07 21:30:00,2025-03-08 09:30:00
84531.15174,82948.42351534653,6,sl,-0.020023608895352714,0.6440059731437456,36.11296995241239,4,2025-04-02 21:00:00,2025-04-02 22:30:00
80898.46226,80100.71701013946,8,sl,-0.011161068153516491,0.5930754241118208,34.88418306108561,4,2025-04-10 13:30:00,2025-04-10 15:30:00
109065.90995999999,108305.67216983996,1,sl,-0.008270443747627875,0.6522561952381422,19.585146081129963,4,2025-05-23 11:45:00,2025-05-23 12:00:00
104301.38103,103345.05083595357,2,sl,-0.010468912094954548,0.6559730266909864,24.657438190762036,4,2025-06-13 00:00:00,2025-06-13 00:30:00
