rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
40,1.5,atr_3x,5,0.3,True,39,30.8,-22.65,50.75,-0.45,4h
40,2.0,atr_2x,3,0.1,False,193,46.1,-22.73,33.14,-0.69,4h
35,1.5,atr_2x,3,0.3,True,23,26.1,-22.9,30.26,-0.76,4h
35,2.0,atr_3x,3,0.1,True,19,5.3,-23.2,23.2,-1.0,4h
40,1.0,atr_2x,3,0.1,False,239,28.0,-23.26,30.53,-0.76,4h
35,2.0,bb_mid,5,0.2,True,23,43.5,-23.37,23.37,-1.0,4h
30,1.0,atr_3x,3,0.1,False,105,20.0,-23.47,26.72,-0.88,4h
35,1.0,atr_2x,5,0.3,True,24,20.8,-23.53,33.4,-0.7,4h
40,2.0,atr_3x,7,0.1,True,38,31.6,-23.58,38.36,-0.61,4h
30,2.0,bb_mid,5,0.1,False,91,52.7,-24.1,37.89,-0.64,4h
35,1.5,bb_mid,5,0.2,True,23,30.4,-24.18,26.47,-0.91,4h
35,2.0,atr_2x,3,0.2,True,22,27.3,-24.5,25.13,-0.97,4h
30,1.5,atr_2x,3,0.1,False,96,34.4,-24.72,34.74,-0.71,4h
35,1.5,atr_2x,5,0.2,True,23,26.1,-25.34,33.05,-0.77,4h
30,1.0,atr_2x,5,0.1,False,105,26.7,-25.46,33.72,-0.76,4h
45,1.0,bb_mid,3,0.1,False,272,36.4,-25.66,29.57,-0.87,4h
35,1.0,atr_3x,3,0.2,True,23,4.3,-26.06,26.06,-1.0,4h
35,1.0,bb_mid,7,0.3,True,24,25.0,-26.2,34.99,-0.75,4h
45,1.5,bb_mid,7,0.1,False,247,51.8,-26.22,54.06,-0.48,4h
40,2.0,atr_2x,7,0.3,True,40,42.5,-26.26,71.21,-0.37,4h
40,1.5,bb_mid,3,0.2,False,225,50.7,-26.51,49.73,-0.53,4h
45,1.5,atr_3x,3,0.1,False,212,32.1,-26.85,34.98,-0.77,4h
30,1.5,bb_mid,3,0.2,False,97,42.3,-27.33,44.94,-0.61,4h
