rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
30,65,3.0,bb_mid,3,0.5,False,42,10.5,11,31,57.1,72.7,51.6,-89.84,93.64,-0.96
30,75,2.0,bb_mid,5,0.5,False,33,8.2,13,20,48.5,53.8,45.0,-90.52,94.93,-0.95
35,65,2.0,atr_2x,5,0.5,False,63,15.8,25,38,52.4,64.0,44.7,-90.94,96.98,-0.94
25,65,3.0,bb_mid,5,0.3,False,36,9.0,5,31,52.8,60.0,51.6,-90.99,94.37,-0.96
25,65,3.0,bb_mid,3,0.5,False,36,9.0,5,31,52.8,60.0,51.6,-90.99,94.37,-0.96
25,70,2.0,atr_3x,5,0.5,False,33,8.2,5,28,42.4,60.0,39.3,-91.05,97.37,-0.94
35,75,3.0,atr_2x,5,0.5,False,40,10.0,22,18,62.5,72.7,50.0,-91.19,99.0,-0.92
35,70,3.0,bb_mid,5,0.5,False,46,11.5,23,23,65.2,78.3,52.2,-92.0,99.0,-0.93
35,70,3.0,atr_3x,5,0.5,False,42,10.5,19,23,54.8,63.2,47.8,-92.54,99.11,-0.93
30,70,2.0,atr_3x,5,0.5,False,41,10.2,13,28,43.9,53.8,39.3,-93.56,97.31,-0.96
25,70,3.0,atr_2x,5,0.5,False,30,7.5,5,25,60.0,60.0,60.0,-94.17,99.19,-0.95
25,65,2.0,atr_3x,5,0.5,False,42,10.5,5,37,42.9,60.0,40.5,-94.24,98.73,-0.95
25,70,2.0,bb_mid,5,0.5,False,33,8.2,5,28,45.5,60.0,42.9,-94.47,96.98,-0.97
30,75,3.0,atr_3x,5,0.5,False,29,7.2,11,18,55.2,63.6,50.0,-94.48,99.0,-0.95
30,70,3.0,atr_2x,5,0.5,False,36,9.0,11,25,61.1,63.6,60.0,-95.05,99.19,-0.96
30,70,2.0,atr_2x,5,0.5,False,43,10.8,13,30,48.8,53.8,46.7,-95.25,97.03,-0.98
25,65,2.0,atr_2x,5,0.5,False,43,10.8,5,38,46.5,60.0,44.7,-95.58,98.1,-0.97
25,75,3.0,atr_3x,5,0.5,False,23,5.8,5,18,52.2,60.0,50.0,-95.73,99.13,-0.97
30,65,2.0,atr_3x,5,0.5,False,50,12.5,13,37,44.0,53.8,40.5,-95.86,98.7,-0.97
30,70,3.0,atr_3x,5,0.5,False,34,8.5,11,23,52.9,63.6,47.8,-96.3,99.0,-0.97
35,70,2.0,atr_3x,5,0.5,False,52,13.0,24,28,44.2,50.0,39.3,-96.67,98.01,-0.99
35,65,3.0,atr_2x,5,0.5,False,55,13.8,22,33,61.8,72.7,54.5,-96.79,99.27,-0.98
25,70,3.0,atr_3x,5,0.5,False,28,7.0,5,23,50.0,60.0,47.8,-97.14,99.13,-0.98
25,75,3.0,atr_2x,5,0.5,False,23,5.8,5,18,52.2,60.0,50.0,-97.19,99.0,-0.98
30,70,2.0,bb_mid,5,0.5,False,41,10.2,13,28,46.3,53.8,42.9,-97.25,98.1,-0.99
25,65,2.0,bb_mid,5,0.5,False,42,10.5,5,37,45.2,60.0,43.2,-97.44,98.68,-0.99
30,75,3.0,atr_2x,5,0.5,False,29,7.2,11,18,55.2,63.6,50.0,-97.61,99.14,-0.98
30,75,3.0,bb_mid,5,0.5,False,29,7.2,11,18,58.6,72.7,50.0,-97.69,99.15,-0.99
35,65,3.0,bb_mid,5,0.5,False,54,13.5,23,31,63.0,78.3,51.6,-97.8,99.62,-0.98
25,75,3.0,bb_mid,5,0.5,False,23,5.8,5,18,52.2,60.0,50.0,-97.84,99.21,-0.99
35,65,2.0,atr_3x,5,0.5,False,61,15.2,24,37,44.3,50.0,40.5,-97.86,98.86,-0.99
30,65,2.0,atr_2x,5,0.5,False,51,12.8,13,38,47.1,53.8,44.7,-97.96,98.75,-0.99
35,65,3.0,atr_3x,5,0.5,False,50,12.5,19,31,52.0,63.2,45.2,-98.23,99.55,-0.99
30,70,3.0,bb_mid,5,0.5,False,34,8.5,11,23,58.8,72.7,52.2,-98.39,99.12,-0.99
25,70,3.0,bb_mid,5,0.5,False,28,7.0,5,23,53.6,60.0,52.2,-98.5,99.18,-0.99
30,65,2.0,bb_mid,5,0.5,False,50,12.5,13,37,46.0,53.8,43.2,-98.72,99.17,-1.0
25,65,3.0,atr_2x,5,0.5,False,38,9.5,5,33,55.3,60.0,54.5,-98.98,99.55,-0.99
30,65,3.0,atr_3x,5,0.5,False,42,10.5,11,31,50.0,63.6,45.2,-99.12,99.8,-0.99
30,65,3.0,atr_2x,5,0.5,False,44,11.0,11,33,56.8,63.6,54.5,-99.13,99.63,-1.0
25,65,3.0,atr_3x,5,0.5,False,36,9.0,5,31,47.2,60.0,45.2,-99.32,99.85,-0.99
30,65,3.0,bb_mid,5,0.5,False,42,10.5,11,31,57.1,72.7,51.6,-99.56,99.76,-1.0
25,65,3.0,bb_mid,5,0.5,False,36,9.0,5,31,52.8,60.0,51.6,-99.59,99.78,-1.0
