retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,2.0,0.002,5,0.1,both,65,18.5,48.72,21.56,2.26,1487.16,5,sol,4H,124,258
0.382,0.786,1.272,0.005,7,0.1,both,84,26.2,63.2,28.05,2.25,1632.04,5,sol,4H,124,258
0.382,0.786,2.0,0.005,3,0.1,both,76,19.7,33.03,14.74,2.24,1330.26,5,sol,4H,124,258
0.5,0.786,2.0,0.002,7,0.1,ob_only,55,20.0,59.67,26.71,2.23,1596.71,5,sol,4H,124,258
0.5,0.786,2.0,0.002,3,0.2,ob_only,55,20.0,51.5,23.31,2.21,1514.99,5,sol,4H,124,258
0.382,0.786,1.272,0.005,3,0.2,both,84,26.2,54.23,24.52,2.21,1542.32,5,sol,4H,124,258
0.5,0.786,1.618,0.005,7,0.2,both,65,23.1,84.63,38.85,2.18,1846.26,5,sol,4H,124,258
0.5,0.786,2.0,0.002,5,0.1,ob_only,55,20.0,43.12,19.77,2.18,1431.23,5,sol,4H,124,258
0.382,0.786,1.272,0.005,5,0.1,both,84,26.2,45.13,20.84,2.17,1451.33,5,sol,4H,124,258
0.5,0.786,2.0,0.002,3,0.1,both,65,18.5,28.98,13.47,2.15,1289.78,5,sol,4H,124,258
0.5,0.786,2.0,0.002,3,0.1,ob_only,55,20.0,25.96,12.3,2.11,1259.63,5,sol,4H,124,258
0.382,0.786,1.272,0.005,3,0.1,both,84,26.2,26.82,13.01,2.06,1268.21,5,sol,4H,124,258
0.382,0.786,2.0,0.002,5,0.2,both,81,17.3,97.99,48.89,2.0,1979.86,5,sol,4H,124,258
0.382,0.786,2.0,0.002,7,0.2,both,81,17.3,121.72,61.36,1.98,2217.17,5,sol,4H,124,258
0.382,0.786,2.0,0.002,7,0.1,both,81,17.3,72.31,37.23,1.94,1723.05,5,sol,4H,124,258
0.382,0.786,2.0,0.002,3,0.2,both,81,17.3,62.64,32.83,1.91,1626.41,5,sol,4H,124,258
