rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
35,2.0,2.0,atr_2x,5,0.3,False,414,43.7,-84.83,86.22,-0.98,1h
30,1.5,1.0,bb_mid,7,0.2,False,378,28.3,-84.9,84.9,-1.0,1h
30,1.5,2.0,atr_3x,5,0.3,False,330,33.6,-85.06,89.21,-0.95,1h
30,1.2,1.5,atr_3x,7,0.3,False,373,30.3,-85.17,87.47,-0.97,1h
30,1.2,1.5,atr_2x,7,0.3,False,381,37.8,-85.37,85.36,-1.0,1h
35,2.0,1.5,bb_mid,7,0.2,False,449,41.6,-85.4,86.99,-0.98,1h
35,1.5,1.5,atr_3x,7,0.3,False,530,31.5,-85.59,92.84,-0.92,1h
30,2.0,1.0,atr_3x,7,0.3,False,297,17.8,-85.88,86.68,-0.99,1h
35,1.2,1.5,bb_mid,5,0.3,False,628,45.1,-86.05,87.72,-0.98,1h
30,1.5,1.5,bb_mid,7,0.3,False,361,41.6,-86.24,86.22,-1.0,1h
35,1.5,1.0,atr_3x,7,0.3,False,576,23.3,-86.32,87.44,-0.99,1h
30,1.2,2.0,atr_2x,5,0.3,False,362,42.3,-86.37,87.23,-0.99,1h
30,1.5,1.0,atr_2x,7,0.3,False,377,27.6,-86.48,88.85,-0.97,1h
30,2.0,2.0,atr_3x,7,0.2,False,273,32.6,-86.64,87.31,-0.99,1h
30,2.0,2.0,bb_mid,7,0.2,False,287,45.3,-86.71,86.95,-1.0,1h
30,2.0,1.5,atr_2x,7,0.3,False,288,35.1,-86.93,86.91,-1.0,1h
30,1.5,1.0,bb_mid,5,0.3,False,378,28.3,-86.97,86.97,-1.0,1h
35,1.5,2.0,atr_2x,7,0.3,False,524,46.0,-87.14,90.24,-0.97,1h
35,2.0,1.5,bb_mid,5,0.3,False,449,41.6,-87.51,88.95,-0.98,1h
35,1.2,1.0,bb_mid,7,0.3,False,677,35.0,-87.97,89.41,-0.98,1h
30,1.5,2.0,bb_mid,7,0.2,False,347,47.3,-88.13,88.35,-1.0,1h
35,2.0,2.0,bb_mid,7,0.2,False,432,50.5,-88.43,89.42,-0.99,1h
35,1.5,2.0,bb_mid,7,0.2,False,541,52.1,-88.67,89.45,-0.99,1h
35,1.2,2.0,bb_mid,7,0.2,False,589,53.1,-88.69,89.9,-0.99,1h
30,2.0,2.0,bb_mid,5,0.3,False,287,45.3,-88.72,88.94,-1.0,1h
30,2.0,2.0,atr_3x,5,0.3,False,273,32.6,-88.72,89.32,-0.99,1h
30,1.2,2.0,atr_3x,7,0.2,False,352,34.4,-88.88,91.51,-0.97,1h
35,2.0,1.0,atr_3x,7,0.3,False,443,21.0,-89.14,90.6,-0.98,1h
30,1.2,1.0,bb_mid,7,0.3,False,410,31.0,-89.38,89.66,-1.0,1h
30,1.2,2.0,bb_mid,7,0.2,False,369,48.2,-89.67,89.97,-1.0,1h
35,2.0,1.5,atr_3x,7,0.3,False,414,30.4,-89.98,91.3,-0.99,1h
