rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
25,65,2.0,atr_3x,2,0.5,True,28.91,36.48,0.79,70,47.1,4,25.0,66,48.5,7,10,70.0,0.0,0.7,-9.3,12.4,-7.5,4.9,1.7,8.1,14.8,2.5,-510.09
20,65,3.0,atr_2x,3,0.3,True,28.85,32.33,0.89,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-9.6,-2.6,-1.9,0.0,19.3,-0.1,12.7,13.3,-1.9,-510.15
20,65,1.5,atr_2x,1,0.7,True,28.82,16.98,1.7,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-3.0,0.9,-2.9,0.0,14.7,1.9,2.5,14.8,-1.5,-510.18
25,65,2.5,atr_2x,3,0.3,True,28.07,33.58,0.84,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-7.1,-0.8,-3.5,-8.4,19.9,1.3,13.4,15.3,-0.9,-510.93
20,65,2.0,atr_3x,2,0.3,True,28.0,20.61,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.5,-5.6,3.3,0.0,10.2,1.1,4.9,8.9,1.6,-511.0
25,65,1.5,atr_2x,1,0.7,True,27.98,16.98,1.65,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-3.0,0.9,0.3,-3.9,14.8,1.9,2.5,14.8,-1.5,-511.02
25,65,1.5,atr_3x,3,0.7,True,27.06,51.39,0.53,77,40.3,4,25.0,73,41.1,5,10,50.0,0.0,-11.7,-6.0,11.1,-11.8,2.6,4.1,4.6,40.7,-0.5,-511.94
25,65,2.0,atr_3x,3,0.3,True,27.02,33.3,0.81,70,47.1,4,25.0,66,48.5,7,10,70.0,0.0,1.1,-8.4,11.3,-6.7,4.6,1.6,7.3,13.3,2.3,-511.98
25,65,2.0,atr_2x,2,0.3,True,26.79,18.75,1.43,73,58.9,4,50.0,69,59.4,5,10,50.0,0.0,-1.8,-2.4,-0.0,-4.5,16.4,1.8,4.9,11.4,0.2,-512.21
20,65,2.5,atr_2x,2,0.3,True,25.69,21.03,1.22,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-4.1,-0.4,-4.9,0.0,15.1,0.9,8.8,10.1,-0.5,-513.31
25,65,3.0,atr_2x,1,0.7,True,25.14,24.38,1.03,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-6.9,-2.0,1.9,0.9,11.7,-0.0,9.8,10.4,-1.4,-513.86
20,65,1.5,atr_3x,1,0.7,True,25.09,17.38,1.44,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-1.0,-1.4,0.4,0.0,8.8,1.6,1.9,13.2,0.2,-513.91
25,65,1.5,atr_3x,2,0.5,True,25.04,26.38,0.95,77,40.3,4,25.0,73,41.1,6,10,60.0,0.0,-2.4,-2.2,7.3,-5.6,3.6,2.2,2.6,19.0,0.1,-513.96
20,65,2.0,atr_2x,1,0.5,True,24.93,14.53,1.72,69,59.4,0,0.0,69,59.4,5,10,50.0,0.0,-1.4,-2.0,-2.3,0.0,14.3,1.5,4.1,9.4,0.1,-514.07
20,65,1.5,atr_2x,2,0.3,True,24.75,14.71,1.68,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-2.4,0.8,-2.4,0.0,12.6,1.6,2.2,12.6,-1.2,-514.25
25,65,1.5,atr_2x,2,0.3,True,24.09,14.71,1.64,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-2.4,0.8,0.4,-3.4,12.7,1.6,2.2,12.6,-1.2,-514.91
20,65,3.0,atr_2x,1,0.7,True,23.61,25.76,0.92,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-6.9,-2.0,-1.3,0.0,15.0,-0.0,9.8,10.4,-1.4,-515.39
20,65,2.0,atr_3x,1,0.5,True,23.53,17.36,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.5,-4.6,2.8,0.0,8.5,0.9,4.1,7.5,1.3,-515.47
25,65,1.5,atr_3x,3,0.3,True,23.4,23.85,0.98,77,40.3,4,25.0,73,41.1,6,10,60.0,0.0,-1.9,-1.9,6.7,-5.1,3.4,2.0,2.4,17.0,0.2,-515.6
25,65,2.5,atr_2x,1,0.7,True,22.96,26.85,0.86,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-5.0,-0.5,-2.6,-6.5,15.5,1.0,10.3,11.8,-0.6,-516.04
25,65,2.0,atr_3x,1,0.7,True,22.47,26.62,0.84,70,47.1,4,25.0,66,48.5,7,10,70.0,0.0,1.4,-6.5,9.0,-5.2,3.9,1.2,5.7,10.4,1.8,-516.53
25,65,2.0,atr_2x,1,0.5,True,22.37,15.77,1.42,73,58.9,4,50.0,69,59.4,5,10,50.0,0.0,-1.4,-2.0,0.0,-3.7,13.6,1.5,4.1,9.4,0.1,-516.63
25,65,3.0,atr_2x,2,0.3,True,22.0,21.19,1.04,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-5.7,-1.6,1.7,0.7,10.1,-0.0,8.3,8.9,-1.2,-517.0
20,65,1.5,atr_3x,2,0.3,True,21.86,14.94,1.46,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-0.7,-1.2,0.5,0.0,7.6,1.3,1.6,11.3,0.2,-517.14
20,65,2.5,atr_2x,1,0.5,True,21.55,17.73,1.22,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-3.2,-0.3,-4.0,0.0,12.5,0.7,7.3,8.4,-0.4,-517.45
20,65,3.0,atr_2x,2,0.3,True,20.68,22.35,0.93,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-5.7,-1.6,-1.1,0.0,12.9,-0.0,8.3,8.9,-1.2,-518.32
