rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
30,65,3.0,atr_2x,1,0.7,True,53.37,14.88,3.59,65,64.6,10,60.0,55,65.5,6,9,66.7,-8.2,20.0,6.4,17.5,11.9,-5.9,-2.8,7.3,1.4,3.969999999999999
30,65,2.5,atr_3x,2,0.7,True,111.13,31.09,3.58,69,52.2,10,40.0,59,54.2,7,9,77.8,-23.3,30.8,18.4,24.2,15.6,-9.5,5.0,17.7,10.5,61.73
30,65,3.0,atr_2x,2,0.3,True,45.6,12.79,3.56,65,64.6,10,60.0,55,65.5,6,9,66.7,-6.9,17.0,5.5,15.3,10.2,-5.0,-2.4,6.4,1.2,-3.799999999999997
30,65,3.0,atr_2x,1,0.5,True,37.8,10.69,3.54,65,64.6,10,60.0,55,65.5,6,9,66.7,-5.7,14.0,4.6,13.0,8.5,-4.2,-2.0,5.4,1.0,-11.600000000000001
30,65,3.0,atr_2x,2,0.7,True,102.72,29.0,3.54,65,64.6,10,60.0,55,65.5,6,9,66.7,-17.1,43.1,12.3,28.3,23.8,-11.9,-6.2,13.3,2.3,53.32
30,65,2.5,atr_3x,3,0.5,True,117.19,33.17,3.53,69,52.2,10,40.0,59,54.2,7,9,77.8,-25.1,33.1,19.7,25.2,16.5,-10.2,5.3,18.7,11.2,67.78999999999999
30,65,2.5,atr_3x,1,0.3,True,24.12,6.85,3.52,69,52.2,10,40.0,59,54.2,7,9,77.8,-4.4,6.4,4.1,6.6,3.8,-1.9,1.3,4.2,2.4,-25.279999999999998
30,65,3.0,atr_2x,3,0.5,True,108.37,30.94,3.5,65,64.6,10,60.0,55,65.5,6,9,66.7,-18.4,46.6,13.1,29.2,25.4,-12.7,-6.7,14.0,2.4,58.970000000000006
30,65,2.0,atr_3x,2,0.7,True,115.22,33.0,3.49,74,48.6,10,40.0,64,50.0,7,9,77.8,-15.6,28.8,7.3,10.3,23.1,-4.7,9.0,24.1,5.4,65.82
30,65,2.0,atr_3x,3,0.5,True,122.02,35.11,3.48,74,48.6,10,40.0,64,50.0,7,9,77.8,-16.9,30.9,7.7,10.2,24.7,-5.1,9.5,25.7,5.7,72.62
30,65,2.0,atr_3x,2,0.5,True,84.22,24.25,3.47,74,48.6,10,40.0,64,50.0,7,9,77.8,-10.4,20.5,5.7,9.6,16.7,-3.2,6.6,17.5,4.1,34.82
30,65,3.0,atr_2x,1,0.3,True,22.33,6.45,3.46,65,64.6,10,60.0,55,65.5,6,9,66.7,-3.4,8.2,2.8,8.1,5.1,-2.5,-1.2,3.3,0.6,-27.07
30,65,2.0,atr_3x,3,0.3,True,75.82,21.97,3.45,74,48.6,10,40.0,64,50.0,7,9,77.8,-9.2,18.4,5.2,9.1,15.1,-2.8,6.0,15.8,3.7,26.419999999999995
30,65,2.5,atr_2x,1,0.5,True,31.5,9.31,3.38,71,57.7,10,60.0,61,57.4,6,9,66.7,-5.6,12.2,3.7,16.3,0.4,-5.2,-0.7,7.3,1.6,-17.9
30,65,2.5,atr_2x,2,0.3,True,37.69,11.16,3.38,71,57.7,10,60.0,61,57.4,6,9,66.7,-6.8,14.8,4.4,19.3,0.4,-6.2,-0.9,8.7,1.9,-11.71
30,65,2.0,atr_3x,1,0.7,True,58.63,17.33,3.38,74,48.6,10,40.0,64,50.0,7,9,77.8,-6.9,14.3,4.2,7.9,11.8,-2.2,4.8,12.3,3.0,9.230000000000004
30,65,2.5,atr_2x,1,0.3,True,18.9,5.6,3.37,71,57.7,10,60.0,61,57.4,6,9,66.7,-3.3,7.2,2.3,9.9,0.3,-3.1,-0.4,4.4,1.0,-30.5
30,65,2.5,atr_2x,1,0.7,True,43.77,13.0,3.37,71,57.7,10,60.0,61,57.4,6,9,66.7,-8.0,17.4,5.1,22.4,0.3,-7.3,-1.1,10.1,2.2,-5.6299999999999955
30,65,2.0,atr_3x,2,0.3,True,49.97,14.95,3.34,74,48.6,10,40.0,64,50.0,7,9,77.8,-5.8,12.2,3.7,7.1,10.1,-1.8,4.1,10.6,2.6,0.5700000000000003
30,65,2.5,atr_2x,3,0.3,True,55.4,16.64,3.33,71,57.7,10,60.0,61,57.4,6,9,66.7,-10.6,22.7,6.4,28.1,0.2,-9.3,-1.5,12.9,2.8,6.0
30,65,2.5,atr_2x,2,0.5,True,60.87,18.45,3.3,71,57.7,10,60.0,61,57.4,6,9,66.7,-11.9,25.5,7.1,30.9,0.2,-10.4,-1.7,14.2,3.0,11.469999999999999
30,65,2.0,atr_3x,1,0.5,True,41.32,12.54,3.29,74,48.6,10,40.0,64,50.0,7,9,77.8,-4.7,10.2,3.1,6.1,8.5,-1.5,3.4,8.8,2.2,-8.079999999999998
20,65,3.0,atr_3x,3,0.7,True,133.32,41.04,3.25,53,62.3,0,0.0,53,62.3,8,9,88.9,-34.6,41.5,8.1,6.6,51.9,3.1,0.4,24.1,12.1,83.91999999999999
30,65,2.0,atr_3x,1,0.3,True,24.28,7.63,3.18,74,48.6,10,40.0,64,50.0,7,9,77.8,-2.7,6.1,2.0,4.0,5.1,-0.9,2.1,5.3,1.3,-25.119999999999997
30,65,2.0,atr_3x,3,0.7,True,150.72,48.36,3.12,74,48.6,10,40.0,64,50.0,7,9,77.8,-25.5,43.2,9.3,7.0,33.7,-7.7,12.6,34.9,7.2,101.32
30,65,2.5,atr_3x,3,0.7,True,139.86,45.08,3.1,69,52.2,10,40.0,59,54.2,7,9,77.8,-36.1,46.7,27.1,28.2,21.2,-14.8,6.4,24.2,15.2,90.46000000000001
30,65,3.0,atr_2x,3,0.7,True,129.66,42.05,3.08,65,64.6,10,60.0,55,65.5,6,9,66.7,-26.4,69.5,17.4,30.0,35.3,-18.0,-10.1,17.5,2.8,80.25999999999999
30,65,3.0,atr_3x,3,0.3,True,70.05,23.12,3.03,63,58.7,10,40.0,53,62.3,7,9,77.8,-23.1,17.7,15.1,11.4,31.7,-4.1,1.2,8.3,5.8,20.65
30,65,3.0,atr_3x,2,0.5,True,77.3,25.5,3.03,63,58.7,10,40.0,53,62.3,7,9,77.8,-25.5,19.7,16.8,12.1,35.5,-4.6,1.3,9.1,6.4,27.9
30,65,3.0,atr_3x,1,0.7,True,54.83,18.25,3.0,63,58.7,10,40.0,53,62.3,7,9,77.8,-18.2,13.7,11.7,9.7,24.2,-3.1,1.1,6.8,4.6,5.43
30,65,3.0,atr_3x,2,0.3,True,46.97,15.75,2.98,63,58.7,10,40.0,53,62.3,7,9,77.8,-15.7,11.7,10.0,8.7,20.6,-2.6,1.0,5.9,3.9,-2.4299999999999997
30,65,3.0,atr_3x,2,0.7,True,102.28,34.6,2.96,63,58.7,10,40.0,53,62.3,7,9,77.8,-34.6,27.7,23.6,13.2,51.3,-6.8,1.2,11.5,8.6,52.88
30,65,3.0,atr_3x,1,0.5,True,39.03,13.22,2.95,63,58.7,10,40.0,53,62.3,7,9,77.8,-13.2,9.8,8.3,7.5,17.0,-2.2,0.9,5.0,3.3,-10.369999999999997
30,65,3.0,atr_3x,3,0.5,True,107.21,36.78,2.92,63,58.7,10,40.0,53,62.3,7,9,77.8,-36.7,29.7,25.3,13.1,55.4,-7.3,1.2,12.1,9.2,57.809999999999995
30,65,3.0,atr_3x,1,0.3,True,23.13,8.04,2.88,63,58.7,10,40.0,53,62.3,7,9,77.8,-8.0,5.8,5.0,4.8,10.0,-1.3,0.6,3.1,2.0,-26.27
30,70,2.5,atr_3x,2,0.5,True,65.03,23.0,2.83,36,52.8,10,40.0,26,57.7,7,9,77.8,-6.5,13.3,2.1,12.0,31.5,-5.6,6.2,2.0,1.2,15.630000000000003
30,70,2.5,atr_3x,3,0.3,True,58.53,20.7,2.83,36,52.8,10,40.0,26,57.7,7,9,77.8,-5.6,11.9,2.0,11.2,28.1,-5.0,5.6,1.9,1.1,9.130000000000003
30,70,2.5,atr_3x,1,0.7,True,45.33,16.08,2.82,36,52.8,10,40.0,26,57.7,7,9,77.8,-4.0,9.2,1.7,9.1,21.5,-3.9,4.3,1.6,0.9,-4.07
25,65,2.5,atr_3x,1,0.5,True,31.99,11.39,2.81,63,52.4,4,25.0,59,54.2,7,9,77.8,-7.6,10.8,0.7,9.9,1.5,-0.9,2.2,9.1,3.9,-17.41
25,65,2.5,atr_3x,1,0.3,True,19.26,6.85,2.81,63,52.4,4,25.0,59,54.2,7,9,77.8,-4.4,6.4,0.4,6.2,1.0,-0.5,1.3,5.5,2.4,-30.139999999999997
