retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,1.618,0.005,3,0.1,fvg_only,85,23.5,3.16,2.86,1.11,1031.59,3,btc,1H,822,1304
0.382,0.618,2.0,0.002,5,0.1,both,212,19.3,12.78,11.55,1.11,1127.76,8,btc,1H,355,842
0.382,0.786,1.618,0.002,7,0.1,ob_only,172,25.6,13.11,11.78,1.11,1131.11,8,btc,1H,355,842
0.5,0.786,1.272,0.005,3,0.2,both,181,31.5,11.48,10.3,1.11,1114.8,8,btc,1H,355,842
0.5,0.786,1.272,0.005,7,0.1,both,181,31.5,13.15,11.98,1.1,1131.46,8,btc,1H,355,842
0.382,0.618,2.0,0.002,3,0.2,both,212,19.3,14.92,13.77,1.08,1149.17,8,btc,1H,355,842
0.5,0.786,1.618,0.005,5,0.1,fvg_only,85,23.5,5.12,4.73,1.08,1051.22,3,btc,1H,822,1304
0.382,0.786,2.0,0.002,5,0.2,both,225,17.3,20.36,18.78,1.08,1203.62,8,btc,1H,355,842
0.5,0.786,1.618,0.005,3,0.2,fvg_only,85,23.5,6.06,5.66,1.07,1060.59,3,btc,1H,822,1304
0.5,0.786,1.618,0.005,7,0.1,fvg_only,85,23.5,6.97,6.58,1.06,1069.66,3,btc,1H,822,1304
0.382,0.618,2.0,0.002,7,0.1,both,212,19.3,16.9,15.97,1.06,1169.0,8,btc,1H,355,842
0.5,0.786,1.272,0.005,5,0.2,both,181,31.5,17.64,16.9,1.04,1176.43,8,btc,1H,355,842
0.382,0.786,1.618,0.002,5,0.2,ob_only,172,25.6,17.27,16.58,1.04,1172.67,8,btc,1H,355,842
0.5,0.786,1.618,0.005,5,0.2,fvg_only,85,23.5,9.5,9.32,1.02,1095.02,3,btc,1H,822,1304
0.5,0.786,1.618,0.005,7,0.2,both,278,29.9,25.64,25.39,1.01,1256.42,5,btc,1H,545,1039
0.382,0.786,1.618,0.005,3,0.1,both,213,27.2,6.53,6.54,1.0,1065.29,8,btc,1H,355,842
0.5,0.786,1.618,0.002,3,0.1,both,296,22.0,7.02,7.09,0.99,1070.15,5,btc,1H,545,1039
0.382,0.618,2.0,0.002,5,0.2,both,212,19.3,21.84,22.36,0.98,1218.36,8,btc,1H,355,842
0.5,0.786,1.618,0.005,7,0.2,fvg_only,85,23.5,12.44,12.89,0.96,1124.39,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,7,0.2,both,181,31.5,22.36,23.24,0.96,1223.61,8,btc,1H,355,842
0.5,0.786,1.618,0.002,5,0.1,both,296,22.0,11.27,11.7,0.96,1112.74,5,btc,1H,545,1039
0.382,0.786,1.618,0.005,5,0.1,both,213,27.2,10.28,10.77,0.95,1102.79,8,btc,1H,355,842
0.5,0.786,1.618,0.002,3,0.2,both,296,22.0,13.26,13.96,0.95,1132.6,5,btc,1H,545,1039
0.382,0.786,2.0,0.002,7,0.2,both,225,17.3,23.94,25.52,0.94,1239.37,8,btc,1H,355,842
0.5,0.786,1.618,0.002,7,0.1,both,296,22.0,15.14,16.2,0.93,1151.44,5,btc,1H,545,1039
0.382,0.786,1.618,0.005,3,0.2,both,213,27.2,11.95,12.84,0.93,1119.53,8,btc,1H,355,842
0.382,0.786,1.618,0.002,7,0.2,ob_only,172,25.6,21.21,22.74,0.93,1212.12,8,btc,1H,355,842
0.382,0.786,1.618,0.005,7,0.1,both,213,27.2,13.49,14.89,0.91,1134.85,8,btc,1H,355,842
0.5,0.786,2.0,0.005,3,0.1,fvg_only,84,20.2,2.69,2.99,0.9,1026.93,3,btc,1H,822,1304
0.5,0.786,1.618,0.002,5,0.2,both,296,22.0,20.13,22.75,0.89,1201.32,5,btc,1H,545,1039
0.5,0.786,2.0,0.005,5,0.1,fvg_only,84,20.2,4.32,4.96,0.87,1043.23,3,btc,1H,822,1304
0.5,0.786,2.0,0.005,3,0.2,fvg_only,84,20.2,5.09,5.93,0.86,1050.88,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,3,0.1,ob_only,157,33.1,4.48,5.2,0.86,1044.75,8,btc,1H,355,842
0.382,0.618,1.272,0.002,3,0.1,ob_only,172,32.0,4.41,5.14,0.86,1044.07,8,btc,1H,355,842
0.382,0.618,2.0,0.002,7,0.2,both,212,19.3,25.86,30.42,0.85,1258.64,8,btc,1H,355,842
0.5,0.786,1.618,0.002,3,0.1,ob_only,258,23.6,4.78,5.61,0.85,1047.82,5,btc,1H,545,1039
0.5,0.786,1.272,0.002,3,0.1,fvg_only,89,16.9,2.04,2.44,0.84,1020.44,3,btc,1H,822,1304
0.5,0.786,2.0,0.005,7,0.1,fvg_only,84,20.2,5.82,6.9,0.84,1058.18,3,btc,1H,822,1304
0.5,0.786,1.272,0.005,5,0.1,ob_only,157,33.1,7.11,8.54,0.83,1071.08,8,btc,1H,355,842
0.5,0.786,1.272,0.002,3,0.2,fvg_only,89,16.9,3.96,4.85,0.82,1039.57,3,btc,1H,822,1304
0.5,0.786,1.272,0.002,5,0.1,fvg_only,89,16.9,3.33,4.05,0.82,1033.34,3,btc,1H,822,1304
0.382,0.618,1.272,0.002,5,0.1,ob_only,172,32.0,6.94,8.5,0.82,1069.43,8,btc,1H,355,842
0.382,0.786,1.618,0.005,5,0.2,both,213,27.2,17.18,20.87,0.82,1171.84,8,btc,1H,355,842
0.5,0.786,1.272,0.005,3,0.2,ob_only,157,33.1,8.31,10.17,0.82,1083.1,8,btc,1H,355,842
0.5,0.786,1.272,0.002,7,0.1,fvg_only,89,16.9,4.56,5.64,0.81,1045.65,3,btc,1H,822,1304
0.5,0.786,1.618,0.002,5,0.1,ob_only,258,23.6,7.51,9.28,0.81,1075.15,5,btc,1H,545,1039
0.382,0.786,1.272,0.002,3,0.1,ob_only,179,29.6,4.46,5.48,0.81,1044.6,8,btc,1H,355,842
0.5,0.786,1.618,0.002,7,0.2,both,296,22.0,25.08,31.02,0.81,1250.84,5,btc,1H,545,1039
0.5,0.786,1.272,0.005,7,0.1,ob_only,157,33.1,9.43,11.77,0.8,1094.34,8,btc,1H,355,842
0.5,0.786,2.0,0.005,5,0.2,fvg_only,84,20.2,7.8,9.77,0.8,1078.04,3,btc,1H,822,1304
0.382,0.618,1.272,0.002,3,0.2,ob_only,172,32.0,8.08,10.16,0.8,1080.82,8,btc,1H,355,842
0.382,0.786,1.618,0.005,3,0.1,ob_only,167,31.1,5.01,6.29,0.8,1050.07,8,btc,1H,355,842
0.5,0.786,1.272,0.002,3,0.1,both,192,24.0,4.75,5.94,0.8,1047.5,8,btc,1H,355,842
0.5,0.786,1.272,0.002,5,0.2,fvg_only,89,16.9,6.3,7.98,0.79,1062.97,3,btc,1H,822,1304
0.5,0.786,1.618,0.002,3,0.2,ob_only,258,23.6,8.74,11.09,0.79,1087.35,5,btc,1H,545,1039
0.382,0.786,1.272,0.002,5,0.1,ob_only,179,29.6,7.07,9.01,0.78,1070.66,8,btc,1H,355,842
0.5,0.786,1.272,0.002,5,0.1,both,192,24.0,7.58,9.85,0.77,1075.85,8,btc,1H,355,842
0.382,0.786,1.272,0.002,3,0.2,ob_only,179,29.6,8.25,10.75,0.77,1082.52,8,btc,1H,355,842
0.382,0.618,1.272,0.002,7,0.1,ob_only,172,32.0,9.13,11.8,0.77,1091.32,8,btc,1H,355,842
0.5,0.786,1.272,0.002,7,0.2,fvg_only,89,16.9,8.39,11.04,0.76,1083.89,3,btc,1H,822,1304
0.5,0.786,1.618,0.002,7,0.1,ob_only,258,23.6,9.85,12.89,0.76,1098.54,5,btc,1H,545,1039
0.382,0.786,1.618,0.005,5,0.1,ob_only,167,31.1,7.79,10.29,0.76,1077.93,8,btc,1H,355,842
0.5,0.786,1.272,0.002,3,0.2,both,192,24.0,8.89,11.78,0.76,1088.95,8,btc,1H,355,842
0.382,0.786,1.272,0.002,7,0.1,ob_only,179,29.6,9.35,12.46,0.75,1093.55,8,btc,1H,355,842
0.5,0.786,1.272,0.005,5,0.2,ob_only,157,33.1,12.31,16.42,0.75,1123.09,8,btc,1H,355,842
0.382,0.786,1.618,0.005,3,0.2,ob_only,167,31.1,9.01,12.23,0.74,1090.07,8,btc,1H,355,842
0.5,0.786,2.0,0.005,7,0.2,fvg_only,84,20.2,9.96,13.52,0.74,1099.64,3,btc,1H,822,1304
0.5,0.786,1.272,0.002,7,0.1,both,192,24.0,10.13,13.69,0.74,1101.3,8,btc,1H,355,842
0.382,0.618,1.618,0.002,3,0.1,ob_only,164,26.8,3.6,4.99,0.72,1036.01,8,btc,1H,355,842
0.382,0.786,1.618,0.005,7,0.1,ob_only,167,31.1,10.1,14.13,0.71,1100.98,8,btc,1H,355,842
0.382,0.786,1.272,0.002,5,0.2,ob_only,179,29.6,12.15,17.46,0.7,1121.5,8,btc,1H,355,842
0.382,0.618,1.272,0.002,5,0.2,ob_only,172,32.0,11.72,16.64,0.7,1117.23,8,btc,1H,355,842
0.382,0.786,1.618,0.005,7,0.2,both,213,27.2,19.89,28.43,0.7,1198.92,8,btc,1H,355,842
