adx_thresh,sl_mult,leverage,pos_ratio,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar,macd_fast,macd_slow,macd_sig
25,3.0,2,0.5,77,19.2,39,38,42.9,38.5,47.4,346.48,48.03,7.21,8,21,9
25,2.0,3,0.3,63,15.8,32,31,50.8,46.9,54.8,342.87,31.36,10.93,12,21,9
25,3.0,3,0.3,69,17.2,35,34,44.9,42.9,47.1,338.84,39.29,8.62,8,26,9
25,2.0,5,0.5,77,19.2,39,38,41.6,35.9,47.4,322.71,91.91,3.51,8,21,9
25,2.0,2,0.5,77,19.2,39,38,41.6,35.9,47.4,321.14,57.24,5.61,8,21,9
25,3.0,3,0.3,77,19.2,39,38,42.9,38.5,47.4,310.28,43.99,7.05,8,21,9
25,2.0,2,0.3,69,17.2,35,34,44.9,42.9,47.1,288.39,17.6,16.38,8,26,9
25,2.0,3,0.3,77,19.2,39,38,41.6,35.9,47.4,286.73,53.21,5.39,8,21,9
25,3.0,5,0.5,77,19.2,39,38,42.9,38.5,47.4,254.67,89.78,2.84,8,21,9
25,3.0,2,0.3,69,17.2,35,34,44.9,42.9,47.1,205.21,27.25,7.53,8,26,9
25,2.0,2,0.3,63,15.8,32,31,50.8,46.9,54.8,201.13,21.85,9.21,12,21,9
25,3.0,3,0.5,63,15.8,32,31,50.8,46.9,54.8,195.1,64.54,3.02,12,21,9
25,3.0,5,0.3,63,15.8,32,31,50.8,46.9,54.8,195.1,64.54,3.02,12,21,9
25,3.0,2,0.3,77,19.2,39,38,42.9,38.5,47.4,193.53,30.78,6.29,8,21,9
25,3.0,2,0.5,63,15.8,32,31,50.8,46.9,54.8,185.14,46.69,3.96,12,21,9
25,2.0,2,0.3,77,19.2,39,38,41.6,35.9,47.4,178.58,39.12,4.56,8,21,9
25,3.0,3,0.3,63,15.8,32,31,50.8,46.9,54.8,172.81,42.61,4.06,12,21,9
25,2.0,3,1.0,77,19.2,39,38,41.6,35.9,47.4,154.96,96.02,1.61,8,21,9
25,3.0,3,1.0,69,17.2,35,34,44.9,42.9,47.1,141.7,92.7,1.53,8,26,9
25,3.0,2,1.0,63,15.8,32,31,50.8,46.9,54.8,123.41,79.24,1.56,12,21,9
25,3.0,2,0.3,63,15.8,32,31,50.8,46.9,54.8,121.2,29.43,4.12,12,21,9
25,3.0,2,0.5,56,14.0,29,27,42.9,41.4,44.4,93.72,49.73,1.88,12,26,9
25,3.0,3,0.3,56,14.0,29,27,42.9,41.4,44.4,93.12,45.66,2.04,12,26,9
25,2.0,2,0.5,56,14.0,29,27,39.3,37.9,40.7,89.69,55.24,1.62,12,26,9
25,2.0,3,0.3,56,14.0,29,27,39.3,37.9,40.7,87.52,50.18,1.74,12,26,9
25,3.0,2,0.3,56,14.0,29,27,42.9,41.4,44.4,76.59,32.72,2.34,12,26,9
25,2.0,5,0.3,56,14.0,29,27,39.3,37.9,40.7,72.48,75.87,0.96,12,26,9
25,2.0,3,0.5,56,14.0,29,27,39.3,37.9,40.7,72.48,75.87,0.96,12,26,9
25,3.0,3,1.0,77,19.2,39,38,42.9,38.5,47.4,71.83,95.39,0.75,8,21,9
25,2.0,2,0.3,56,14.0,29,27,39.3,37.9,40.7,69.7,33.58,2.08,12,26,9
25,0.0,2,0.3,73,18.2,37,36,45.2,43.2,47.2,62.59,53.44,1.17,8,21,9
25,0.0,2,0.3,65,16.2,33,32,47.7,48.5,46.9,62.57,48.21,1.3,8,26,9
