rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
35,1.0,atr_3x,7,0.2,False,186,22.6,-77.2,79.91,-0.97,4h
45,1.0,bb_mid,5,0.3,False,278,38.8,-77.39,77.78,-1.0,4h
45,1.5,atr_3x,7,0.2,False,223,33.6,-77.91,81.54,-0.96,4h
45,2.0,bb_mid,5,0.3,False,240,57.9,-78.16,84.76,-0.92,4h
40,2.0,atr_2x,7,0.3,False,197,47.7,-78.2,89.32,-0.88,4h
40,1.0,atr_3x,7,0.3,False,232,25.9,-78.21,89.21,-0.88,4h
30,1.5,atr_3x,5,0.3,False,118,30.5,-79.2,83.17,-0.95,4h
35,1.5,atr_3x,5,0.2,False,168,29.2,-79.76,79.76,-1.0,4h
35,1.0,atr_3x,5,0.3,False,186,22.6,-79.92,82.43,-0.97,4h
30,1.5,bb_mid,7,0.2,False,123,38.2,-80.83,83.61,-0.97,4h
45,1.5,atr_3x,5,0.3,False,223,33.6,-80.91,84.21,-0.96,4h
30,1.0,bb_mid,7,0.3,False,133,30.8,-81.37,88.16,-0.92,4h
45,1.5,bb_mid,7,0.2,False,257,49.0,-82.64,85.43,-0.97,4h
35,1.5,bb_mid,7,0.2,False,182,42.9,-82.86,85.41,-0.97,4h
40,1.5,bb_mid,7,0.2,False,236,47.5,-83.14,86.58,-0.96,4h
30,1.5,bb_mid,5,0.3,False,123,38.2,-83.26,85.83,-0.97,4h
40,1.0,bb_mid,7,0.3,False,253,38.7,-83.48,87.07,-0.96,4h
30,1.5,atr_2x,7,0.3,False,119,37.0,-84.11,87.83,-0.96,4h
45,1.5,bb_mid,5,0.3,False,257,49.0,-85.06,87.61,-0.97,4h
35,2.0,atr_2x,7,0.3,False,158,46.2,-85.07,90.99,-0.93,4h
40,1.5,atr_2x,7,0.3,False,221,40.3,-85.14,91.54,-0.93,4h
30,2.0,bb_mid,7,0.3,False,116,49.1,-85.2,92.07,-0.93,4h
40,1.5,atr_3x,7,0.2,False,206,32.0,-85.2,88.11,-0.97,4h
35,1.5,bb_mid,5,0.3,False,182,42.9,-85.22,87.55,-0.97,4h
40,1.5,bb_mid,5,0.3,False,236,47.5,-85.51,88.63,-0.96,4h
35,1.0,bb_mid,7,0.3,False,197,35.0,-85.63,86.8,-0.99,4h
30,1.0,atr_3x,7,0.3,False,129,22.5,-85.68,88.51,-0.97,4h
40,1.5,atr_3x,5,0.3,False,206,32.0,-87.53,90.11,-0.97,4h
35,2.0,bb_mid,7,0.3,False,167,52.7,-89.12,93.94,-0.95,4h
45,1.0,bb_mid,7,0.3,False,278,38.8,-89.25,89.5,-1.0,4h
35,1.5,atr_2x,7,0.3,False,177,38.4,-89.81,92.45,-0.97,4h
40,2.0,bb_mid,7,0.3,False,217,56.7,-89.99,93.87,-0.96,4h
35,2.0,atr_3x,7,0.3,False,148,38.5,-90.37,92.41,-0.98,4h
35,1.5,atr_3x,7,0.2,False,168,29.2,-90.42,90.42,-1.0,4h
30,1.5,atr_3x,7,0.3,False,118,30.5,-90.81,93.09,-0.98,4h
45,2.0,bb_mid,7,0.3,False,240,57.9,-90.83,94.29,-0.96,4h
35,1.0,atr_3x,7,0.3,False,186,22.6,-91.14,92.55,-0.98,4h
35,1.5,atr_3x,5,0.3,False,168,29.2,-92.13,92.13,-1.0,4h
45,1.5,atr_3x,7,0.3,False,223,33.6,-92.85,94.42,-0.98,4h
30,1.5,bb_mid,7,0.3,False,123,38.2,-92.96,94.37,-0.99,4h
35,1.5,bb_mid,7,0.3,False,182,42.9,-94.32,95.45,-0.99,4h
45,1.5,bb_mid,7,0.3,False,257,49.0,-94.36,95.61,-0.99,4h
40,1.5,bb_mid,7,0.3,False,236,47.5,-94.56,96.05,-0.98,4h
40,1.5,atr_3x,7,0.3,False,206,32.0,-95.96,97.0,-0.99,4h
35,1.5,atr_3x,7,0.3,False,168,29.2,-97.77,97.77,-1.0,4h
