entry_dt,exit_dt,side,result,pnl_pct
2022-10-05 13:15:00+00:00,2022-10-05 14:15:00+00:00,long,loss,-1.7469
2022-10-14 14:15:00+00:00,2022-10-14 15:15:00+00:00,long,loss,-2.2499
2022-10-16 08:30:00+00:00,2022-10-16 09:30:00+00:00,short,win,0.4562
2022-10-25 13:15:00+00:00,2022-10-25 13:30:00+00:00,short,loss,-0.8825
2022-10-29 02:45:00+00:00,2022-10-29 03:15:00+00:00,short,loss,-1.1628
2022-11-03 11:45:00+00:00,2022-11-03 12:45:00+00:00,long,loss,-1.2968
2022-11-11 14:30:00+00:00,2022-11-11 14:45:00+00:00,long,win,11.929
2022-11-22 13:30:00+00:00,2022-11-22 13:45:00+00:00,short,loss,-2.312
2022-11-26 22:45:00+00:00,2022-11-27 00:15:00+00:00,long,win,1.0344
2022-12-15 02:00:00+00:00,2022-12-15 13:00:00+00:00,long,loss,-1.9943
2023-01-03 15:00:00+00:00,2023-01-03 15:15:00+00:00,long,loss,-0.8214
2023-01-10 15:15:00+00:00,2023-01-10 18:15:00+00:00,short,loss,-1.0661
2023-01-13 10:15:00+00:00,2023-01-13 10:45:00+00:00,short,loss,-1.165
2023-01-15 15:15:00+00:00,2023-01-15 15:45:00+00:00,short,loss,-1.5286
2023-01-16 01:15:00+00:00,2023-01-16 02:15:00+00:00,short,loss,-2.6006
2023-01-19 15:30:00+00:00,2023-01-19 18:45:00+00:00,short,loss,-1.563
2023-01-24 09:45:00+00:00,2023-01-24 14:30:00+00:00,long,loss,-1.5402
2023-01-25 20:15:00+00:00,2023-01-25 21:00:00+00:00,short,loss,-1.8883
2023-01-31 14:00:00+00:00,2023-01-31 14:45:00+00:00,short,loss,-1.4175
2023-02-02 00:45:00+00:00,2023-02-02 06:15:00+00:00,short,win,5.6699
2023-02-02 22:00:00+00:00,2023-02-03 13:30:00+00:00,long,loss,-2.5696
2023-02-06 16:15:00+00:00,2023-02-06 22:00:00+00:00,short,win,2.4656
2023-02-13 23:30:00+00:00,2023-02-14 12:45:00+00:00,short,loss,-1.4261
2023-02-27 13:45:00+00:00,2023-02-27 14:15:00+00:00,short,loss,-1.4292
2023-02-28 08:00:00+00:00,2023-02-28 11:30:00+00:00,long,win,1.4952
2023-03-01 20:00:00+00:00,2023-03-01 23:30:00+00:00,long,win,2.7698
2023-03-23 13:30:00+00:00,2023-03-23 14:45:00+00:00,long,win,1.8546
2023-03-26 08:45:00+00:00,2023-03-26 11:45:00+00:00,short,loss,-1.2659
2023-03-28 10:45:00+00:00,2023-03-28 11:15:00+00:00,long,win,2.3062
2023-03-28 19:00:00+00:00,2023-03-28 19:45:00+00:00,short,loss,-2.2667
