macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,35,25,65,2.0,atr_2x,3,0.5,271,165,106,46.5,41.2,54.7,-86.93,92.8,-0.94
800,40,20,70,1.5,atr_3x,3,0.5,241,157,84,30.3,29.3,32.1,-87.3,93.23,-0.94
800,45,25,65,1.5,atr_3x,3,0.5,376,243,133,31.6,28.4,37.6,-87.32,93.6,-0.93
500,40,25,70,1.5,atr_3x,3,0.5,294,233,61,31.0,28.8,39.3,-87.34,95.67,-0.91
1200,35,20,65,2.0,atr_3x,3,0.7,198,93,105,41.4,36.6,45.7,-87.34,93.97,-0.93
800,35,20,65,2.0,atr_3x,3,0.7,216,101,115,41.7,36.6,46.1,-87.57,95.67,-0.92
800,35,20,65,1.5,atr_2x,3,0.5,251,113,138,39.8,35.4,43.5,-87.58,91.71,-0.96
500,45,25,70,2.0,atr_2x,3,0.5,295,239,56,44.7,43.1,51.8,-87.65,91.77,-0.96
500,45,20,70,1.5,atr_3x,3,0.7,251,190,61,33.1,31.1,39.3,-87.74,95.16,-0.92
1200,35,20,70,1.5,atr_3x,3,0.5,182,104,78,28.6,28.8,28.2,-87.83,90.97,-0.97
500,45,25,65,2.0,atr_3x,3,0.7,328,229,99,41.2,36.7,51.5,-87.91,98.29,-0.89
1200,35,25,70,2.0,atr_2x,3,0.5,204,137,67,42.2,41.6,43.3,-87.94,92.77,-0.95
500,35,25,70,1.5,atr_3x,3,0.5,247,186,61,30.8,28.0,39.3,-87.94,96.07,-0.92
500,40,20,70,2.0,atr_3x,3,0.7,203,148,55,40.4,37.2,49.1,-87.95,96.71,-0.91
800,45,25,70,2.0,atr_2x,3,0.5,295,222,73,44.4,43.7,46.6,-88.03,92.51,-0.95
800,40,25,65,1.5,atr_3x,3,0.5,349,216,133,31.5,27.8,37.6,-88.12,94.12,-0.94
500,35,20,70,1.5,atr_3x,3,0.7,177,116,61,33.3,30.2,39.3,-88.24,96.15,-0.92
800,45,20,70,2.0,atr_2x,3,0.5,247,174,73,44.9,44.3,46.6,-88.28,91.26,-0.97
1200,40,25,70,2.0,atr_3x,3,0.5,243,178,65,35.8,35.4,36.9,-88.28,94.66,-0.93
500,40,20,70,1.5,atr_3x,3,0.7,224,163,61,33.0,30.7,39.3,-88.36,95.82,-0.92
1200,40,20,70,1.5,atr_3x,3,0.5,229,151,78,28.8,29.1,28.2,-88.49,90.94,-0.97
1200,35,20,65,2.0,atr_2x,3,0.5,206,95,111,45.6,42.1,48.6,-88.57,91.07,-0.97
1200,45,20,70,1.5,atr_3x,3,0.5,254,176,78,29.1,29.5,28.2,-88.63,90.63,-0.98
500,45,25,65,2.0,atr_2x,3,0.5,345,239,106,46.7,43.1,54.7,-88.64,93.61,-0.95
800,35,25,65,2.0,atr_3x,3,0.7,264,149,115,40.2,35.6,46.1,-88.97,97.76,-0.91
800,45,20,65,1.5,atr_2x,3,0.5,329,191,138,39.8,37.2,43.5,-89.11,92.04,-0.97
800,45,25,65,2.0,atr_2x,3,0.5,346,222,124,46.2,43.7,50.8,-89.12,94.16,-0.95
800,35,20,70,1.5,atr_2x,3,0.5,197,113,84,36.0,35.4,36.9,-89.14,91.95,-0.97
800,40,20,65,1.5,atr_2x,3,0.5,299,161,138,39.8,36.6,43.5,-89.16,91.44,-0.98
800,45,20,65,2.0,atr_2x,3,0.5,298,174,124,47.0,44.3,50.8,-89.35,92.9,-0.96
500,40,25,70,2.0,atr_2x,3,0.5,267,211,56,44.2,42.2,51.8,-89.38,92.84,-0.96
1200,45,20,70,2.0,atr_2x,3,0.5,233,166,67,43.8,44.0,43.3,-89.39,91.49,-0.98
1200,35,25,65,2.0,atr_2x,3,0.5,248,137,111,44.8,41.6,48.6,-89.54,93.26,-0.96
500,40,25,65,2.0,atr_3x,3,0.7,305,206,99,41.0,35.9,51.5,-90.0,98.51,-0.91
500,40,25,65,2.0,atr_2x,3,0.5,317,211,106,46.4,42.2,54.7,-90.23,94.11,-0.96
1200,45,25,70,2.0,atr_2x,3,0.5,275,208,67,43.3,43.3,43.3,-90.28,93.47,-0.97
1200,45,20,65,2.0,atr_3x,3,0.7,261,156,105,40.6,37.2,45.7,-90.34,94.31,-0.96
800,45,20,65,2.0,atr_3x,3,0.7,279,164,115,40.9,37.2,46.1,-90.39,95.96,-0.94
1200,35,25,65,2.0,atr_3x,3,0.7,240,135,105,40.0,35.6,45.7,-90.39,97.38,-0.93
1200,35,20,65,1.5,atr_2x,3,0.5,230,105,125,37.8,34.3,40.8,-90.41,92.67,-0.98
800,40,25,70,2.0,atr_2x,3,0.5,268,195,73,43.7,42.6,46.6,-90.46,93.63,-0.97
800,45,20,70,1.5,atr_2x,3,0.5,275,191,84,37.1,37.2,36.9,-90.47,91.84,-0.99
800,40,20,70,1.5,atr_2x,3,0.5,245,161,84,36.7,36.6,36.9,-90.52,91.79,-0.99
800,40,20,70,2.0,atr_2x,3,0.5,220,147,73,44.1,42.9,46.6,-90.66,92.48,-0.98
1200,35,20,70,1.5,atr_2x,3,0.5,183,105,78,33.9,34.3,33.3,-90.74,92.13,-0.98
1200,45,20,65,2.0,atr_2x,3,0.5,277,166,111,45.8,44.0,48.6,-90.79,92.98,-0.98
800,35,20,65,1.5,atr_3x,3,0.7,245,112,133,33.9,29.5,37.6,-90.96,95.32,-0.95
1200,35,25,65,1.5,atr_3x,3,0.5,278,155,123,30.6,26.5,35.8,-90.99,94.98,-0.96
1200,40,20,70,2.0,atr_2x,3,0.5,208,141,67,42.8,42.6,43.3,-91.25,92.96,-0.98
800,40,25,65,2.0,atr_2x,3,0.5,319,195,124,45.8,42.6,50.8,-91.33,94.93,-0.96
1200,40,20,65,1.5,atr_2x,3,0.5,280,155,125,38.2,36.1,40.8,-91.33,92.55,-0.99
800,45,25,65,2.0,atr_3x,3,0.7,327,212,115,39.8,36.3,46.1,-91.46,97.91,-0.93
1200,40,25,65,1.5,atr_3x,3,0.5,325,202,123,30.5,27.2,35.8,-91.48,94.41,-0.97
800,40,20,65,2.0,atr_2x,3,0.5,271,147,124,46.5,42.9,50.8,-91.51,93.84,-0.98
1200,45,25,65,2.0,atr_2x,3,0.5,319,208,111,45.1,43.3,48.6,-91.57,94.61,-0.97
1200,45,25,65,1.5,atr_3x,3,0.5,350,227,123,30.6,27.8,35.8,-91.59,94.46,-0.97
1200,40,20,70,1.5,atr_2x,3,0.5,233,155,78,35.2,36.1,33.3,-91.63,92.43,-0.99
