macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
800,40,25,70,2.0,atr_3x,3,0.5,247,163,84,36.8,38.0,34.5,-98.94,99.27,-1.0
1200,40,25,70,1.5,atr_2x,3,0.5,281,167,114,34.5,35.3,33.3,-98.94,99.01,-1.0
1200,45,20,70,1.5,atr_3x,3,0.5,236,122,114,29.2,29.5,28.9,-98.98,99.08,-1.0
500,40,25,65,1.5,atr_3x,3,0.5,310,190,120,30.6,30.0,31.7,-98.98,99.16,-1.0
1200,45,20,65,1.5,atr_2x,3,0.5,292,125,167,35.3,35.2,35.3,-99.0,99.17,-1.0
500,40,25,70,1.5,atr_3x,3,0.5,266,190,76,29.3,30.0,27.6,-99.01,99.1,-1.0
800,40,20,65,1.5,atr_3x,3,0.5,266,119,147,29.3,30.3,28.6,-99.01,99.19,-1.0
500,45,25,70,2.0,atr_3x,3,0.5,249,183,66,37.3,37.2,37.9,-99.02,99.42,-1.0
500,40,20,65,2.0,atr_3x,3,0.7,216,112,104,39.4,38.4,40.4,-99.03,99.48,-1.0
1200,40,25,65,2.0,atr_2x,3,0.5,300,153,147,43.0,41.8,44.2,-99.05,99.21,-1.0
800,40,25,65,2.0,atr_3x,3,0.5,289,163,126,37.4,38.0,36.5,-99.05,99.31,-1.0
500,40,20,70,2.0,atr_3x,3,0.7,178,112,66,38.2,38.4,37.9,-99.08,99.63,-0.99
1200,35,25,65,2.0,atr_3x,3,0.5,273,130,143,37.0,35.4,38.5,-99.08,99.61,-0.99
500,45,25,70,1.5,atr_2x,3,0.5,283,207,76,33.9,35.3,30.3,-99.11,99.17,-1.0
1200,45,25,70,2.0,atr_2x,3,0.5,265,166,99,42.6,42.2,43.4,-99.13,99.28,-1.0
1200,35,25,65,1.5,atr_3x,3,0.5,306,142,164,29.7,28.9,30.5,-99.15,99.3,-1.0
800,35,25,65,1.5,atr_3x,3,0.5,298,152,146,28.9,28.9,28.8,-99.15,99.3,-1.0
800,45,20,70,1.5,atr_2x,3,0.5,235,136,99,32.3,34.6,29.3,-99.16,99.3,-1.0
1200,35,20,70,2.0,atr_2x,3,0.7,176,77,99,43.2,42.9,43.4,-99.17,99.73,-0.99
800,40,20,65,1.5,atr_2x,3,0.5,268,119,149,33.6,35.3,32.2,-99.17,99.31,-1.0
800,40,25,65,2.0,atr_2x,3,0.5,294,164,130,41.8,42.7,40.8,-99.18,99.32,-1.0
800,45,20,65,2.0,atr_2x,3,0.5,251,121,130,41.8,43.0,40.8,-99.2,99.4,-1.0
1200,40,25,65,1.5,atr_2x,3,0.5,334,167,167,35.3,35.3,35.3,-99.2,99.3,-1.0
800,35,20,70,2.0,atr_2x,3,0.7,168,84,84,41.1,44.0,38.1,-99.21,99.74,-0.99
500,40,20,70,2.0,atr_2x,3,0.7,178,112,66,42.7,43.8,40.9,-99.23,99.44,-1.0
800,45,25,70,2.0,atr_2x,3,0.5,262,178,84,41.2,42.7,38.1,-99.24,99.37,-1.0
1200,45,25,70,1.5,atr_2x,3,0.5,297,183,114,34.3,35.0,33.3,-99.27,99.32,-1.0
800,40,25,70,1.5,atr_2x,3,0.5,279,180,99,33.0,35.0,29.3,-99.27,99.32,-1.0
1200,35,20,65,1.5,atr_2x,3,0.7,253,86,167,36.4,38.4,35.3,-99.27,99.43,-1.0
500,45,25,65,1.5,atr_2x,3,0.5,330,207,123,35.2,35.3,35.0,-99.28,99.36,-1.0
1200,40,25,70,2.0,atr_3x,3,0.5,251,152,99,37.1,36.2,38.4,-99.29,99.45,-1.0
500,35,20,70,1.5,atr_3x,3,0.7,172,96,76,29.1,30.2,27.6,-99.32,99.75,-1.0
