rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
45,2.0,atr_2x,5,0.1,True,159,53.0,52.2,12.99,13.94,0.93,1h
40,1.0,atr_2x,3,0.3,True,139,46.3,36.7,12.89,19.64,0.66,1h
35,1.5,atr_3x,3,0.3,True,62,20.7,40.3,12.87,25.14,0.51,1h
40,1.0,bb_mid,7,0.2,True,140,46.7,45.0,12.78,30.0,0.43,1h
45,1.5,atr_2x,3,0.2,True,172,57.3,45.3,12.58,17.88,0.7,1h
45,1.0,atr_2x,7,0.1,True,186,62.0,36.0,12.57,15.47,0.81,1h
35,1.5,bb_mid,5,0.2,True,65,21.7,55.4,12.54,17.71,0.71,1h
40,1.5,atr_2x,5,0.2,True,128,42.7,44.5,12.07,25.23,0.48,1h
40,1.5,atr_2x,7,0.3,True,128,42.7,44.5,12.02,46.98,0.26,1h
35,1.5,bb_mid,3,0.3,True,65,21.7,55.4,11.43,16.07,0.71,1h
40,1.5,atr_2x,3,0.3,True,128,42.7,44.5,11.35,22.95,0.49,1h
45,1.0,atr_2x,3,0.2,True,186,62.0,36.0,11.08,13.37,0.83,1h
35,2.0,atr_3x,7,0.2,True,61,20.3,47.5,10.98,39.56,0.28,1h
35,2.0,atr_3x,5,0.3,True,61,20.3,47.5,10.93,41.86,0.26,1h
45,1.5,atr_2x,5,0.1,True,172,57.3,45.3,10.81,15.08,0.72,1h
45,1.5,atr_3x,5,0.1,False,630,210.0,34.6,10.64,26.55,0.4,1h
35,1.5,atr_3x,7,0.1,True,62,20.7,40.3,10.57,20.08,0.53,1h
40,1.0,atr_2x,7,0.1,True,139,46.3,36.7,10.55,15.55,0.68,1h
45,1.5,atr_3x,3,0.2,False,630,210.0,34.6,10.37,31.11,0.33,1h
40,1.0,bb_mid,5,0.2,True,140,46.7,45.0,10.28,22.33,0.46,1h
35,2.0,atr_3x,5,0.2,True,61,20.3,47.5,10.02,29.7,0.34,1h
40,1.5,bb_mid,3,0.1,True,134,44.7,60.4,9.98,6.66,1.5,1h
45,2.0,bb_mid,7,0.2,True,171,57.0,67.3,9.59,36.91,0.26,1h
40,1.5,atr_2x,7,0.1,True,128,42.7,44.5,9.57,18.24,0.52,1h
40,1.0,bb_mid,3,0.3,True,140,46.7,45.0,9.5,20.31,0.47,1h
35,2.0,atr_3x,3,0.3,True,61,20.3,47.5,9.49,27.06,0.35,1h
45,2.0,bb_mid,5,0.3,True,171,57.0,67.3,9.47,39.11,0.24,1h
45,1.0,atr_2x,5,0.1,True,186,62.0,36.0,9.47,11.26,0.84,1h
35,1.5,atr_3x,3,0.2,True,62,20.7,40.3,9.29,17.45,0.53,1h
45,1.5,atr_3x,7,0.1,False,630,210.0,34.6,9.29,35.45,0.26,1h
40,1.0,atr_2x,3,0.2,True,139,46.3,36.7,9.26,13.45,0.69,1h
45,1.5,atr_3x,3,0.3,True,161,53.7,35.4,9.22,34.24,0.27,1h
45,1.5,atr_3x,5,0.2,True,161,53.7,35.4,9.09,37.41,0.24,1h
35,1.5,bb_mid,7,0.1,True,65,21.7,55.4,9.09,12.71,0.72,1h
45,2.0,bb_mid,5,0.2,True,171,57.0,67.3,8.94,27.55,0.32,1h
45,1.5,atr_3x,7,0.1,True,161,53.7,35.4,8.76,27.54,0.32,1h
45,1.5,atr_3x,3,0.1,False,630,210.0,34.6,8.71,16.69,0.52,1h
40,1.5,atr_2x,3,0.2,True,128,42.7,44.5,8.51,15.8,0.54,1h
45,2.0,bb_mid,3,0.3,True,171,57.0,67.3,8.5,25.07,0.34,1h
35,2.0,bb_mid,7,0.3,True,65,21.7,63.1,8.41,39.61,0.21,1h
35,2.0,bb_mid,5,0.3,True,65,21.7,63.1,8.36,29.94,0.28,1h
35,2.0,atr_3x,7,0.3,True,61,20.3,47.5,8.35,54.28,0.15,1h
45,1.5,atr_3x,3,0.2,True,161,53.7,35.4,8.18,24.0,0.34,1h
45,2.0,atr_2x,3,0.1,True,159,53.0,52.2,8.16,8.37,0.97,1h
35,2.0,bb_mid,7,0.2,True,65,21.7,63.1,8.16,28.21,0.29,1h
35,2.0,atr_3x,7,0.1,True,61,20.3,47.5,8.12,21.56,0.38,1h
45,1.5,bb_mid,7,0.2,True,179,59.7,58.1,8.07,34.98,0.23,1h
35,1.5,atr_3x,5,0.1,True,62,20.7,40.3,7.93,14.74,0.54,1h
40,1.0,atr_2x,5,0.1,True,139,46.3,36.7,7.89,11.31,0.7,1h
35,1.5,bb_mid,3,0.2,True,65,21.7,55.4,7.87,10.98,0.72,1h
45,1.5,bb_mid,5,0.2,True,179,59.7,58.1,7.86,26.13,0.3,1h
45,1.5,bb_mid,5,0.3,True,179,59.7,58.1,7.85,37.06,0.21,1h
40,2.0,atr_2x,5,0.2,True,121,40.3,50.4,7.8,21.7,0.36,1h
40,1.0,bb_mid,7,0.1,True,140,46.7,45.0,7.77,16.13,0.48,1h
40,2.0,atr_2x,3,0.3,True,121,40.3,50.4,7.62,19.66,0.39,1h
45,1.5,bb_mid,3,0.3,True,179,59.7,58.1,7.53,23.78,0.32,1h
45,1.5,atr_3x,5,0.1,True,161,53.7,35.4,7.37,20.34,0.36,1h
40,1.5,atr_2x,5,0.1,True,128,42.7,44.5,7.34,13.31,0.55,1h
45,2.0,bb_mid,7,0.1,True,171,57.0,67.3,7.3,19.93,0.37,1h
35,2.0,atr_3x,3,0.2,True,61,20.3,47.5,7.26,18.71,0.39,1h
40,2.0,atr_2x,7,0.2,True,121,40.3,50.4,7.12,29.56,0.24,1h
45,1.5,atr_2x,3,0.1,True,172,57.3,45.3,6.85,9.26,0.74,1h
40,2.0,atr_2x,7,0.1,True,121,40.3,50.4,6.85,15.5,0.44,1h
35,2.0,bb_mid,5,0.2,True,65,21.7,63.1,6.83,20.93,0.33,1h
40,1.0,bb_mid,3,0.2,True,140,46.7,45.0,6.82,13.98,0.49,1h
35,1.5,bb_mid,5,0.1,True,65,21.7,55.4,6.63,9.22,0.72,1h
40,2.0,atr_2x,5,0.3,True,121,40.3,50.4,6.61,31.44,0.21,1h
45,1.5,bb_mid,7,0.1,True,179,59.7,58.1,6.57,18.91,0.35,1h
45,2.0,bb_mid,3,0.2,True,171,57.0,67.3,6.55,17.26,0.38,1h
45,2.0,bb_mid,7,0.3,True,171,57.0,67.3,6.39,51.14,0.12,1h
35,2.0,bb_mid,3,0.3,True,65,21.7,63.1,6.37,19.02,0.34,1h
45,1.5,atr_3x,7,0.2,True,161,53.7,35.4,6.34,48.9,0.13,1h
35,2.0,atr_3x,5,0.1,True,61,20.3,47.5,6.31,15.78,0.4,1h
40,2.0,atr_2x,3,0.2,True,121,40.3,50.4,6.26,13.37,0.47,1h
45,1.0,atr_2x,3,0.1,True,186,62.0,36.0,5.96,6.89,0.86,1h
45,1.5,bb_mid,3,0.2,True,179,59.7,58.1,5.92,16.39,0.36,1h
40,1.0,bb_mid,5,0.1,True,140,46.7,45.0,5.81,11.77,0.49,1h
45,2.0,bb_mid,5,0.1,True,171,57.0,67.3,5.69,14.54,0.39,1h
40,2.0,atr_2x,5,0.1,True,121,40.3,50.4,5.53,11.21,0.49,1h
35,2.0,bb_mid,7,0.1,True,65,21.7,63.1,5.29,15.07,0.35,1h
45,1.5,bb_mid,5,0.1,True,179,59.7,58.1,5.18,13.81,0.38,1h
45,1.5,atr_3x,5,0.3,True,161,53.7,35.4,5.12,51.49,0.1,1h
45,1.5,atr_3x,3,0.1,True,161,53.7,35.4,5.07,12.61,0.4,1h
35,1.5,atr_3x,3,0.1,True,62,20.7,40.3,4.98,9.08,0.55,1h
40,1.0,atr_2x,3,0.1,True,139,46.3,36.7,4.94,6.91,0.71,1h
45,1.5,atr_3x,3,0.3,False,630,210.0,34.6,4.82,43.47,0.11,1h
40,1.5,atr_2x,3,0.1,True,128,42.7,44.5,4.69,8.16,0.58,1h
35,2.0,bb_mid,3,0.2,True,65,21.7,63.1,4.68,13.04,0.36,1h
45,1.5,bb_mid,7,0.3,True,179,59.7,58.1,4.32,48.48,0.09,1h
35,2.0,atr_3x,3,0.1,True,61,20.3,47.5,4.08,9.69,0.42,1h
35,1.5,bb_mid,3,0.1,True,65,21.7,55.4,4.06,5.62,0.72,1h
35,2.0,bb_mid,5,0.1,True,65,21.7,63.1,4.01,10.97,0.37,1h
40,2.0,atr_2x,3,0.1,True,121,40.3,50.4,3.69,6.81,0.54,1h
45,2.0,bb_mid,3,0.1,True,171,57.0,67.3,3.68,8.91,0.41,1h
40,1.0,bb_mid,3,0.1,True,140,46.7,45.0,3.64,7.21,0.5,1h
45,1.5,bb_mid,3,0.1,True,179,59.7,58.1,3.39,8.48,0.4,1h
35,2.0,bb_mid,3,0.1,True,65,21.7,63.1,2.54,6.71,0.38,1h
40,1.5,atr_3x,5,0.1,True,122,40.7,35.2,2.33,19.1,0.12,1h
40,1.5,atr_3x,3,0.2,True,122,40.7,35.2,2.31,22.53,0.1,1h
40,1.5,atr_3x,7,0.1,True,122,40.7,35.2,2.14,25.83,0.08,1h
40,1.5,atr_3x,3,0.1,True,122,40.7,35.2,1.87,11.87,0.16,1h
35,1.5,atr_3x,3,0.1,False,427,142.3,34.0,1.62,18.41,0.09,1h
45,1.5,atr_3x,5,0.2,False,630,210.0,34.6,1.55,47.17,0.03,1h
45,2.0,atr_3x,3,0.1,True,145,48.3,42.8,1.5,11.51,0.13,1h
40,2.0,atr_3x,5,0.1,True,114,38.0,42.1,1.48,16.06,0.09,1h
40,2.0,atr_3x,3,0.1,True,114,38.0,42.1,1.43,9.84,0.15,1h
45,2.0,atr_3x,5,0.1,True,145,48.3,42.8,1.36,19.04,0.07,1h
40,1.5,atr_3x,3,0.3,True,122,40.7,35.2,1.34,32.09,0.04,1h
40,2.0,atr_3x,3,0.2,True,114,38.0,42.1,1.24,19.06,0.07,1h
45,2.0,atr_3x,3,0.2,True,145,48.3,42.8,0.96,22.73,0.04,1h
40,2.0,atr_3x,7,0.1,True,114,38.0,42.1,0.82,21.99,0.04,1h
40,2.0,atr_2x,7,0.3,True,121,40.3,50.4,0.81,42.09,0.02,1h
40,1.5,atr_3x,5,0.2,True,122,40.7,35.2,0.72,35.04,0.02,1h
35,1.5,atr_2x,5,0.1,True,62,20.7,43.5,0.61,10.53,0.06,1h
35,1.5,atr_2x,3,0.1,True,62,20.7,43.5,0.55,6.35,0.09,1h
35,1.5,atr_2x,3,0.2,True,62,20.7,43.5,0.55,12.6,0.04,1h
35,1.5,atr_2x,7,0.1,True,62,20.7,43.5,0.44,14.66,0.03,1h
45,2.0,atr_3x,7,0.1,True,145,48.3,42.8,0.33,26.36,0.01,1h
35,1.5,atr_2x,3,0.3,True,62,20.7,43.5,0.02,18.73,0.0,1h
35,1.5,atr_3x,5,0.1,False,427,142.3,34.0,-0.05,29.3,-0.0,1h
40,1.0,atr_3x,3,0.1,True,134,44.7,26.9,-0.24,11.64,-0.02,1h
35,1.5,atr_2x,5,0.2,True,62,20.7,43.5,-0.27,20.73,-0.01,1h
35,2.0,atr_2x,3,0.1,True,61,20.3,50.8,-0.47,7.75,-0.06,1h
40,2.0,atr_3x,3,0.3,True,114,38.0,42.1,-0.54,27.64,-0.02,1h
30,2.0,bb_mid,3,0.1,True,12,4.0,66.7,-0.77,4.3,-0.18,1h
30,1.5,bb_mid,3,0.1,True,12,4.0,58.3,-0.8,3.27,-0.25,1h
45,1.0,bb_mid,3,0.1,True,188,62.7,43.6,-0.83,7.45,-0.11,1h
40,1.0,atr_3x,5,0.1,True,134,44.7,26.9,-1.01,18.76,-0.05,1h
45,1.0,atr_3x,3,0.1,True,178,59.3,25.8,-1.02,10.71,-0.1,1h
35,2.0,atr_2x,5,0.1,True,61,20.3,50.8,-1.14,12.77,-0.09,1h
30,2.0,bb_mid,5,0.1,True,12,4.0,66.7,-1.32,7.09,-0.19,1h
30,1.5,bb_mid,5,0.1,True,12,4.0,58.3,-1.36,5.4,-0.25,1h
40,2.0,atr_3x,5,0.2,True,114,38.0,42.1,-1.46,30.36,-0.05,1h
45,2.0,atr_3x,3,0.3,True,145,48.3,42.8,-1.56,33.41,-0.05,1h
