retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.786,2.0,0.002,5,0.2,ob_only,45,22,23,31.1,23.2,6.56,3.53,1232.01,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,7,0.2,fvg_only,6,6,0,16.7,6.35,1.8,3.52,1063.52,8,sol,1H,3m,41
0.382,0.618,1.618,0.005,7,0.2,ob_only,38,18,20,39.5,28.28,8.06,3.51,1282.79,3,sol,1H,3m,107
0.5,0.786,1.272,0.002,7,0.1,ob_only,54,28,26,40.7,12.64,3.6,3.51,1126.4,3,sol,1H,3m,107
0.5,0.786,1.272,0.002,3,0.2,ob_only,54,28,26,40.7,10.81,3.09,3.5,1108.1,3,sol,1H,3m,107
0.5,0.786,1.272,0.002,5,0.1,ob_only,54,28,26,40.7,8.99,2.58,3.48,1089.87,3,sol,1H,3m,107
0.382,0.786,2.0,0.002,7,0.1,ob_only,45,22,23,31.1,16.14,4.63,3.48,1161.36,3,sol,1H,3m,107
0.382,0.618,1.618,0.005,5,0.2,ob_only,38,18,20,39.5,20.21,5.81,3.48,1202.13,3,sol,1H,3m,107
0.382,0.786,2.0,0.002,3,0.2,ob_only,45,22,23,31.1,13.8,3.98,3.47,1137.97,3,sol,1H,3m,107
0.382,0.618,1.618,0.002,7,0.2,ob_only,38,18,20,34.2,31.43,9.09,3.46,1314.31,3,sol,1H,3m,107
0.382,0.618,1.618,0.005,7,0.1,ob_only,38,18,20,39.5,14.13,4.09,3.45,1141.32,3,sol,1H,3m,107
0.382,0.786,2.0,0.002,5,0.1,ob_only,45,22,23,31.1,11.47,3.32,3.45,1114.68,3,sol,1H,3m,107
0.5,0.786,1.272,0.002,3,0.1,ob_only,54,28,26,40.7,5.37,1.56,3.45,1053.65,3,sol,1H,3m,107
0.382,0.618,1.618,0.005,3,0.2,ob_only,38,18,20,39.5,12.1,3.52,3.44,1121.04,3,sol,1H,3m,107
0.382,0.618,1.618,0.005,5,0.1,ob_only,38,18,20,39.5,10.08,2.94,3.43,1100.78,3,sol,1H,3m,107
0.382,0.786,2.0,0.002,3,0.1,ob_only,45,22,23,31.1,6.84,2.01,3.41,1068.42,3,sol,1H,3m,107
0.382,0.618,1.618,0.005,3,0.1,ob_only,38,18,20,39.5,6.03,1.77,3.41,1060.33,3,sol,1H,3m,107
0.5,0.786,2.0,0.005,3,0.1,fvg_only,5,5,0,20.0,1.61,0.48,3.4,1016.15,8,sol,1H,3m,41
0.382,0.618,1.618,0.002,5,0.2,ob_only,38,18,20,34.2,22.25,6.56,3.39,1222.51,3,sol,1H,3m,107
0.5,0.786,2.0,0.005,5,0.1,fvg_only,5,5,0,20.0,2.67,0.79,3.37,1026.7,8,sol,1H,3m,41
0.5,0.786,2.0,0.005,3,0.2,fvg_only,5,5,0,20.0,3.19,0.95,3.36,1031.91,8,sol,1H,3m,41
0.5,0.786,2.0,0.005,7,0.1,fvg_only,5,5,0,20.0,3.71,1.11,3.35,1037.08,8,sol,1H,3m,41
0.382,0.618,1.618,0.002,7,0.1,ob_only,38,18,20,34.2,15.45,4.63,3.34,1154.51,3,sol,1H,3m,107
0.382,0.618,1.618,0.002,3,0.2,ob_only,38,18,20,34.2,13.2,3.98,3.32,1132.05,3,sol,1H,3m,107
0.5,0.786,2.0,0.005,5,0.2,fvg_only,5,5,0,20.0,5.23,1.58,3.31,1052.33,8,sol,1H,3m,41
0.382,0.618,1.618,0.002,5,0.1,ob_only,38,18,20,34.2,10.97,3.32,3.3,1109.7,3,sol,1H,3m,107
0.5,0.786,2.0,0.005,7,0.2,ob_only,42,21,21,35.7,29.68,9.06,3.28,1296.76,3,sol,1H,3m,107
0.5,0.786,2.0,0.005,7,0.2,fvg_only,5,5,0,20.0,7.21,2.21,3.26,1072.08,8,sol,1H,3m,41
0.382,0.618,1.618,0.002,3,0.1,ob_only,38,18,20,34.2,6.54,2.01,3.26,1065.4,3,sol,1H,3m,107
0.5,0.786,2.0,0.005,5,0.2,ob_only,42,21,21,35.7,21.27,6.54,3.25,1212.67,3,sol,1H,3m,107
0.382,0.786,2.0,0.002,7,0.2,both,47,25,22,29.8,31.11,9.56,3.25,1311.1,3,sol,1H,3m,107
0.5,0.786,1.272,0.002,7,0.2,ob_only,14,8,6,42.9,14.9,4.59,3.25,1149.04,8,sol,1H,3m,41
0.5,0.786,1.272,0.002,5,0.2,ob_only,14,8,6,42.9,10.64,3.29,3.24,1106.42,8,sol,1H,3m,41
0.5,0.786,1.272,0.002,7,0.1,ob_only,14,8,6,42.9,7.44,2.31,3.23,1074.44,8,sol,1H,3m,41
0.5,0.786,1.272,0.002,3,0.2,ob_only,14,8,6,42.9,6.38,1.98,3.23,1063.78,8,sol,1H,3m,41
