entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.0,5.0,10.0,10.0,1,0.2,126,65.1,-9.35,12.72,-0.74
1.0,5.0,5.0,5.0,1,0.3,209,49.8,-9.63,17.4,-0.55
0.5,5.0,5.0,5.0,1,0.2,406,50.0,-9.66,18.76,-0.51
0.5,5.0,10.0,5.0,2,0.1,406,50.0,-9.66,18.76,-0.51
1.0,2.0,5.0,1.6667,3,0.3,385,47.8,-9.69,22.41,-0.43
0.5,1.0,10.0,10.0,1,0.1,721,90.6,-9.78,11.82,-0.83
0.5,5.0,3.0,3.0,1,0.1,628,36.8,-9.83,10.35,-0.95
1.5,2.0,10.0,3.3333,3,0.2,127,62.2,-9.84,23.31,-0.42
1.5,2.0,10.0,2.5,4,0.3,130,56.9,-10.13,31.13,-0.33
0.5,2.0,10.0,5.0,2,0.1,805,72.0,-10.15,22.2,-0.46
0.5,2.0,5.0,5.0,1,0.2,805,72.0,-10.15,22.2,-0.46
1.0,2.0,10.0,10.0,1,0.3,212,83.0,-10.17,19.55,-0.52
1.0,3.0,3.0,3.0,1,0.2,303,48.8,-10.24,11.68,-0.88
1.0,2.0,10.0,5.0,2,0.2,283,71.7,-10.59,16.59,-0.64
0.5,2.0,3.0,3.0,1,0.1,1129,60.1,-10.72,10.85,-0.99
1.0,3.0,5.0,5.0,1,0.3,248,62.1,-10.89,16.45,-0.66
1.0,3.0,10.0,2.0,5,0.1,342,40.9,-11.02,19.89,-0.55
1.0,2.0,10.0,2.0,5,0.3,368,52.7,-11.1,41.15,-0.27
1.0,5.0,5.0,2.5,2,0.3,289,34.3,-11.19,25.32,-0.44
1.0,1.0,5.0,2.5,2,0.2,393,72.3,-11.22,14.73,-0.76
1.0,1.0,10.0,2.5,4,0.1,393,72.3,-11.22,14.73,-0.76
1.0,1.0,3.0,3.0,1,0.2,379,73.6,-11.32,11.96,-0.95
0.5,5.0,2.0,2.0,1,0.1,839,28.0,-11.4,12.01,-0.95
1.0,1.0,3.0,1.5,2,0.3,424,62.3,-11.46,14.95,-0.77
1.0,1.0,10.0,5.0,2,0.1,334,82.0,-11.52,12.89,-0.89
1.0,1.0,5.0,5.0,1,0.2,334,82.0,-11.52,12.89,-0.89
1.0,5.0,3.0,3.0,1,0.2,264,36.0,-11.71,12.58,-0.93
0.5,3.0,5.0,5.0,1,0.1,587,61.2,-11.86,12.54,-0.95
0.5,5.0,3.0,1.5,2,0.1,1038,23.8,-11.89,20.27,-0.59
0.5,2.0,10.0,3.3333,3,0.1,1047,63.8,-11.96,23.88,-0.5
1.0,3.0,5.0,2.5,2,0.3,327,46.5,-12.14,24.49,-0.5
1.0,1.0,10.0,2.0,5,0.1,403,68.0,-12.32,14.26,-0.86
0.5,1.0,3.0,3.0,1,0.1,1563,75.4,-12.69,13.52,-0.94
0.5,5.0,1.0,1.0,1,0.1,1332,16.7,-12.77,13.29,-0.96
0.5,2.0,2.0,2.0,1,0.1,1437,50.2,-12.77,12.91,-0.99
1.0,1.0,5.0,1.25,4,0.2,433,58.4,-13.03,23.36,-0.56
1.0,3.0,5.0,1.25,4,0.3,383,31.6,-13.07,35.72,-0.37
1.0,1.0,10.0,3.3333,3,0.1,368,76.4,-13.33,15.44,-0.86
1.0,5.0,10.0,5.0,2,0.2,209,49.8,-13.53,22.74,-0.6
1.0,2.0,10.0,3.3333,3,0.3,325,64.0,-13.55,34.57,-0.39
1.5,5.0,10.0,3.3333,3,0.3,114,40.4,-13.86,29.22,-0.47
0.5,3.0,1.0,1.0,1,0.1,1683,25.3,-13.92,14.08,-0.99
1.0,3.0,5.0,1.0,5,0.3,397,27.5,-13.97,53.28,-0.26
0.5,5.0,10.0,3.3333,3,0.1,576,40.5,-14.03,24.76,-0.57
1.0,5.0,3.0,1.5,2,0.3,332,23.8,-14.05,27.21,-0.52
1.0,5.0,10.0,2.0,5,0.2,300,30.0,-14.07,40.11,-0.35
1.0,1.0,5.0,1.6667,3,0.2,415,64.1,-14.39,16.85,-0.85
1.0,5.0,10.0,10.0,1,0.3,126,65.1,-14.54,18.81,-0.77
1.0,3.0,10.0,3.3333,3,0.1,289,51.6,-14.68,16.07,-0.91
1.0,3.0,10.0,5.0,2,0.2,248,62.1,-14.89,21.49,-0.69
0.5,1.0,5.0,5.0,1,0.1,1193,82.7,-15.25,15.99,-0.95
1.0,3.0,3.0,3.0,1,0.3,303,48.8,-15.31,17.32,-0.88
1.5,2.0,10.0,3.3333,3,0.3,127,62.2,-15.39,33.14,-0.46
0.5,5.0,5.0,5.0,1,0.3,406,50.0,-15.43,26.98,-0.57
1.0,5.0,10.0,3.3333,3,0.1,250,38.8,-15.51,22.0,-0.7
0.5,2.0,5.0,5.0,1,0.3,805,72.0,-15.86,31.72,-0.5
0.5,2.0,1.0,1.0,1,0.1,1957,33.7,-16.03,16.48,-0.97
0.5,2.0,5.0,2.5,2,0.1,1267,56.4,-16.06,16.9,-0.95
1.0,3.0,5.0,1.6667,3,0.2,357,36.4,-16.18,21.9,-0.74
0.5,3.0,2.0,2.0,1,0.1,1161,39.0,-16.18,16.25,-1.0
1.0,1.0,3.0,3.0,1,0.3,379,73.6,-16.64,17.54,-0.95
0.5,1.0,1.0,1.0,1,0.1,2370,51.2,-16.66,16.84,-0.99
1.0,1.0,5.0,2.5,2,0.3,393,72.3,-16.84,21.56,-0.78
0.5,5.0,5.0,2.5,2,0.2,709,34.1,-16.88,31.99,-0.53
0.5,5.0,10.0,2.5,4,0.1,709,34.1,-16.88,31.99,-0.53
1.0,2.0,10.0,5.0,2,0.3,283,71.7,-16.9,24.27,-0.7
