retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.382,0.786,1.272,0.002,7,0.2,fvg_only,46,15.2,73.45,23.54,3.12,1734.49,3,eth,4H,206,341
0.382,0.786,1.618,0.005,7,0.2,fvg_only,45,13.3,95.0,30.42,3.12,1950.03,8,eth,4H,93,229
0.5,0.786,1.272,0.002,3,0.1,fvg_only,28,10.7,15.54,4.99,3.11,1155.39,8,eth,4H,93,229
0.382,0.618,1.618,0.002,5,0.1,ob_only,78,28.2,38.11,12.38,3.08,1381.06,5,eth,4H,145,288
0.382,0.618,1.618,0.002,3,0.2,ob_only,78,28.2,45.34,14.71,3.08,1453.45,5,eth,4H,145,288
0.382,0.786,1.272,0.005,5,0.1,fvg_only,47,17.0,37.21,12.07,3.08,1372.12,8,eth,4H,93,229
0.382,0.786,1.272,0.002,5,0.2,fvg_only,46,15.2,52.64,17.23,3.05,1526.4,3,eth,4H,206,341
0.382,0.618,1.618,0.002,7,0.1,ob_only,78,28.2,52.34,17.2,3.04,1523.39,5,eth,4H,145,288
0.382,0.618,1.618,0.002,3,0.1,ob_only,78,28.2,23.09,7.59,3.04,1230.95,5,eth,4H,145,288
0.382,0.786,1.272,0.002,7,0.1,fvg_only,46,15.2,36.78,12.28,3.0,1367.84,3,eth,4H,206,341
0.382,0.786,1.618,0.005,5,0.2,fvg_only,45,13.3,68.34,22.76,3.0,1683.41,8,eth,4H,93,229
0.382,0.618,1.618,0.005,5,0.1,fvg_only,45,13.3,24.06,8.1,2.97,1240.62,5,eth,4H,145,288
0.382,0.618,1.618,0.005,3,0.1,fvg_only,45,13.3,14.68,4.94,2.97,1146.8,5,eth,4H,145,288
0.382,0.618,1.618,0.005,3,0.2,fvg_only,45,13.3,28.61,9.64,2.97,1286.11,5,eth,4H,145,288
0.382,0.786,1.272,0.002,3,0.2,fvg_only,46,15.2,31.49,10.58,2.97,1314.85,3,eth,4H,206,341
0.382,0.618,1.618,0.005,7,0.1,fvg_only,45,13.3,33.06,11.17,2.96,1330.57,5,eth,4H,145,288
0.382,0.786,1.272,0.002,5,0.1,fvg_only,46,15.2,26.19,8.87,2.95,1261.9,3,eth,4H,206,341
