rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
25,1.2,2.0,bb_mid,5,0.2,True,6,50.0,2.18,2.2,0.99,1h
25,1.5,2.0,bb_mid,5,0.2,True,6,50.0,2.18,2.2,0.99,1h
25,1.2,1.0,atr_3x,3,0.2,True,6,33.3,2.11,0.72,2.91,1h
25,2.0,1.0,atr_3x,3,0.2,True,6,33.3,2.11,0.72,2.91,1h
25,1.5,1.0,atr_3x,3,0.2,True,6,33.3,2.11,0.72,2.91,1h
25,1.5,1.0,atr_2x,7,0.2,True,6,33.3,2.1,1.68,1.25,1h
25,1.2,1.0,atr_2x,7,0.2,True,6,33.3,2.1,1.68,1.25,1h
25,2.0,1.0,atr_2x,7,0.2,True,6,33.3,2.1,1.68,1.25,1h
25,2.0,2.0,atr_2x,7,0.3,True,6,50.0,2.08,4.59,0.45,1h
25,1.2,2.0,atr_2x,7,0.3,True,6,50.0,2.08,4.59,0.45,1h
25,1.5,2.0,atr_2x,7,0.3,True,6,50.0,2.08,4.59,0.45,1h
25,1.2,2.0,atr_3x,3,0.2,True,6,50.0,2.04,1.32,1.54,1h
25,1.5,2.0,atr_3x,3,0.2,True,6,50.0,2.04,1.32,1.54,1h
25,2.0,2.0,atr_3x,3,0.2,True,6,50.0,2.04,1.32,1.54,1h
35,2.0,1.5,atr_3x,7,0.1,True,64,32.8,2.02,8.91,0.23,1h
25,1.5,2.0,bb_mid,3,0.3,True,6,50.0,1.97,1.98,0.99,1h
25,2.0,2.0,bb_mid,3,0.3,True,6,50.0,1.97,1.98,0.99,1h
25,1.2,2.0,bb_mid,3,0.3,True,6,50.0,1.97,1.98,0.99,1h
35,2.0,1.0,atr_2x,3,0.2,True,65,36.9,1.93,4.51,0.43,1h
35,2.0,1.0,atr_3x,3,0.1,True,64,28.1,1.91,2.71,0.7,1h
35,1.2,1.0,atr_3x,3,0.1,True,88,27.3,1.88,2.6,0.73,1h
25,1.5,1.0,bb_mid,7,0.1,True,6,33.3,1.87,0.84,2.22,1h
25,1.2,1.0,bb_mid,7,0.1,True,6,33.3,1.87,0.84,2.22,1h
25,2.0,1.0,bb_mid,7,0.1,True,6,33.3,1.87,0.84,2.22,1h
35,2.0,1.5,atr_3x,3,0.2,True,64,32.8,1.8,7.69,0.23,1h
25,1.5,1.5,atr_3x,7,0.1,True,6,33.3,1.8,1.19,1.51,1h
25,2.0,1.5,atr_3x,7,0.1,True,6,33.3,1.8,1.19,1.51,1h
25,1.2,1.5,atr_3x,7,0.1,True,6,33.3,1.8,1.19,1.51,1h
25,1.5,1.0,atr_3x,5,0.1,True,6,33.3,1.76,0.6,2.92,1h
25,2.0,1.0,atr_3x,5,0.1,True,6,33.3,1.76,0.6,2.92,1h
25,1.2,1.0,atr_3x,5,0.1,True,6,33.3,1.76,0.6,2.92,1h
25,1.2,1.5,bb_mid,5,0.2,True,6,33.3,1.73,1.7,1.02,1h
25,2.0,1.5,bb_mid,5,0.2,True,6,33.3,1.73,1.7,1.02,1h
25,1.5,1.5,bb_mid,5,0.2,True,6,33.3,1.73,1.7,1.02,1h
25,1.2,2.0,atr_3x,5,0.1,True,6,50.0,1.7,1.1,1.54,1h
25,1.5,2.0,atr_3x,5,0.1,True,6,50.0,1.7,1.1,1.54,1h
25,2.0,2.0,atr_3x,5,0.1,True,6,50.0,1.7,1.1,1.54,1h
35,2.0,1.0,atr_2x,5,0.1,True,65,36.9,1.63,3.76,0.43,1h
25,2.0,1.0,bb_mid,3,0.2,True,6,33.3,1.61,0.72,2.23,1h
25,1.2,1.0,bb_mid,3,0.2,True,6,33.3,1.61,0.72,2.23,1h
25,1.5,1.0,bb_mid,3,0.2,True,6,33.3,1.61,0.72,2.23,1h
25,1.5,1.5,bb_mid,3,0.3,True,6,33.3,1.57,1.53,1.02,1h
25,1.2,1.5,bb_mid,3,0.3,True,6,33.3,1.57,1.53,1.02,1h
25,2.0,1.5,bb_mid,3,0.3,True,6,33.3,1.57,1.53,1.02,1h
25,1.2,1.5,atr_3x,3,0.2,True,6,33.3,1.55,1.02,1.52,1h
25,1.5,1.5,atr_3x,3,0.2,True,6,33.3,1.55,1.02,1.52,1h
35,2.0,1.5,atr_3x,5,0.1,True,64,32.8,1.55,6.44,0.24,1h
25,2.0,1.5,atr_3x,3,0.2,True,6,33.3,1.55,1.02,1.52,1h
25,1.5,2.0,atr_2x,5,0.3,True,6,50.0,1.54,3.29,0.47,1h
25,2.0,2.0,atr_2x,5,0.3,True,6,50.0,1.54,3.29,0.47,1h
25,1.2,2.0,bb_mid,7,0.1,True,6,50.0,1.54,1.54,1.0,1h
25,2.0,2.0,bb_mid,7,0.1,True,6,50.0,1.54,1.54,1.0,1h
25,1.2,2.0,atr_2x,5,0.3,True,6,50.0,1.54,3.29,0.47,1h
25,1.5,2.0,bb_mid,7,0.1,True,6,50.0,1.54,1.54,1.0,1h
25,1.5,1.0,atr_2x,5,0.2,True,6,33.3,1.52,1.2,1.26,1h
25,2.0,1.0,atr_2x,5,0.2,True,6,33.3,1.52,1.2,1.26,1h
25,1.2,1.0,atr_2x,5,0.2,True,6,33.3,1.52,1.2,1.26,1h
25,2.0,2.0,atr_2x,7,0.2,True,6,50.0,1.44,3.07,0.47,1h
25,1.2,2.0,atr_2x,7,0.2,True,6,50.0,1.44,3.07,0.47,1h
25,1.5,2.0,atr_2x,7,0.2,True,6,50.0,1.44,3.07,0.47,1h
