rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.2,2.0,atr_2x,3,0.2,False,321,45.8,-48.68,52.36,-0.93,1h
30,2.0,2.0,bb_mid,5,0.1,False,241,51.5,-48.68,52.95,-0.92,1h
25,1.5,1.5,atr_2x,7,0.1,False,149,36.2,-48.74,50.28,-0.97,1h
30,1.2,1.0,atr_2x,3,0.3,False,374,30.5,-48.92,55.95,-0.87,1h
30,1.5,1.5,atr_2x,3,0.2,False,314,37.6,-49.02,52.87,-0.93,1h
25,2.0,2.0,atr_2x,7,0.2,False,123,46.3,-49.2,56.23,-0.88,1h
35,1.2,1.0,atr_2x,7,0.3,True,76,27.6,-49.32,61.33,-0.8,1h
25,2.0,2.0,bb_mid,7,0.2,False,127,52.0,-49.51,56.27,-0.88,1h
30,1.5,1.5,bb_mid,5,0.1,False,317,43.8,-49.52,54.04,-0.92,1h
25,1.2,2.0,bb_mid,5,0.2,False,155,51.6,-49.56,61.35,-0.81,1h
25,1.2,1.5,atr_2x,3,0.3,False,155,38.1,-49.71,51.64,-0.96,1h
30,1.2,1.5,atr_2x,7,0.1,False,342,38.9,-49.95,55.97,-0.89,1h
25,1.2,1.5,atr_3x,7,0.1,False,154,31.2,-50.08,51.24,-0.98,1h
25,2.0,1.5,atr_2x,5,0.2,False,126,38.1,-50.15,53.36,-0.94,1h
25,2.0,1.0,atr_3x,3,0.3,False,132,22.0,-50.24,50.48,-1.0,1h
35,2.0,2.0,atr_2x,5,0.1,False,406,46.1,-50.47,50.96,-0.99,1h
30,1.2,1.5,bb_mid,5,0.1,False,345,44.6,-50.65,55.71,-0.91,1h
25,1.5,1.5,atr_3x,3,0.2,False,148,29.7,-50.68,51.66,-0.98,1h
25,1.2,1.5,bb_mid,3,0.3,False,158,41.1,-50.79,53.2,-0.95,1h
30,2.0,1.5,atr_2x,3,0.2,False,247,37.2,-50.83,54.08,-0.94,1h
25,1.2,1.0,atr_3x,5,0.2,False,175,24.0,-50.88,52.49,-0.97,1h
30,1.5,1.0,atr_3x,5,0.1,False,336,21.7,-50.93,52.3,-0.97,1h
30,2.0,1.0,bb_mid,5,0.1,False,264,28.4,-50.99,51.63,-0.99,1h
30,1.2,1.0,atr_3x,7,0.1,False,367,23.7,-51.0,52.41,-0.97,1h
30,2.0,2.0,atr_2x,3,0.3,False,237,46.4,-51.06,57.16,-0.89,1h
30,1.5,1.5,atr_3x,5,0.1,False,306,30.1,-51.06,56.33,-0.91,1h
35,2.0,1.5,bb_mid,3,0.1,False,440,43.0,-51.11,51.89,-0.98,1h
25,1.5,1.0,atr_3x,3,0.3,False,165,22.4,-51.38,52.82,-0.97,1h
25,1.5,1.0,atr_2x,7,0.2,False,166,31.3,-51.79,54.62,-0.95,1h
25,2.0,2.0,atr_3x,3,0.3,False,121,37.2,-51.79,52.86,-0.98,1h
30,2.0,1.0,atr_2x,3,0.2,False,262,26.3,-51.86,51.88,-1.0,1h
30,1.2,1.5,atr_3x,3,0.2,False,332,31.0,-51.89,60.09,-0.86,1h
25,1.5,2.0,atr_2x,5,0.2,False,147,44.2,-52.08,54.11,-0.96,1h
30,1.5,1.0,bb_mid,3,0.2,False,343,32.4,-52.23,53.56,-0.98,1h
25,2.0,2.0,atr_2x,5,0.3,False,123,46.3,-52.63,58.97,-0.89,1h
30,1.2,1.0,bb_mid,3,0.2,False,377,33.7,-52.81,54.81,-0.96,1h
30,2.0,2.0,atr_3x,3,0.2,False,230,37.0,-52.9,59.43,-0.89,1h
30,1.2,2.0,atr_3x,3,0.2,False,313,38.3,-52.92,57.09,-0.93,1h
25,2.0,2.0,bb_mid,5,0.3,False,127,52.0,-52.97,59.27,-0.89,1h
25,1.2,1.0,bb_mid,7,0.2,False,177,33.3,-53.05,56.56,-0.94,1h
25,1.2,2.0,atr_2x,3,0.3,False,151,44.4,-53.16,54.96,-0.97,1h
35,1.2,1.5,atr_2x,5,0.1,False,610,39.3,-53.21,58.19,-0.91,1h
25,1.2,2.0,atr_3x,7,0.1,False,149,36.2,-53.25,54.33,-0.98,1h
30,1.2,1.0,atr_2x,5,0.2,False,374,30.5,-53.37,60.22,-0.89,1h
30,1.5,2.0,bb_mid,7,0.1,False,305,54.8,-53.49,57.58,-0.93,1h
30,1.5,2.0,atr_3x,7,0.1,False,290,38.3,-53.56,60.24,-0.89,1h
25,2.0,1.5,atr_3x,7,0.1,False,125,29.6,-53.87,56.17,-0.96,1h
35,1.5,1.0,atr_3x,5,0.1,False,598,23.1,-53.91,55.84,-0.97,1h
25,1.2,1.5,atr_2x,5,0.2,False,155,38.1,-53.93,55.89,-0.97,1h
25,2.0,1.0,bb_mid,7,0.2,False,134,30.6,-54.04,54.04,-1.0,1h
25,2.0,1.5,bb_mid,3,0.3,False,128,38.3,-54.21,55.96,-0.97,1h
25,2.0,1.0,atr_3x,5,0.2,False,132,22.0,-54.28,54.51,-1.0,1h
30,1.2,2.0,bb_mid,3,0.2,False,331,54.7,-54.73,58.79,-0.93,1h
25,1.5,1.0,atr_2x,5,0.3,False,166,31.3,-54.74,57.58,-0.95,1h
